 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                nd156         nd157         nd158         nd159         nd160         nd161         nd162         nd163
     41  4.138876583201E-04  1.001904E-30  1.001651E-30  1.000000E-30  1.002405E-30  1.002753E-30  1.004269E-30  1.005590E-30  1.006179E-30
     42  4.432651277490E-04  1.002040E-30  1.001768E-30  1.000000E-30  1.002576E-30  1.002949E-30  1.004572E-30  1.005986E-30  1.006618E-30
     43  4.720041568584E-04  1.002172E-30  1.001883E-30  1.000000E-30  1.002743E-30  1.003140E-30  1.004868E-30  1.006374E-30  1.007048E-30
     44  5.002792532552E-04  1.002302E-30  1.001996E-30  1.000000E-30  1.002907E-30  1.003328E-30  1.005160E-30  1.006756E-30  1.007471E-30
     45  5.282472522620E-04  1.002431E-30  1.002107E-30  1.000000E-30  1.003069E-30  1.003514E-30  1.005448E-30  1.007133E-30  1.007890E-30
     46  5.560479783168E-04  1.002559E-30  1.002218E-30  1.000000E-30  1.003231E-30  1.003699E-30  1.005735E-30  1.007508E-30  1.008306E-30
     47  5.838060709037E-04  1.002686E-30  1.002329E-30  1.000000E-30  1.003392E-30  1.003883E-30  1.006021E-30  1.007883E-30  1.008722E-30
     48  6.116334118686E-04  1.002814E-30  1.002440E-30  1.000000E-30  1.003554E-30  1.004068E-30  1.006308E-30  1.008258E-30  1.009139E-30
     49  6.396318340541E-04  1.002943E-30  1.002551E-30  1.000000E-30  1.003716E-30  1.004254E-30  1.006596E-30  1.008636E-30  1.009558E-30
     50  6.678959636874E-04  1.003073E-30  1.002664E-30  1.000000E-30  1.003881E-30  1.004442E-30  1.006888E-30  1.009018E-30  1.009982E-30
     51  6.965161747902E-04  1.003205E-30  1.002778E-30  1.000000E-30  1.004047E-30  1.004633E-30  1.007183E-30  1.009404E-30  1.010411E-30
     52  7.255817382538E-04  1.003339E-30  1.002894E-30  1.000000E-30  1.004216E-30  1.004826E-30  1.007482E-30  1.009796E-30  1.010847E-30
     53  7.551843574001E-04  1.003475E-30  1.003012E-30  1.000000E-30  1.004388E-30  1.005023E-30  1.007788E-30  1.010195E-30  1.011291E-30
     54  7.854224313090E-04  1.003614E-30  1.003133E-30  1.000000E-30  1.004563E-30  1.005224E-30  1.008099E-30  1.010603E-30  1.011745E-30
     55  8.164066374138E-04  1.003757E-30  1.003256E-30  1.000000E-30  1.004743E-30  1.005430E-30  1.008418E-30  1.011021E-30  1.012210E-30
     56  8.482679080764E-04  1.003903E-30  1.003384E-30  1.000000E-30  1.004928E-30  1.005642E-30  1.008747E-30  1.011451E-30  1.012688E-30
     57  8.811699017317E-04  1.004055E-30  1.003515E-30  1.000000E-30  1.005119E-30  1.005860E-30  1.009086E-30  1.011894E-30  1.013183E-30
     58  9.153304977871E-04  1.004212E-30  1.003651E-30  1.000000E-30  1.005318E-30  1.006087E-30  1.009438E-30  1.012355E-30  1.013696E-30
     59  9.510634923056E-04  1.004376E-30  1.003793E-30  1.000000E-30  1.005525E-30  1.006325E-30  1.009806E-30  1.012837E-30  1.014233E-30
     60  9.888739022907E-04  1.004550E-30  1.003944E-30  1.000000E-30  1.005745E-30  1.006576E-30  1.010196E-30  1.013347E-30  1.014801E-30
     61  1.029744313280E-03  1.004738E-30  1.004107E-30  1.000000E-30  1.005982E-30  1.006848E-30  1.010617E-30  1.013898E-30  1.015416E-30
     62  1.076805333108E-03  1.004955E-30  1.004295E-30  1.000000E-30  1.006255E-30  1.007160E-30  1.011102E-30  1.014532E-30  1.016124E-30
     63  1.127478238084E-03  1.005188E-30  1.004497E-30  1.000000E-30  1.006550E-30  1.007497E-30  1.011624E-30  1.015215E-30  1.016887E-30
     64  1.179263354774E-03  1.005426E-30  1.004703E-30  1.000000E-30  1.006850E-30  1.007841E-30  1.012157E-30  1.015913E-30  1.017667E-30
     65  1.231720185468E-03  1.005667E-30  1.004913E-30  1.000000E-30  1.007155E-30  1.008190E-30  1.012697E-30  1.016620E-30  1.018457E-30
     66  1.284679788904E-03  1.005911E-30  1.005124E-30  1.000000E-30  1.007462E-30  1.008542E-30  1.013243E-30  1.017333E-30  1.019255E-30
     67  1.338068714676E-03  1.006157E-30  1.005337E-30  1.000000E-30  1.007772E-30  1.008896E-30  1.013793E-30  1.018053E-30  1.020061E-30
     68  1.391852718980E-03  1.006404E-30  1.005551E-30  1.000000E-30  1.008084E-30  1.009254E-30  1.014346E-30  1.018777E-30  1.020872E-30
     69  1.446014888479E-03  1.006653E-30  1.005767E-30  1.000000E-30  1.008399E-30  1.009614E-30  1.014904E-30  1.019507E-30  1.021690E-30
     70  1.500546342624E-03  1.006904E-30  1.005985E-30  1.000000E-30  1.008715E-30  1.009976E-30  1.015466E-30  1.020241E-30  1.022514E-30
     71  1.555442065896E-03  1.007157E-30  1.006203E-30  1.000000E-30  1.009034E-30  1.010340E-30  1.016031E-30  1.020981E-30  1.023343E-30
     72  1.610698967280E-03  1.007411E-30  1.006424E-30  1.000000E-30  1.009355E-30  1.010707E-30  1.016600E-30  1.021725E-30  1.024179E-30
     73  1.666314948699E-03  1.007667E-30  1.006646E-30  1.000000E-30  1.009678E-30  1.011077E-30  1.017172E-30  1.022474E-30  1.025020E-30
     74  1.722288445659E-03  1.007924E-30  1.006869E-30  1.000678E-30  1.010003E-30  1.011448E-30  1.017748E-30  1.023227E-30  1.025868E-30
