 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                sn127         sn128         sn129         sn130         sn131         sn132         sn133         sn134
     41  4.138876583201E-04  1.000263E-30  1.000342E-30  1.000468E-30  1.000896E-30  1.001021E-30  1.001380E-30  1.001541E-30  1.001776E-30
     42  4.432651277490E-04  1.000282E-30  1.000366E-30  1.000502E-30  1.000959E-30  1.001094E-30  1.001478E-30  1.001650E-30  1.001902E-30
     43  4.720041568584E-04  1.000300E-30  1.000390E-30  1.000534E-30  1.001021E-30  1.001165E-30  1.001574E-30  1.001757E-30  1.002025E-30
     44  5.002792532552E-04  1.000318E-30  1.000413E-30  1.000566E-30  1.001083E-30  1.001235E-30  1.001668E-30  1.001862E-30  1.002146E-30
     45  5.282472522620E-04  1.000336E-30  1.000436E-30  1.000598E-30  1.001143E-30  1.001304E-30  1.001761E-30  1.001966E-30  1.002266E-30
     46  5.560479783168E-04  1.000354E-30  1.000459E-30  1.000629E-30  1.001203E-30  1.001373E-30  1.001854E-30  1.002070E-30  1.002386E-30
     47  5.838060709037E-04  1.000371E-30  1.000482E-30  1.000661E-30  1.001264E-30  1.001441E-30  1.001947E-30  1.002173E-30  1.002505E-30
     48  6.116334118686E-04  1.000389E-30  1.000505E-30  1.000692E-30  1.001324E-30  1.001510E-30  1.002040E-30  1.002277E-30  1.002624E-30
     49  6.396318340541E-04  1.000407E-30  1.000528E-30  1.000724E-30  1.001384E-30  1.001579E-30  1.002133E-30  1.002381E-30  1.002744E-30
     50  6.678959636874E-04  1.000425E-30  1.000551E-30  1.000756E-30  1.001446E-30  1.001649E-30  1.002228E-30  1.002486E-30  1.002865E-30
     51  6.965161747902E-04  1.000443E-30  1.000575E-30  1.000788E-30  1.001508E-30  1.001720E-30  1.002323E-30  1.002593E-30  1.002988E-30
     52  7.255817382538E-04  1.000462E-30  1.000599E-30  1.000821E-30  1.001571E-30  1.001792E-30  1.002420E-30  1.002701E-30  1.003113E-30
     53  7.551843574001E-04  1.000480E-30  1.000623E-30  1.000855E-30  1.001635E-30  1.001866E-30  1.002519E-30  1.002811E-30  1.003240E-30
     54  7.854224313090E-04  1.000500E-30  1.000648E-30  1.000889E-30  1.001700E-30  1.001941E-30  1.002620E-30  1.002923E-30  1.003369E-30
     55  8.164066374138E-04  1.000519E-30  1.000674E-30  1.000924E-30  1.001767E-30  1.002017E-30  1.002724E-30  1.003039E-30  1.003502E-30
     56  8.482679080764E-04  1.000540E-30  1.000700E-30  1.000960E-30  1.001836E-30  1.002096E-30  1.002830E-30  1.003157E-30  1.003639E-30
     57  8.811699017317E-04  1.000561E-30  1.000727E-30  1.000997E-30  1.001908E-30  1.002178E-30  1.002940E-30  1.003280E-30  1.003780E-30
     58  9.153304977871E-04  1.000582E-30  1.000756E-30  1.001036E-30  1.001982E-30  1.002263E-30  1.003054E-30  1.003407E-30  1.003926E-30
     59  9.510634923056E-04  1.000605E-30  1.000785E-30  1.001077E-30  1.002059E-30  1.002351E-30  1.003174E-30  1.003540E-30  1.004080E-30
     60  9.888739022907E-04  1.000629E-30  1.000816E-30  1.001119E-30  1.002141E-30  1.002445E-30  1.003300E-30  1.003681E-30  1.004242E-30
     61  1.029744313280E-03  1.000655E-30  1.000850E-30  1.001166E-30  1.002230E-30  1.002547E-30  1.003437E-30  1.003833E-30  1.004417E-30
     62  1.076805333108E-03  1.000685E-30  1.000889E-30  1.001219E-30  1.002332E-30  1.002663E-30  1.003594E-30  1.004008E-30  1.004619E-30
     63  1.127478238084E-03  1.000717E-30  1.000931E-30  1.001276E-30  1.002442E-30  1.002789E-30  1.003764E-30  1.004196E-30  1.004836E-30
     64  1.179263354774E-03  1.000750E-30  1.000974E-30  1.001335E-30  1.002554E-30  1.002918E-30  1.003937E-30  1.004389E-30  1.005058E-30
     65  1.231720185468E-03  1.000784E-30  1.001017E-30  1.001394E-30  1.002668E-30  1.003048E-30  1.004113E-30  1.004584E-30  1.005283E-30
     66  1.284679788904E-03  1.000817E-30  1.001061E-30  1.001454E-30  1.002783E-30  1.003180E-30  1.004290E-30  1.004781E-30  1.005510E-30
     67  1.338068714676E-03  1.000851E-30  1.001105E-30  1.001515E-30  1.002898E-30  1.003313E-30  1.004469E-30  1.004980E-30  1.005739E-30
