 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                sm174         sm175         sm176         sm177         sm178         sm179         sm180         sm181
     41  4.138876583201E-04  1.007818E-30  1.010784E-30  1.012808E-30  1.014019E-30  1.024617E-30  1.008893E-30  1.018938E-30  1.000115E-30
     42  4.432651277490E-04  1.008372E-30  1.011549E-30  1.013717E-30  1.015021E-30  1.026355E-30  1.009517E-30  1.020270E-30  1.000123E-30
     43  4.720041568584E-04  1.008915E-30  1.012297E-30  1.014606E-30  1.016002E-30  1.028053E-30  1.010127E-30  1.021571E-30  1.000131E-30
     44  5.002792532552E-04  1.009448E-30  1.013033E-30  1.015480E-30  1.016969E-30  1.029724E-30  1.010726E-30  1.022849E-30  1.000139E-30
     45  5.282472522620E-04  1.009976E-30  1.013760E-30  1.016345E-30  1.017925E-30  1.031375E-30  1.011317E-30  1.024112E-30  1.000146E-30
     46  5.560479783168E-04  1.010501E-30  1.014484E-30  1.017205E-30  1.018877E-30  1.033014E-30  1.011904E-30  1.025366E-30  1.000154E-30
     47  5.838060709037E-04  1.011025E-30  1.015206E-30  1.018063E-30  1.019828E-30  1.034651E-30  1.012490E-30  1.026617E-30  1.000161E-30
     48  6.116334118686E-04  1.011550E-30  1.015930E-30  1.018924E-30  1.020782E-30  1.036290E-30  1.013076E-30  1.027869E-30  1.000169E-30
     49  6.396318340541E-04  1.012078E-30  1.016658E-30  1.019789E-30  1.021743E-30  1.037938E-30  1.013665E-30  1.029128E-30  1.000176E-30
     50  6.678959636874E-04  1.012611E-30  1.017393E-30  1.020663E-30  1.022714E-30  1.039601E-30  1.014258E-30  1.030397E-30  1.000184E-30
     51  6.965161747902E-04  1.013151E-30  1.018137E-30  1.021548E-30  1.023699E-30  1.041284E-30  1.014858E-30  1.031680E-30  1.000192E-30
     52  7.255817382538E-04  1.013699E-30  1.018893E-30  1.022447E-30  1.024699E-30  1.042992E-30  1.015467E-30  1.032982E-30  1.000199E-30
     53  7.551843574001E-04  1.014257E-30  1.019663E-30  1.023362E-30  1.025719E-30  1.044730E-30  1.016086E-30  1.034306E-30  1.000207E-30
     54  7.854224313090E-04  1.014827E-30  1.020449E-30  1.024297E-30  1.026761E-30  1.046504E-30  1.016717E-30  1.035657E-30  1.000215E-30
     55  8.164066374138E-04  1.015412E-30  1.021255E-30  1.025255E-30  1.027831E-30  1.048321E-30  1.017363E-30  1.037039E-30  1.000224E-30
     56  8.482679080764E-04  1.016012E-30  1.022083E-30  1.026240E-30  1.028932E-30  1.050187E-30  1.018026E-30  1.038458E-30  1.000232E-30
     57  8.811699017317E-04  1.016633E-30  1.022938E-30  1.027257E-30  1.030069E-30  1.052114E-30  1.018709E-30  1.039922E-30  1.000241E-30
     58  9.153304977871E-04  1.017277E-30  1.023826E-30  1.028313E-30  1.031252E-30  1.054112E-30  1.019418E-30  1.041440E-30  1.000250E-30
     59  9.510634923056E-04  1.017950E-30  1.024754E-30  1.029418E-30  1.032491E-30  1.056201E-30  1.020158E-30  1.043025E-30  1.000259E-30
     60  9.888739022907E-04  1.018663E-30  1.025737E-30  1.030587E-30  1.033803E-30  1.058410E-30  1.020939E-30  1.044700E-30  1.000269E-30
