 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                dy177         dy178         dy179         dy180         dy181         dy182         dy183         dy184
     41  4.138876583201E-04  1.002129E-30  1.002120E-30  1.002625E-30  1.003406E-30  1.003977E-30  1.009212E-30  1.005197E-30  1.004310E-30
     42  4.432651277490E-04  1.002280E-30  1.002271E-30  1.002811E-30  1.003647E-30  1.004260E-30  1.009866E-30  1.005566E-30  1.004616E-30
     43  4.720041568584E-04  1.002427E-30  1.002418E-30  1.002993E-30  1.003884E-30  1.004537E-30  1.010505E-30  1.005927E-30  1.004915E-30
     44  5.002792532552E-04  1.002573E-30  1.002563E-30  1.003172E-30  1.004116E-30  1.004809E-30  1.011134E-30  1.006282E-30  1.005210E-30
     45  5.282472522620E-04  1.002717E-30  1.002706E-30  1.003350E-30  1.004346E-30  1.005079E-30  1.011755E-30  1.006634E-30  1.005501E-30
     46  5.560479783168E-04  1.002860E-30  1.002848E-30  1.003526E-30  1.004575E-30  1.005347E-30  1.012374E-30  1.006983E-30  1.005791E-30
     47  5.838060709037E-04  1.003002E-30  1.002991E-30  1.003702E-30  1.004803E-30  1.005615E-30  1.012991E-30  1.007331E-30  1.006080E-30
     48  6.116334118686E-04  1.003145E-30  1.003133E-30  1.003878E-30  1.005032E-30  1.005883E-30  1.013609E-30  1.007681E-30  1.006370E-30
     49  6.396318340541E-04  1.003289E-30  1.003276E-30  1.004056E-30  1.005262E-30  1.006154E-30  1.014232E-30  1.008033E-30  1.006661E-30
     50  6.678959636874E-04  1.003435E-30  1.003421E-30  1.004235E-30  1.005495E-30  1.006426E-30  1.014860E-30  1.008388E-30  1.006956E-30
     51  6.965161747902E-04  1.003582E-30  1.003568E-30  1.004416E-30  1.005730E-30  1.006703E-30  1.015496E-30  1.008747E-30  1.007254E-30
     52  7.255817382538E-04  1.003731E-30  1.003717E-30  1.004601E-30  1.005969E-30  1.006984E-30  1.016142E-30  1.009112E-30  1.007556E-30
     53  7.551843574001E-04  1.003883E-30  1.003868E-30  1.004788E-30  1.006212E-30  1.007270E-30  1.016800E-30  1.009484E-30  1.007865E-30
     54  7.854224313090E-04  1.004039E-30  1.004023E-30  1.004980E-30  1.006461E-30  1.007562E-30  1.017472E-30  1.009864E-30  1.008180E-30
     55  8.164066374138E-04  1.004198E-30  1.004182E-30  1.005176E-30  1.006716E-30  1.007862E-30  1.018160E-30  1.010253E-30  1.008502E-30
     56  8.482679080764E-04  1.004362E-30  1.004345E-30  1.005378E-30  1.006978E-30  1.008170E-30  1.018868E-30  1.010653E-30  1.008834E-30
     57  8.811699017317E-04  1.004531E-30  1.004513E-30  1.005587E-30  1.007248E-30  1.008489E-30  1.019599E-30  1.011067E-30  1.009177E-30
     58  9.153304977871E-04  1.004706E-30  1.004688E-30  1.005803E-30  1.007529E-30  1.008820E-30  1.020358E-30  1.011496E-30  1.009533E-30
     59  9.510634923056E-04  1.004890E-30  1.004871E-30  1.006029E-30  1.007823E-30  1.009166E-30  1.021151E-30  1.011945E-30  1.009905E-30
     60  9.888739022907E-04  1.005084E-30  1.005065E-30  1.006269E-30  1.008134E-30  1.009532E-30  1.021991E-30  1.012420E-30  1.010299E-30
     61  1.029744313280E-03  1.005294E-30  1.005274E-30  1.006528E-30  1.008470E-30  1.009928E-30  1.022898E-30  1.012933E-30  1.010725E-30
     62  1.076805333108E-03  1.005536E-30  1.005515E-30  1.006826E-30  1.008856E-30  1.010385E-30  1.023943E-30  1.013525E-30  1.011215E-30
     63  1.127478238084E-03  1.005797E-30  1.005774E-30  1.007147E-30  1.009273E-30  1.010877E-30  1.025068E-30  1.014161E-30  1.011743E-30
     64  1.179263354774E-03  1.006063E-30  1.006039E-30  1.007475E-30  1.009699E-30  1.011380E-30  1.026217E-30  1.014812E-30  1.012282E-30
