 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                tl219         tl220         tl221         tl222         tl223         tl224         tl225         tl226
     41  4.138876583201E-04  1.002246E-30  1.000650E-30  1.000562E-30  1.001333E-30  1.001617E-30  1.000898E-30  1.001277E-30  1.001870E-30
     42  4.432651277490E-04  1.002405E-30  1.000696E-30  1.000602E-30  1.001428E-30  1.001732E-30  1.000962E-30  1.001368E-30  1.002003E-30
     43  4.720041568584E-04  1.002561E-30  1.000742E-30  1.000641E-30  1.001520E-30  1.001844E-30  1.001024E-30  1.001457E-30  1.002133E-30
     44  5.002792532552E-04  1.002714E-30  1.000786E-30  1.000679E-30  1.001611E-30  1.001955E-30  1.001086E-30  1.001544E-30  1.002261E-30
     45  5.282472522620E-04  1.002866E-30  1.000830E-30  1.000717E-30  1.001702E-30  1.002064E-30  1.001147E-30  1.001631E-30  1.002388E-30
     46  5.560479783168E-04  1.003017E-30  1.000873E-30  1.000755E-30  1.001791E-30  1.002173E-30  1.001207E-30  1.001717E-30  1.002514E-30
     47  5.838060709037E-04  1.003168E-30  1.000917E-30  1.000793E-30  1.001881E-30  1.002282E-30  1.001268E-30  1.001803E-30  1.002640E-30
     48  6.116334118686E-04  1.003318E-30  1.000961E-30  1.000831E-30  1.001971E-30  1.002390E-30  1.001328E-30  1.001889E-30  1.002766E-30
     49  6.396318340541E-04  1.003470E-30  1.001005E-30  1.000869E-30  1.002061E-30  1.002500E-30  1.001389E-30  1.001976E-30  1.002893E-30
     50  6.678959636874E-04  1.003624E-30  1.001049E-30  1.000907E-30  1.002152E-30  1.002611E-30  1.001451E-30  1.002064E-30  1.003021E-30
     51  6.965161747902E-04  1.003779E-30  1.001094E-30  1.000946E-30  1.002245E-30  1.002723E-30  1.001513E-30  1.002153E-30  1.003151E-30
     52  7.255817382538E-04  1.003937E-30  1.001140E-30  1.000986E-30  1.002339E-30  1.002836E-30  1.001577E-30  1.002243E-30  1.003283E-30
     53  7.551843574001E-04  1.004097E-30  1.001186E-30  1.001026E-30  1.002434E-30  1.002952E-30  1.001641E-30  1.002335E-30  1.003417E-30
     54  7.854224313090E-04  1.004261E-30  1.001234E-30  1.001067E-30  1.002532E-30  1.003070E-30  1.001707E-30  1.002429E-30  1.003555E-30
     55  8.164066374138E-04  1.004429E-30  1.001282E-30  1.001110E-30  1.002632E-30  1.003192E-30  1.001775E-30  1.002525E-30  1.003696E-30
     56  8.482679080764E-04  1.004602E-30  1.001332E-30  1.001153E-30  1.002735E-30  1.003316E-30  1.001845E-30  1.002624E-30  1.003840E-30
     57  8.811699017317E-04  1.004780E-30  1.001384E-30  1.001198E-30  1.002841E-30  1.003445E-30  1.001917E-30  1.002726E-30  1.003990E-30
     58  9.153304977871E-04  1.004966E-30  1.001438E-30  1.001244E-30  1.002952E-30  1.003579E-30  1.001991E-30  1.002833E-30  1.004145E-30
     59  9.510634923056E-04  1.005159E-30  1.001494E-30  1.001293E-30  1.003067E-30  1.003719E-30  1.002069E-30  1.002944E-30  1.004308E-30
     60  9.888739022907E-04  1.005364E-30  1.001553E-30  1.001345E-30  1.003190E-30  1.003867E-30  1.002152E-30  1.003062E-30  1.004480E-30
     61  1.029744313280E-03  1.005586E-30  1.001617E-30  1.001401E-30  1.003322E-30  1.004027E-30  1.002242E-30  1.003189E-30  1.004666E-30
     62  1.076805333108E-03  1.005841E-30  1.001691E-30  1.001465E-30  1.003474E-30  1.004211E-30  1.002345E-30  1.003336E-30  1.004880E-30
