 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                rb94          rb95          rb96          rb97          rb98          rb99          rb100         rb101
     41  4.138876583201E-04  1.001249E-30  1.001756E-30  1.002176E-30  1.002866E-30  1.003719E-30  1.001479E-30  1.000437E-30  1.009400E-30
     42  4.432651277490E-04  1.001338E-30  1.001881E-30  1.002330E-30  1.003069E-30  1.003983E-30  1.001585E-30  1.000476E-30  1.010078E-30
     43  4.720041568584E-04  1.001424E-30  1.002003E-30  1.002482E-30  1.003268E-30  1.004241E-30  1.001688E-30  1.000515E-30  1.010742E-30
     44  5.002792532552E-04  1.001510E-30  1.002123E-30  1.002631E-30  1.003464E-30  1.004495E-30  1.001790E-30  1.000555E-30  1.011398E-30
     45  5.282472522620E-04  1.001595E-30  1.002241E-30  1.002778E-30  1.003658E-30  1.004747E-30  1.001892E-30  1.000595E-30  1.012047E-30
     46  5.560479783168E-04  1.001679E-30  1.002359E-30  1.002924E-30  1.003850E-30  1.004996E-30  1.001992E-30  1.000636E-30  1.012693E-30
     47  5.838060709037E-04  1.001763E-30  1.002477E-30  1.003071E-30  1.004043E-30  1.005246E-30  1.002093E-30  1.000678E-30  1.013340E-30
     48  6.116334118686E-04  1.001847E-30  1.002595E-30  1.003217E-30  1.004235E-30  1.005496E-30  1.002193E-30  1.000721E-30  1.013990E-30
     49  6.396318340541E-04  1.001932E-30  1.002714E-30  1.003365E-30  1.004429E-30  1.005747E-30  1.002295E-30  1.000765E-30  1.014645E-30
     50  6.678959636874E-04  1.002017E-30  1.002834E-30  1.003514E-30  1.004625E-30  1.006001E-30  1.002398E-30  1.000810E-30  1.015308E-30
     51  6.965161747902E-04  1.002104E-30  1.002956E-30  1.003665E-30  1.004823E-30  1.006258E-30  1.002502E-30  1.000858E-30  1.015980E-30
     52  7.255817382538E-04  1.002192E-30  1.003079E-30  1.003818E-30  1.005024E-30  1.006519E-30  1.002607E-30  1.000907E-30  1.016664E-30
     53  7.551843574001E-04  1.002281E-30  1.003205E-30  1.003974E-30  1.005229E-30  1.006785E-30  1.002715E-30  1.000957E-30  1.017362E-30
     54  7.854224313090E-04  1.002373E-30  1.003333E-30  1.004134E-30  1.005439E-30  1.007056E-30  1.002825E-30  1.001011E-30  1.018076E-30
     55  8.164066374138E-04  1.002467E-30  1.003465E-30  1.004297E-30  1.005653E-30  1.007335E-30  1.002939E-30  1.001066E-30  1.018810E-30
     56  8.482679080764E-04  1.002563E-30  1.003600E-30  1.004465E-30  1.005874E-30  1.007621E-30  1.003055E-30  1.001125E-30  1.019565E-30
     57  8.811699017317E-04  1.002663E-30  1.003739E-30  1.004639E-30  1.006102E-30  1.007916E-30  1.003175E-30  1.001186E-30  1.020348E-30
