 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                mn75          mn76          fe46          fe47          fe48          fe49          fe50          fe51 
     27  8.489118412102E-05  1.000678E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.003038E-30  1.000501E-30  1.000959E-30  1.000377E-30
     28  9.570255892797E-05  1.000764E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.003424E-30  1.000564E-30  1.001081E-30  1.000425E-30
     29  1.070853065563E-04  1.000854E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.003831E-30  1.000631E-30  1.001210E-30  1.000476E-30
     30  1.190882425669E-04  1.000949E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.004260E-30  1.000702E-30  1.001346E-30  1.000529E-30
     31  1.366291075688E-04  1.001087E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.004887E-30  1.000806E-30  1.001545E-30  1.000607E-30
     32  1.695708820900E-04  1.001347E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.006064E-30  1.001000E-30  1.001918E-30  1.000755E-30
     33  1.992873377730E-04  1.001580E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.007125E-30  1.001175E-30  1.002255E-30  1.000888E-30
     34  2.264248739983E-04  1.001792E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.008094E-30  1.001334E-30  1.002563E-30  1.001009E-30
     35  2.515933231106E-04  1.001988E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.008991E-30  1.001483E-30  1.002849E-30  1.001122E-30
     36  2.753099894686E-04  1.002172E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.009837E-30  1.001622E-30  1.003119E-30  1.001229E-30
     37  2.979926919870E-04  1.002347E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.010646E-30  1.001756E-30  1.003377E-30  1.001331E-30
     38  3.199702121451E-04  1.002517E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.011429E-30  1.001885E-30  1.003628E-30  1.001430E-30
     39  3.524429751724E-04  1.002767E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.012586E-30  1.002076E-30  1.003998E-30  1.001576E-30
     40  3.836809895565E-04  1.003006E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.013698E-30  1.002259E-30  1.004354E-30  1.001718E-30
     41  4.138876583201E-04  1.003237E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.014773E-30  1.002437E-30  1.004699E-30  1.001854E-30
     42  4.432651277490E-04  1.003460E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.015817E-30  1.002610E-30  1.005035E-30  1.001988E-30
     43  4.720041568584E-04  1.003678E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.016839E-30  1.002778E-30  1.005364E-30  1.002118E-30
     44  5.002792532552E-04  1.003891E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.017844E-30  1.002944E-30  1.005687E-30  1.002247E-30
     45  5.282472522620E-04  1.004102E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.018837E-30  1.003109E-30  1.006008E-30  1.002375E-30
     46  5.560479783168E-04  1.004310E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.019824E-30  1.003272E-30  1.006327E-30  1.002501E-30
     47  5.838060709037E-04  1.004517E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.020809E-30  1.003435E-30  1.006646E-30  1.002628E-30
     48  6.116334118686E-04  1.004725E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.021797E-30  1.003598E-30  1.006965E-30  1.002756E-30
