 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                ca49          ca50          ca51          ca52          ca53          ca54          ca55          ca56 
     41  4.138876583201E-04  1.000228E-30  1.000589E-30  1.000762E-30  1.002705E-30  1.006775E-30  1.000008E-30  1.055437E-30  1.056273E-30
     42  4.432651277490E-04  1.000244E-30  1.000631E-30  1.000816E-30  1.002900E-30  1.007286E-30  1.000000E-30  1.059320E-30  1.060206E-30
     43  4.720041568584E-04  1.000260E-30  1.000672E-30  1.000869E-30  1.003091E-30  1.007790E-30  1.000000E-30  1.063112E-30  1.064046E-30
     44  5.002792532552E-04  1.000275E-30  1.000712E-30  1.000922E-30  1.003279E-30  1.008289E-30  1.000000E-30  1.066836E-30  1.067817E-30
     45  5.282472522620E-04  1.000291E-30  1.000752E-30  1.000974E-30  1.003465E-30  1.008787E-30  1.000000E-30  1.070514E-30  1.071539E-30
     46  5.560479783168E-04  1.000306E-30  1.000792E-30  1.001025E-30  1.003651E-30  1.009285E-30  1.000000E-30  1.074164E-30  1.075232E-30
     47  5.838060709037E-04  1.000321E-30  1.000832E-30  1.001077E-30  1.003836E-30  1.009786E-30  1.000000E-30  1.077802E-30  1.078912E-30
     48  6.116334118686E-04  1.000337E-30  1.000872E-30  1.001129E-30  1.004023E-30  1.010292E-30  1.000000E-30  1.081443E-30  1.082594E-30
     49  6.396318340541E-04  1.000352E-30  1.000912E-30  1.001181E-30  1.004210E-30  1.010805E-30  1.000000E-30  1.085100E-30  1.086292E-30
     50  6.678959636874E-04  1.000368E-30  1.000952E-30  1.001234E-30  1.004400E-30  1.011326E-30  1.000000E-30  1.088786E-30  1.090017E-30
     51  6.965161747902E-04  1.000384E-30  1.000993E-30  1.001287E-30  1.004593E-30  1.011857E-30  1.000000E-30  1.092512E-30  1.093782E-30
     52  7.255817382538E-04  1.000400E-30  1.001035E-30  1.001341E-30  1.004789E-30  1.012401E-30  1.000000E-30  1.096290E-30  1.097598E-30
     53  7.551843574001E-04  1.000416E-30  1.001077E-30  1.001397E-30  1.004989E-30  1.012958E-30  1.000002E-30  1.100130E-30  1.101477E-30
     54  7.854224313090E-04  1.000433E-30  1.001121E-30  1.001453E-30  1.005194E-30  1.013532E-30  1.000009E-30  1.104046E-30  1.105431E-30
     55  8.164066374138E-04  1.000450E-30  1.001165E-30  1.001511E-30  1.005404E-30  1.014124E-30  1.000017E-30  1.108052E-30  1.109473E-30
     56  8.482679080764E-04  1.000468E-30  1.001211E-30  1.001571E-30  1.005620E-30  1.014737E-30  1.000029E-30  1.112162E-30  1.113621E-30
     57  8.811699017317E-04  1.000486E-30  1.001258E-30  1.001632E-30  1.005844E-30  1.015375E-30  1.000045E-30  1.116399E-30  1.117895E-30
     58  9.153304977871E-04  1.000505E-30  1.001307E-30  1.001697E-30  1.006077E-30  1.016043E-30  1.000068E-30  1.120790E-30  1.122322E-30
     59  9.510634923056E-04  1.000524E-30  1.001359E-30  1.001764E-30  1.006321E-30  1.016748E-30  1.000102E-30  1.125373E-30  1.126942E-30
     60  9.888739022907E-04  1.000545E-30  1.001413E-30  1.001835E-30  1.006580E-30  1.017499E-30  1.000155E-30  1.130211E-30  1.131818E-30
     61  1.029744313280E-03  1.000568E-30  1.001472E-30  1.001912E-30  1.006861E-30  1.018319E-30  1.000251E-30  1.135429E-30  1.137074E-30
     62  1.076805333108E-03  1.000594E-30  1.001540E-30  1.002000E-30  1.007185E-30  1.019273E-30  1.000492E-30  1.141422E-30  1.143107E-30
     63  1.127478238084E-03  1.000622E-30  1.001613E-30  1.002096E-30  1.007535E-30  1.020310E-30  1.000649E-30  1.147855E-30  1.149582E-30
