 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                ne19          ne20          ne21          ne22          ne23          ne24          ne25          ne26 
     41  4.138876583201E-04  1.000000E-30  1.000554E-30  1.000192E-30  7.975245E-30  1.000121E-30  1.000716E-30  1.005260E-30  1.028368E-30
     42  4.432651277490E-04  1.000000E-30  1.000594E-30  1.000206E-30  8.470344E-30  1.000130E-30  1.000767E-30  1.005633E-30  1.030380E-30
     43  4.720041568584E-04  1.000000E-30  1.000632E-30  1.000219E-30  8.954682E-30  1.000138E-30  1.000816E-30  1.005998E-30  1.032348E-30
     44  5.002792532552E-04  1.000000E-30  1.000670E-30  1.000232E-30  9.431202E-30  1.000146E-30  1.000865E-30  1.006357E-30  1.034285E-30
     45  5.282472522620E-04  1.000000E-30  1.000708E-30  1.000245E-30  9.902547E-30  1.000154E-30  1.000914E-30  1.006713E-30  1.036199E-30
     46  5.560479783168E-04  1.000000E-30  1.000745E-30  1.000258E-30  1.037107E-29  1.000162E-30  1.000962E-30  1.007066E-30  1.038103E-30
     47  5.838060709037E-04  1.000000E-30  1.000782E-30  1.000271E-30  1.083888E-29  1.000171E-30  1.001010E-30  1.007419E-30  1.040003E-30
     48  6.116334118686E-04  1.000000E-30  1.000820E-30  1.000284E-30  1.130785E-29  1.000179E-30  1.001058E-30  1.007772E-30  1.041907E-30
     49  6.396318340541E-04  1.000000E-30  1.000857E-30  1.000297E-30  1.177971E-29  1.000187E-30  1.001106E-30  1.008128E-30  1.043823E-30
     50  6.678959636874E-04  1.000000E-30  1.000895E-30  1.000310E-30  1.225605E-29  1.000195E-30  1.001155E-30  1.008487E-30  1.045758E-30
     51  6.965161747902E-04  1.000000E-30  1.000934E-30  1.000323E-30  1.273838E-29  1.000204E-30  1.001205E-30  1.008850E-30  1.047716E-30
     52  7.255817382538E-04  1.000000E-30  1.000973E-30  1.000337E-30  1.322822E-29  1.000212E-30  1.001255E-30  1.009219E-30  1.049704E-30
     53  7.551843574001E-04  1.000000E-30  1.001013E-30  1.000351E-30  1.372712E-29  1.000221E-30  1.001306E-30  1.009595E-30  1.051730E-30
     54  7.854224313090E-04  1.000000E-30  1.001053E-30  1.000365E-30  1.423672E-29  1.000230E-30  1.001358E-30  1.009979E-30  1.053798E-30
     55  8.164066374138E-04  1.000000E-30  1.001095E-30  1.000379E-30  1.475889E-29  1.000239E-30  1.001412E-30  1.010373E-30  1.055917E-30
     56  8.482679080764E-04  1.000000E-30  1.001138E-30  1.000394E-30  1.529585E-29  1.000248E-30  1.001467E-30  1.010778E-30  1.058096E-30
     57  8.811699017317E-04  1.000000E-30  1.001182E-30  1.000409E-30  1.585035E-29  1.000257E-30  1.001524E-30  1.011195E-30  1.060346E-30
     58  9.153304977871E-04  1.000000E-30  1.001228E-30  1.000425E-30  1.642606E-29  1.000267E-30  1.001583E-30  1.011629E-30  1.062681E-30
     59  9.510634923056E-04  1.000000E-30  1.001276E-30  1.000442E-30  1.702827E-29  1.000278E-30  1.001645E-30  1.012083E-30  1.065124E-30
     60  9.888739022907E-04  1.000000E-30  1.001327E-30  1.000459E-30  1.766548E-29  1.000289E-30  1.001710E-30  1.012563E-30  1.067709E-30
     61  1.029744313280E-03  1.000000E-30  1.001382E-30  1.000478E-30  1.835427E-29  1.000301E-30  1.001781E-30  1.013082E-30  1.070502E-30
     62  1.076805333108E-03  1.000000E-30  1.001445E-30  1.000500E-30  1.914739E-29  1.000315E-30  1.001862E-30  1.013679E-30  1.073718E-30
     63  1.127478238084E-03  1.000000E-30  1.001514E-30  1.000524E-30  2.000138E-29  1.000329E-30  1.001950E-30  1.014323E-30  1.077180E-30
