 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                na22          na23          na24          na25          na26          na27          na28          na29 
     27  8.489118412102E-05  1.000000E-30  1.468302E-30  1.000000E-30  1.000097E-30  1.000253E-30  1.001643E-30  1.001167E-30  1.002460E-30
     28  9.570255892797E-05  1.000000E-30  1.527942E-30  1.000000E-30  1.000109E-30  1.000285E-30  1.001852E-30  1.001315E-30  1.002773E-30
     29  1.070853065563E-04  1.000000E-30  1.590735E-30  1.000000E-30  1.000122E-30  1.000319E-30  1.002073E-30  1.001471E-30  1.003102E-30
     30  1.190882425669E-04  1.000000E-30  1.656949E-30  1.000000E-30  1.000136E-30  1.000355E-30  1.002305E-30  1.001636E-30  1.003450E-30
     31  1.366291075688E-04  1.000000E-30  1.753714E-30  1.000000E-30  1.000156E-30  1.000408E-30  1.002644E-30  1.001876E-30  1.003957E-30
     32  1.695708820900E-04  1.000000E-30  1.935437E-30  1.000001E-30  1.000193E-30  1.000507E-30  1.003282E-30  1.002328E-30  1.004910E-30
     33  1.992873377730E-04  1.000000E-30  2.099367E-30  1.000001E-30  1.000227E-30  1.000596E-30  1.003857E-30  1.002735E-30  1.005769E-30
     34  2.264248739983E-04  1.000000E-30  2.249071E-30  1.000001E-30  1.000258E-30  1.000678E-30  1.004382E-30  1.003107E-30  1.006554E-30
     35  2.515933231106E-04  1.000000E-30  2.387913E-30  1.000001E-30  1.000287E-30  1.000754E-30  1.004869E-30  1.003451E-30  1.007281E-30
     36  2.753099894686E-04  1.000000E-30  2.518746E-30  1.000001E-30  1.000314E-30  1.000826E-30  1.005328E-30  1.003775E-30  1.007966E-30
     37  2.979926919870E-04  1.000000E-30  2.643875E-30  1.000001E-30  1.000340E-30  1.000895E-30  1.005767E-30  1.004085E-30  1.008620E-30
     38  3.199702121451E-04  1.000000E-30  2.765113E-30  1.000001E-30  1.000365E-30  1.000962E-30  1.006192E-30  1.004385E-30  1.009255E-30
     39  3.524429751724E-04  1.000000E-30  2.944249E-30  1.000001E-30  1.000403E-30  1.001061E-30  1.006820E-30  1.004829E-30  1.010191E-30
     40  3.836809895565E-04  1.000000E-30  3.116574E-30  1.000001E-30  1.000438E-30  1.001156E-30  1.007424E-30  1.005255E-30  1.011092E-30
     41  4.138876583201E-04  1.000000E-30  3.283208E-30  1.000001E-30  1.000473E-30  1.001249E-30  1.008008E-30  1.005666E-30  1.011962E-30
     42  4.432651277490E-04  1.000000E-30  3.445269E-30  1.000002E-30  1.000507E-30  1.001339E-30  1.008576E-30  1.006067E-30  1.012809E-30
     43  4.720041568584E-04  1.000000E-30  3.603808E-30  1.000002E-30  1.000540E-30  1.001428E-30  1.009132E-30  1.006458E-30  1.013636E-30
     44  5.002792532552E-04  1.000000E-30  3.759787E-30  1.000002E-30  1.000572E-30  1.001515E-30  1.009679E-30  1.006843E-30  1.014450E-30
     45  5.282472522620E-04  1.000000E-30  3.914072E-30  1.000002E-30  1.000604E-30  1.001601E-30  1.010220E-30  1.007223E-30  1.015254E-30
     46  5.560479783168E-04  1.000000E-30  4.067435E-30  1.000002E-30  1.000636E-30  1.001688E-30  1.010757E-30  1.007600E-30  1.016054E-30
     47  5.838060709037E-04  1.000000E-30  4.220562E-30  1.000002E-30  1.000668E-30  1.001774E-30  1.011294E-30  1.007977E-30  1.016851E-30
     48  6.116334118686E-04  1.000000E-30  4.374071E-30  1.000002E-30  1.000700E-30  1.001860E-30  1.011832E-30  1.008355E-30  1.017651E-30
     49  6.396318340541E-04  1.000000E-30  4.528525E-30  1.000002E-30  1.000732E-30  1.001948E-30  1.012373E-30  1.008735E-30  1.018455E-30
     50  6.678959636874E-04  1.000000E-30  4.684443E-30  1.000002E-30  1.000764E-30  1.002036E-30  1.012919E-30  1.009118E-30  1.019266E-30
     51  6.965161747902E-04  1.000000E-30  4.842327E-30  1.000002E-30  1.000797E-30  1.002126E-30  1.013472E-30  1.009505E-30  1.020087E-30
     52  7.255817382538E-04  1.000000E-30  5.002667E-30  1.000002E-30  1.000831E-30  1.002217E-30  1.014034E-30  1.009899E-30  1.020921E-30
     53  7.551843574001E-04  1.000000E-30  5.165969E-30  1.000003E-30  1.000865E-30  1.002310E-30  1.014606E-30  1.010299E-30  1.021769E-30
     54  7.854224313090E-04  1.000000E-30  5.332777E-30  1.000003E-30  1.000900E-30  1.002406E-30  1.015190E-30  1.010708E-30  1.022636E-30
     55  8.164066374138E-04  1.000000E-30  5.503702E-30  1.000003E-30  1.000935E-30  1.002504E-30  1.015789E-30  1.011126E-30  1.023523E-30
     56  8.482679080764E-04  1.000000E-30  5.679464E-30  1.000003E-30  1.000972E-30  1.002605E-30  1.016405E-30  1.011556E-30  1.024435E-30
     57  8.811699017317E-04  1.000000E-30  5.860968E-30  1.000003E-30  1.001010E-30  1.002709E-30  1.017040E-30  1.012000E-30  1.025376E-30
     58  9.153304977871E-04  1.000000E-30  6.049414E-30  1.000003E-30  1.001049E-30  1.002818E-30  1.017700E-30  1.012461E-30  1.026353E-30
     59  9.510634923056E-04  1.000000E-30  6.246535E-30  1.000003E-30  1.001091E-30  1.002932E-30  1.018391E-30  1.012942E-30  1.027375E-30
     60  9.888739022907E-04  1.000000E-30  6.455116E-30  1.000003E-30  1.001134E-30  1.003054E-30  1.019121E-30  1.013451E-30  1.028455E-30
     61  1.029744313280E-03  1.000000E-30  6.680577E-30  1.000004E-30  1.001181E-30  1.003185E-30  1.019910E-30  1.014000E-30  1.029621E-30
     62  1.076805333108E-03  1.000000E-30  6.940189E-30  1.000004E-30  1.001236E-30  1.003337E-30  1.020819E-30  1.014632E-30  1.030964E-30
     63  1.127478238084E-03  1.000000E-30  7.219726E-30  1.000004E-30  1.001294E-30  1.003501E-30  1.021797E-30  1.015312E-30  1.032408E-30
     64  1.179263354774E-03  1.000000E-30  7.505398E-30  1.000004E-30  1.001354E-30  1.003669E-30  1.022797E-30  1.016006E-30  1.033883E-30
     65  1.231720185468E-03  1.000000E-30  7.794776E-30  1.000004E-30  1.001415E-30  1.003840E-30  1.023810E-30  1.016708E-30  1.035376E-30
     66  1.284679788904E-03  1.000000E-30  8.086927E-30  1.000004E-30  1.001476E-30  1.004013E-30  1.024832E-30  1.017416E-30  1.036882E-30
     67  1.338068714676E-03  1.000000E-30  8.381447E-30  1.000005E-30  1.001538E-30  1.004189E-30  1.025863E-30  1.018128E-30  1.038399E-30
     68  1.391852718980E-03  1.000000E-30  8.678146E-30  1.000005E-30  1.001600E-30  1.004367E-30  1.026900E-30  1.018846E-30  1.039926E-30
     69  1.446014888479E-03  1.000000E-30  8.976931E-30  1.000005E-30  1.001663E-30  1.004546E-30  1.027945E-30  1.019567E-30  1.041463E-30
     70  1.500546342624E-03  1.000000E-30  9.277753E-30  1.000005E-30  1.001727E-30  1.004727E-30  1.028998E-30  1.020292E-30  1.043008E-30
     71  1.555442065896E-03  1.000000E-30  9.580585E-30  1.000005E-30  1.001790E-30  1.004911E-30  1.030056E-30  1.021022E-30  1.044563E-30
     72  1.610698967280E-03  1.000000E-30  9.885410E-30  1.000005E-30  1.001855E-30  1.005096E-30  1.031122E-30  1.021755E-30  1.046126E-30
     73  1.666314948699E-03  1.000000E-30  1.019221E-29  1.000006E-30  1.001919E-30  1.005284E-30  1.032195E-30  1.022492E-30  1.047699E-30
     74  1.722288445659E-03  1.000000E-30  1.050099E-29  1.000006E-30  1.001984E-30  1.005473E-30  1.033274E-30  1.023233E-30  1.049280E-30
     75  1.778618195039E-03  1.000000E-30  1.081173E-29  1.000006E-30  1.002050E-30  1.005664E-30  1.034360E-30  1.023978E-30  1.050869E-30
     76  1.835303663832E-03  1.000000E-30  1.112444E-29  1.000006E-30  1.002116E-30  1.005857E-30  1.035453E-30  1.024726E-30  1.052468E-30
     77  1.892344396716E-03  1.000000E-30  1.143910E-29  1.000006E-30  1.002183E-30  1.006053E-30  1.036552E-30  1.025478E-30  1.054075E-30
     78  1.949739812628E-03  1.000000E-30  1.175573E-29  1.000007E-30  1.002250E-30  1.006250E-30  1.037659E-30  1.026234E-30  1.055690E-30
     79  2.007489276907E-03  1.000000E-30  1.207430E-29  1.000007E-30  1.002317E-30  1.006449E-30  1.038771E-30  1.026993E-30  1.057314E-30
     80  2.065592139419E-03  1.000000E-30  1.239482E-29  1.000007E-30  1.002385E-30  1.006650E-30  1.039891E-30  1.027756E-30  1.058947E-30
     81  2.124047755162E-03  1.000000E-30  1.271729E-29  1.000007E-30  1.002454E-30  1.006854E-30  1.041017E-30  1.028523E-30  1.060588E-30
     82  2.182855495215E-03  1.000000E-30  1.304171E-29  1.000007E-30  1.002523E-30  1.007059E-30  1.042150E-30  1.029293E-30  1.062237E-30
     83  2.242014752368E-03  1.000000E-30  1.336806E-29  1.000008E-30  1.002592E-30  1.007267E-30  1.043289E-30  1.030067E-30  1.063895E-30
     84  2.301524943777E-03  1.000000E-30  1.369635E-29  1.000008E-30  1.002662E-30  1.007476E-30  1.044435E-30  1.030844E-30  1.065561E-30
     85  2.361385511936E-03  1.000000E-30  1.402657E-29  1.000008E-30  1.002732E-30  1.007688E-30  1.045588E-30  1.031625E-30  1.067235E-30
     86  2.421595924701E-03  1.000000E-30  1.435872E-29  1.000008E-30  1.002803E-30  1.007902E-30  1.046747E-30  1.032410E-30  1.068918E-30
     87  2.482155674804E-03  1.000000E-30  1.469279E-29  1.000008E-30  1.002874E-30  1.008118E-30  1.047913E-30  1.033198E-30  1.070608E-30
     88  2.543064279071E-03  1.000000E-30  1.502880E-29  1.000009E-30  1.002945E-30  1.008336E-30  1.049085E-30  1.033989E-30  1.072307E-30
     89  2.604321277494E-03  1.000000E-30  1.536672E-29  1.000009E-30  1.003018E-30  1.008556E-30  1.050264E-30  1.034784E-30  1.074014E-30
     90  2.665926232237E-03  1.000000E-30  1.570656E-29  1.000009E-30  1.003090E-30  1.008778E-30  1.051449E-30  1.035582E-30  1.075729E-30
     91  2.727878734382E-03  1.000000E-30  1.604832E-29  1.000009E-30  1.003163E-30  1.009003E-30  1.052641E-30  1.036383E-30  1.077452E-30
     92  2.790178404165E-03  1.000000E-30  1.639200E-29  1.000010E-30  1.003237E-30  1.009230E-30  1.053839E-30  1.037188E-30  1.079183E-30
     93  2.852824875480E-03  1.000000E-30  1.673759E-29  1.000010E-30  1.003311E-30  1.009459E-30  1.055044E-30  1.037996E-30  1.080922E-30
     94  2.915817796872E-03  1.000000E-30  1.708509E-29  1.000010E-30  1.003385E-30  1.009690E-30  1.056255E-30  1.038808E-30  1.082669E-30
     95  2.979156831833E-03  1.000000E-30  1.743450E-29  1.000010E-30  1.003460E-30  1.009924E-30  1.057473E-30  1.039623E-30  1.084424E-30
