 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                pm171         pm172         pm173         pm174         pm175         pm176         pm177         pm178
     27  8.489118412102E-05  1.000969E-30  1.000062E-30  1.000000E-30  1.000383E-30  1.000363E-30  1.000606E-30  1.002771E-30  1.000000E-30
     28  9.570255892797E-05  1.001093E-30  1.000070E-30  1.000000E-30  1.000432E-30  1.000410E-30  1.000684E-30  1.003125E-30  1.000000E-30
     29  1.070853065563E-04  1.001223E-30  1.000078E-30  1.000000E-30  1.000484E-30  1.000460E-30  1.000767E-30  1.003497E-30  1.000000E-30
     30  1.190882425669E-04  1.001360E-30  1.000087E-30  1.000000E-30  1.000539E-30  1.000512E-30  1.000855E-30  1.003889E-30  1.000000E-30
     31  1.366291075688E-04  1.001561E-30  1.000101E-30  1.000000E-30  1.000619E-30  1.000590E-30  1.000985E-30  1.004463E-30  1.000000E-30
     32  1.695708820900E-04  1.001940E-30  1.000126E-30  1.000000E-30  1.000771E-30  1.000736E-30  1.001230E-30  1.005540E-30  1.000000E-30
     33  1.992873377730E-04  1.002281E-30  1.000149E-30  1.000000E-30  1.000909E-30  1.000870E-30  1.001454E-30  1.006513E-30  1.000000E-30
     34  2.264248739983E-04  1.002594E-30  1.000171E-30  1.000000E-30  1.001036E-30  1.000993E-30  1.001660E-30  1.007402E-30  1.000000E-30
     35  2.515933231106E-04  1.002884E-30  1.000192E-30  1.000000E-30  1.001155E-30  1.001108E-30  1.001853E-30  1.008227E-30  1.000000E-30
     36  2.753099894686E-04  1.003158E-30  1.000211E-30  1.000000E-30  1.001267E-30  1.001218E-30  1.002037E-30  1.009004E-30  1.000000E-30
     37  2.979926919870E-04  1.003421E-30  1.000230E-30  1.000000E-30  1.001374E-30  1.001323E-30  1.002214E-30  1.009748E-30  1.000000E-30
     38  3.199702121451E-04  1.003675E-30  1.000248E-30  1.000000E-30  1.001479E-30  1.001426E-30  1.002387E-30  1.010469E-30  1.000000E-30
     39  3.524429751724E-04  1.004051E-30  1.000276E-30  1.000000E-30  1.001635E-30  1.001580E-30  1.002645E-30  1.011535E-30  1.000000E-30
     40  3.836809895565E-04  1.004414E-30  1.000303E-30  1.000000E-30  1.001786E-30  1.001729E-30  1.002896E-30  1.012561E-30  1.000000E-30
