 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                se94          se95          se96          se97          se98          se99          se100         se101
     41  4.138876583201E-04  1.010201E-30  1.004853E-30  1.009171E-30  1.013498E-30  1.020003E-30  1.015398E-30  1.028635E-30  1.000000E-30
     42  4.432651277490E-04  1.010926E-30  1.005202E-30  1.009819E-30  1.014451E-30  1.021410E-30  1.016469E-30  1.030629E-30  1.000000E-30
     43  4.720041568584E-04  1.011635E-30  1.005545E-30  1.010453E-30  1.015381E-30  1.022786E-30  1.017515E-30  1.032575E-30  1.000000E-30
     44  5.002792532552E-04  1.012332E-30  1.005882E-30  1.011075E-30  1.016297E-30  1.024137E-30  1.018540E-30  1.034485E-30  1.000000E-30
     45  5.282472522620E-04  1.013023E-30  1.006217E-30  1.011691E-30  1.017201E-30  1.025473E-30  1.019552E-30  1.036370E-30  1.000000E-30
     46  5.560479783168E-04  1.013709E-30  1.006550E-30  1.012303E-30  1.018099E-30  1.026799E-30  1.020556E-30  1.038239E-30  1.000000E-30
     47  5.838060709037E-04  1.014394E-30  1.006883E-30  1.012913E-30  1.018995E-30  1.028122E-30  1.021555E-30  1.040101E-30  1.000000E-30
     48  6.116334118686E-04  1.015081E-30  1.007218E-30  1.013525E-30  1.019893E-30  1.029446E-30  1.022555E-30  1.041963E-30  1.000000E-30
     49  6.396318340541E-04  1.015772E-30  1.007555E-30  1.014140E-30  1.020796E-30  1.030777E-30  1.023558E-30  1.043831E-30  1.000000E-30
     50  6.678959636874E-04  1.016469E-30  1.007896E-30  1.014760E-30  1.021706E-30  1.032119E-30  1.024568E-30  1.045713E-30  1.000000E-30
     51  6.965161747902E-04  1.017176E-30  1.008242E-30  1.015388E-30  1.022628E-30  1.033477E-30  1.025588E-30  1.047615E-30  1.000000E-30
     52  7.255817382538E-04  1.017894E-30  1.008593E-30  1.016025E-30  1.023562E-30  1.034854E-30  1.026621E-30  1.049541E-30  1.000000E-30
     53  7.551843574001E-04  1.018625E-30  1.008952E-30  1.016674E-30  1.024514E-30  1.036255E-30  1.027670E-30  1.051497E-30  1.000000E-30
     54  7.854224313090E-04  1.019371E-30  1.009320E-30  1.017336E-30  1.025485E-30  1.037685E-30  1.028740E-30  1.053491E-30  1.000000E-30
     55  8.164066374138E-04  1.020137E-30  1.009697E-30  1.018014E-30  1.026479E-30  1.039148E-30  1.029832E-30  1.055528E-30  1.000000E-30
     56  8.482679080764E-04  1.020924E-30  1.010086E-30  1.018711E-30  1.027500E-30  1.040650E-30  1.030952E-30  1.057618E-30  1.000000E-30
     57  8.811699017317E-04  1.021737E-30  1.010488E-30  1.019430E-30  1.028553E-30  1.042200E-30  1.032106E-30  1.059769E-30  1.000000E-30
     58  9.153304977871E-04  1.022581E-30  1.010906E-30  1.020176E-30  1.029646E-30  1.043807E-30  1.033300E-30  1.061997E-30  1.000000E-30
