 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                si28          si29          si30          si31          si32          si33          si34          si35 
     27  8.489118412102E-05  1.000218E-30  1.000014E-30  1.000017E-30  1.000091E-30  1.001783E-30  1.001402E-30  1.001381E-30  1.001449E-30
     28  9.570255892797E-05  1.000246E-30  1.000016E-30  1.000019E-30  1.000103E-30  1.002010E-30  1.001580E-30  1.001557E-30  1.001633E-30
     29  1.070853065563E-04  1.000276E-30  1.000018E-30  1.000021E-30  1.000115E-30  1.002249E-30  1.001768E-30  1.001742E-30  1.001828E-30
     30  1.190882425669E-04  1.000306E-30  1.000020E-30  1.000023E-30  1.000128E-30  1.002501E-30  1.001966E-30  1.001938E-30  1.002033E-30
     31  1.366291075688E-04  1.000352E-30  1.000023E-30  1.000027E-30  1.000147E-30  1.002870E-30  1.002256E-30  1.002223E-30  1.002332E-30
     32  1.695708820900E-04  1.000436E-30  1.000029E-30  1.000033E-30  1.000183E-30  1.003562E-30  1.002800E-30  1.002760E-30  1.002894E-30
     33  1.992873377730E-04  1.000513E-30  1.000034E-30  1.000039E-30  1.000215E-30  1.004186E-30  1.003290E-30  1.003245E-30  1.003401E-30
     34  2.264248739983E-04  1.000583E-30  1.000038E-30  1.000045E-30  1.000244E-30  1.004756E-30  1.003738E-30  1.003688E-30  1.003864E-30
     35  2.515933231106E-04  1.000647E-30  1.000043E-30  1.000050E-30  1.000271E-30  1.005285E-30  1.004154E-30  1.004099E-30  1.004294E-30
     36  2.753099894686E-04  1.000709E-30  1.000047E-30  1.000054E-30  1.000296E-30  1.005783E-30  1.004545E-30  1.004486E-30  1.004699E-30
     37  2.979926919870E-04  1.000767E-30  1.000050E-30  1.000059E-30  1.000321E-30  1.006259E-30  1.004920E-30  1.004857E-30  1.005086E-30
     38  3.199702121451E-04  1.000824E-30  1.000054E-30  1.000063E-30  1.000344E-30  1.006721E-30  1.005283E-30  1.005216E-30  1.005461E-30
     39  3.524429751724E-04  1.000907E-30  1.000060E-30  1.000070E-30  1.000379E-30  1.007403E-30  1.005819E-30  1.005747E-30  1.006015E-30
     40  3.836809895565E-04  1.000988E-30  1.000065E-30  1.000076E-30  1.000413E-30  1.008059E-30  1.006334E-30  1.006258E-30  1.006548E-30
     41  4.138876583201E-04  1.001065E-30  1.000070E-30  1.000082E-30  1.000446E-30  1.008693E-30  1.006833E-30  1.006753E-30  1.007063E-30
     42  4.432651277490E-04  1.001141E-30  1.000075E-30  1.000087E-30  1.000477E-30  1.009311E-30  1.007318E-30  1.007234E-30  1.007564E-30
     43  4.720041568584E-04  1.001215E-30  1.000080E-30  1.000093E-30  1.000508E-30  1.009914E-30  1.007793E-30  1.007705E-30  1.008055E-30
     44  5.002792532552E-04  1.001288E-30  1.000085E-30  1.000099E-30  1.000539E-30  1.010508E-30  1.008259E-30  1.008169E-30  1.008537E-30
     45  5.282472522620E-04  1.001360E-30  1.000089E-30  1.000104E-30  1.000569E-30  1.011096E-30  1.008721E-30  1.008628E-30  1.009014E-30
     46  5.560479783168E-04  1.001432E-30  1.000094E-30  1.000110E-30  1.000599E-30  1.011679E-30  1.009180E-30  1.009085E-30  1.009489E-30
     47  5.838060709037E-04  1.001503E-30  1.000099E-30  1.000115E-30  1.000629E-30  1.012263E-30  1.009638E-30  1.009541E-30  1.009962E-30
     48  6.116334118686E-04  1.001575E-30  1.000104E-30  1.000121E-30  1.000659E-30  1.012847E-30  1.010098E-30  1.009998E-30  1.010437E-30
     49  6.396318340541E-04  1.001647E-30  1.000108E-30  1.000126E-30  1.000689E-30  1.013435E-30  1.010560E-30  1.010459E-30  1.010914E-30
     50  6.678959636874E-04  1.001720E-30  1.000113E-30  1.000132E-30  1.000719E-30  1.014029E-30  1.011027E-30  1.010924E-30  1.011397E-30
     51  6.965161747902E-04  1.001794E-30  1.000118E-30  1.000137E-30  1.000750E-30  1.014630E-30  1.011499E-30  1.011395E-30  1.011885E-30
     52  7.255817382538E-04  1.001869E-30  1.000123E-30  1.000143E-30  1.000781E-30  1.015240E-30  1.011979E-30  1.011874E-30  1.012381E-30
     53  7.551843574001E-04  1.001945E-30  1.000128E-30  1.000149E-30  1.000813E-30  1.015862E-30  1.012468E-30  1.012362E-30  1.012886E-30
     54  7.854224313090E-04  1.002023E-30  1.000133E-30  1.000155E-30  1.000846E-30  1.016497E-30  1.012967E-30  1.012861E-30  1.013401E-30
     55  8.164066374138E-04  1.002103E-30  1.000138E-30  1.000161E-30  1.000879E-30  1.017148E-30  1.013478E-30  1.013372E-30  1.013930E-30
     56  8.482679080764E-04  1.002185E-30  1.000144E-30  1.000167E-30  1.000914E-30  1.017817E-30  1.014004E-30  1.013898E-30  1.014473E-30
     57  8.811699017317E-04  1.002270E-30  1.000149E-30  1.000174E-30  1.000949E-30  1.018508E-30  1.014547E-30  1.014442E-30  1.015034E-30
     58  9.153304977871E-04  1.002358E-30  1.000155E-30  1.000181E-30  1.000986E-30  1.019226E-30  1.015111E-30  1.015007E-30  1.015617E-30
     59  9.510634923056E-04  1.002451E-30  1.000161E-30  1.000188E-30  1.001025E-30  1.019977E-30  1.015701E-30  1.015598E-30  1.016226E-30
     60  9.888739022907E-04  1.002548E-30  1.000168E-30  1.000195E-30  1.001065E-30  1.020771E-30  1.016325E-30  1.016224E-30  1.016871E-30
     61  1.029744313280E-03  1.002654E-30  1.000174E-30  1.000203E-30  1.001109E-30  1.021629E-30  1.017000E-30  1.016902E-30  1.017568E-30
     62  1.076805333108E-03  1.002776E-30  1.000182E-30  1.000213E-30  1.001160E-30  1.022618E-30  1.017777E-30  1.017683E-30  1.018371E-30
     63  1.127478238084E-03  1.002906E-30  1.000191E-30  1.000223E-30  1.001215E-30  1.023682E-30  1.018614E-30  1.018524E-30  1.019235E-30
     64  1.179263354774E-03  1.003040E-30  1.000200E-30  1.000233E-30  1.001271E-30  1.024770E-30  1.019468E-30  1.019385E-30  1.020118E-30
     65  1.231720185468E-03  1.003176E-30  1.000209E-30  1.000243E-30  1.001327E-30  1.025872E-30  1.020334E-30  1.020258E-30  1.021012E-30
     66  1.284679788904E-03  1.003313E-30  1.000218E-30  1.000254E-30  1.001384E-30  1.026984E-30  1.021209E-30  1.021141E-30  1.021915E-30
     67  1.338068714676E-03  1.003451E-30  1.000227E-30  1.000264E-30  1.001442E-30  1.028105E-30  1.022090E-30  1.022031E-30  1.022825E-30
     68  1.391852718980E-03  1.003590E-30  1.000236E-30  1.000275E-30  1.001500E-30  1.029235E-30  1.022978E-30  1.022929E-30  1.023742E-30
     69  1.446014888479E-03  1.003730E-30  1.000245E-30  1.000285E-30  1.001559E-30  1.030373E-30  1.023872E-30  1.023835E-30  1.024665E-30
     70  1.500546342624E-03  1.003872E-30  1.000254E-30  1.000296E-30  1.001617E-30  1.031518E-30  1.024772E-30  1.024748E-30  1.025595E-30
     71  1.555442065896E-03  1.004014E-30  1.000264E-30  1.000307E-30  1.001677E-30  1.032671E-30  1.025678E-30  1.025668E-30  1.026531E-30
     72  1.610698967280E-03  1.004157E-30  1.000273E-30  1.000318E-30  1.001736E-30  1.033832E-30  1.026590E-30  1.026595E-30  1.027473E-30
     73  1.666314948699E-03  1.004301E-30  1.000283E-30  1.000329E-30  1.001796E-30  1.035000E-30  1.027508E-30  1.027529E-30  1.028420E-30
     74  1.722288445659E-03  1.004446E-30  1.000292E-30  1.000340E-30  1.001857E-30  1.036176E-30  1.028432E-30  1.028470E-30  1.029374E-30
     75  1.778618195039E-03  1.004593E-30  1.000302E-30  1.000351E-30  1.001918E-30  1.037359E-30  1.029362E-30  1.029419E-30  1.030334E-30
     76  1.835303663832E-03  1.004740E-30  1.000311E-30  1.000362E-30  1.001979E-30  1.038550E-30  1.030298E-30  1.030375E-30  1.031300E-30
     77  1.892344396716E-03  1.004888E-30  1.000321E-30  1.000374E-30  1.002041E-30  1.039748E-30  1.031239E-30  1.031338E-30  1.032272E-30
     78  1.949739812628E-03  1.005037E-30  1.000331E-30  1.000385E-30  1.002103E-30  1.040953E-30  1.032187E-30  1.032308E-30  1.033250E-30
     79  2.007489276907E-03  1.005187E-30  1.000341E-30  1.000397E-30  1.002165E-30  1.042166E-30  1.033140E-30  1.033286E-30  1.034234E-30
     80  2.065592139419E-03  1.005338E-30  1.000351E-30  1.000408E-30  1.002228E-30  1.043387E-30  1.034099E-30  1.034271E-30  1.035224E-30
     81  2.124047755162E-03  1.005490E-30  1.000361E-30  1.000420E-30  1.002291E-30  1.044614E-30  1.035064E-30  1.035263E-30  1.036220E-30
     82  2.182855495215E-03  1.005643E-30  1.000371E-30  1.000431E-30  1.002354E-30  1.045850E-30  1.036035E-30  1.036262E-30  1.037222E-30
     83  2.242014752368E-03  1.005797E-30  1.000381E-30  1.000443E-30  1.002418E-30  1.047092E-30  1.037011E-30  1.037269E-30  1.038230E-30
     84  2.301524943777E-03  1.005952E-30  1.000391E-30  1.000455E-30  1.002483E-30  1.048342E-30  1.037993E-30  1.038283E-30  1.039244E-30
     85  2.361385511936E-03  1.006108E-30  1.000401E-30  1.000467E-30  1.002548E-30  1.049600E-30  1.038981E-30  1.039305E-30  1.040263E-30
     86  2.421595924701E-03  1.006265E-30  1.000411E-30  1.000479E-30  1.002613E-30  1.050864E-30  1.039975E-30  1.040334E-30  1.041289E-30
     87  2.482155674804E-03  1.006423E-30  1.000422E-30  1.000491E-30  1.002678E-30  1.052136E-30  1.040975E-30  1.041370E-30  1.042320E-30
     88  2.543064279071E-03  1.006582E-30  1.000432E-30  1.000503E-30  1.002744E-30  1.053416E-30  1.041980E-30  1.042414E-30  1.043357E-30
     89  2.604321277494E-03  1.006741E-30  1.000443E-30  1.000515E-30  1.002810E-30  1.054702E-30  1.042991E-30  1.043465E-30  1.044401E-30
     90  2.665926232237E-03  1.006902E-30  1.000453E-30  1.000527E-30  1.002877E-30  1.055996E-30  1.044008E-30  1.044524E-30  1.045450E-30
     91  2.727878734382E-03  1.007064E-30  1.000464E-30  1.000539E-30  1.002944E-30  1.057298E-30  1.045031E-30  1.045590E-30  1.046504E-30
     92  2.790178404165E-03  1.007227E-30  1.000474E-30  1.000552E-30  1.003012E-30  1.058606E-30  1.046059E-30  1.046664E-30  1.047565E-30
     93  2.852824875480E-03  1.007391E-30  1.000485E-30  1.000564E-30  1.003079E-30  1.059922E-30  1.047093E-30  1.047746E-30  1.048632E-30
     94  2.915817796872E-03  1.007556E-30  1.000496E-30  1.000576E-30  1.003148E-30  1.061245E-30  1.048132E-30  1.048835E-30  1.049704E-30
     95  2.979156831833E-03  1.007722E-30  1.000507E-30  1.000589E-30  1.003216E-30  1.062576E-30  1.049178E-30  1.049932E-30  1.050783E-30
