 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                as100         se63          se64          se65          se66          se67          se68          se69 
     27  8.489118412102E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.001383E-30  1.001019E-30  1.000886E-30  1.001487E-30  1.000289E-30
     28  9.570255892797E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.001559E-30  1.001149E-30  1.000999E-30  1.001676E-30  1.000326E-30
     29  1.070853065563E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.001744E-30  1.001285E-30  1.001118E-30  1.001875E-30  1.000365E-30
     30  1.190882425669E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.001939E-30  1.001429E-30  1.001243E-30  1.002086E-30  1.000406E-30
     31  1.366291075688E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.002225E-30  1.001639E-30  1.001426E-30  1.002393E-30  1.000466E-30
     32  1.695708820900E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.002760E-30  1.002034E-30  1.001770E-30  1.002970E-30  1.000578E-30
     33  1.992873377730E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.003243E-30  1.002389E-30  1.002080E-30  1.003490E-30  1.000680E-30
     34  2.264248739983E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.003684E-30  1.002714E-30  1.002363E-30  1.003965E-30  1.000772E-30
     35  2.515933231106E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.004093E-30  1.003015E-30  1.002625E-30  1.004406E-30  1.000858E-30
     36  2.753099894686E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.004478E-30  1.003298E-30  1.002873E-30  1.004822E-30  1.000940E-30
     37  2.979926919870E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.004846E-30  1.003569E-30  1.003109E-30  1.005219E-30  1.001017E-30
     38  3.199702121451E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.005203E-30  1.003831E-30  1.003338E-30  1.005604E-30  1.001092E-30
     39  3.524429751724E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.005730E-30  1.004219E-30  1.003677E-30  1.006172E-30  1.001204E-30
     40  3.836809895565E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.006236E-30  1.004591E-30  1.004002E-30  1.006720E-30  1.001311E-30
     41  4.138876583201E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.006726E-30  1.004951E-30  1.004317E-30  1.007249E-30  1.001414E-30
     42  4.432651277490E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.007202E-30  1.005301E-30  1.004623E-30  1.007763E-30  1.001515E-30
     43  4.720041568584E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.007667E-30  1.005643E-30  1.004923E-30  1.008266E-30  1.001614E-30
     44  5.002792532552E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.008125E-30  1.005979E-30  1.005217E-30  1.008762E-30  1.001711E-30
     45  5.282472522620E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.008577E-30  1.006312E-30  1.005508E-30  1.009251E-30  1.001807E-30
     46  5.560479783168E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.009027E-30  1.006642E-30  1.005798E-30  1.009738E-30  1.001902E-30
     47  5.838060709037E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.009476E-30  1.006971E-30  1.006087E-30  1.010224E-30  1.001998E-30
     48  6.116334118686E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.009926E-30  1.007301E-30  1.006376E-30  1.010712E-30  1.002094E-30
     49  6.396318340541E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.010378E-30  1.007633E-30  1.006668E-30  1.011202E-30  1.002190E-30
     50  6.678959636874E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.010835E-30  1.007968E-30  1.006962E-30  1.011697E-30  1.002287E-30
     51  6.965161747902E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.011297E-30  1.008307E-30  1.007260E-30  1.012198E-30  1.002386E-30
     52  7.255817382538E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.011766E-30  1.008651E-30  1.007562E-30  1.012707E-30  1.002486E-30
     53  7.551843574001E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.012243E-30  1.009002E-30  1.007870E-30  1.013226E-30  1.002588E-30
     54  7.854224313090E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.012731E-30  1.009359E-30  1.008185E-30  1.013755E-30  1.002693E-30
     55  8.164066374138E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.013230E-30  1.009725E-30  1.008507E-30  1.014298E-30  1.002800E-30
     56  8.482679080764E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.013743E-30  1.010101E-30  1.008838E-30  1.014856E-30  1.002910E-30
     57  8.811699017317E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.014273E-30  1.010489E-30  1.009180E-30  1.015432E-30  1.003024E-30
     58  9.153304977871E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.014823E-30  1.010892E-30  1.009535E-30  1.016030E-30  1.003142E-30
     59  9.510634923056E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.015398E-30  1.011313E-30  1.009906E-30  1.016656E-30  1.003266E-30
     60  9.888739022907E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.016006E-30  1.011758E-30  1.010299E-30  1.017318E-30  1.003397E-30
     61  1.029744313280E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.016663E-30  1.012239E-30  1.010724E-30  1.018034E-30  1.003538E-30
     62  1.076805333108E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.017418E-30  1.012792E-30  1.011212E-30  1.018858E-30  1.003702E-30
     63  1.127478238084E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.018232E-30  1.013387E-30  1.011739E-30  1.019746E-30  1.003878E-30
     64  1.179263354774E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.019062E-30  1.013994E-30  1.012276E-30  1.020653E-30  1.004058E-30
     65  1.231720185468E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.019903E-30  1.014609E-30  1.012820E-30  1.021571E-30  1.004240E-30
     66  1.284679788904E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.020751E-30  1.015228E-30  1.013370E-30  1.022499E-30  1.004424E-30
     67  1.338068714676E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.021606E-30  1.015852E-30  1.013923E-30  1.023434E-30  1.004611E-30
     68  1.391852718980E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.022466E-30  1.016480E-30  1.014481E-30  1.024376E-30  1.004798E-30
     69  1.446014888479E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.023331E-30  1.017112E-30  1.015043E-30  1.025324E-30  1.004987E-30
     70  1.500546342624E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.024202E-30  1.017747E-30  1.015608E-30  1.026279E-30  1.005178E-30
