 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                pt223         pt224         pt225         pt226         pt227         pt228         pt229         pt230
     41  4.138876583201E-04  1.004871E-30  1.002760E-30  1.006861E-30  1.007352E-30  1.004746E-30  1.005169E-30  1.010235E-30  1.011011E-30
     42  4.432651277490E-04  1.005217E-30  1.002959E-30  1.007352E-30  1.007877E-30  1.005081E-30  1.005533E-30  1.010955E-30  1.011785E-30
     43  4.720041568584E-04  1.005555E-30  1.003154E-30  1.007832E-30  1.008392E-30  1.005408E-30  1.005889E-30  1.011660E-30  1.012541E-30
     44  5.002792532552E-04  1.005888E-30  1.003346E-30  1.008306E-30  1.008898E-30  1.005729E-30  1.006238E-30  1.012352E-30  1.013283E-30
     45  5.282472522620E-04  1.006217E-30  1.003536E-30  1.008774E-30  1.009400E-30  1.006047E-30  1.006584E-30  1.013036E-30  1.014017E-30
     46  5.560479783168E-04  1.006544E-30  1.003725E-30  1.009240E-30  1.009899E-30  1.006362E-30  1.006927E-30  1.013716E-30  1.014746E-30
     47  5.838060709037E-04  1.006871E-30  1.003915E-30  1.009706E-30  1.010398E-30  1.006677E-30  1.007270E-30  1.014393E-30  1.015472E-30
     48  6.116334118686E-04  1.007199E-30  1.004105E-30  1.010174E-30  1.010898E-30  1.006992E-30  1.007613E-30  1.015072E-30  1.016199E-30
     49  6.396318340541E-04  1.007528E-30  1.004297E-30  1.010645E-30  1.011402E-30  1.007309E-30  1.007958E-30  1.015754E-30  1.016930E-30
     50  6.678959636874E-04  1.007861E-30  1.004491E-30  1.011121E-30  1.011911E-30  1.007628E-30  1.008305E-30  1.016442E-30  1.017667E-30
     51  6.965161747902E-04  1.008198E-30  1.004687E-30  1.011603E-30  1.012427E-30  1.007951E-30  1.008657E-30  1.017138E-30  1.018412E-30
     52  7.255817382538E-04  1.008540E-30  1.004888E-30  1.012094E-30  1.012952E-30  1.008279E-30  1.009014E-30  1.017844E-30  1.019168E-30
     53  7.551843574001E-04  1.008888E-30  1.005092E-30  1.012593E-30  1.013487E-30  1.008613E-30  1.009377E-30  1.018562E-30  1.019937E-30
     54  7.854224313090E-04  1.009244E-30  1.005301E-30  1.013105E-30  1.014033E-30  1.008954E-30  1.009748E-30  1.019295E-30  1.020721E-30
     55  8.164066374138E-04  1.009609E-30  1.005515E-30  1.013629E-30  1.014594E-30  1.009302E-30  1.010127E-30  1.020046E-30  1.021523E-30
     56  8.482679080764E-04  1.009984E-30  1.005736E-30  1.014169E-30  1.015171E-30  1.009660E-30  1.010517E-30  1.020816E-30  1.022347E-30
     57  8.811699017317E-04  1.010371E-30  1.005965E-30  1.014727E-30  1.015767E-30  1.010030E-30  1.010919E-30  1.021611E-30  1.023196E-30
     58  9.153304977871E-04  1.010774E-30  1.006203E-30  1.015307E-30  1.016387E-30  1.010413E-30  1.011336E-30  1.022436E-30  1.024077E-30
     59  9.510634923056E-04  1.011194E-30  1.006452E-30  1.015914E-30  1.017036E-30  1.010813E-30  1.011771E-30  1.023297E-30  1.024997E-30
     60  9.888739022907E-04  1.011639E-30  1.006717E-30  1.016558E-30  1.017724E-30  1.011236E-30  1.012232E-30  1.024207E-30  1.025969E-30
     61  1.029744313280E-03  1.012121E-30  1.007004E-30  1.017255E-30  1.018468E-30  1.011693E-30  1.012729E-30  1.025189E-30  1.027017E-30
     62  1.076805333108E-03  1.012675E-30  1.007335E-30  1.018058E-30  1.019326E-30  1.012218E-30  1.013300E-30  1.026319E-30  1.028222E-30
     63  1.127478238084E-03  1.013272E-30  1.007692E-30  1.018924E-30  1.020251E-30  1.012782E-30  1.013914E-30  1.027533E-30  1.029516E-30
     64  1.179263354774E-03  1.013882E-30  1.008059E-30  1.019812E-30  1.021198E-30  1.013358E-30  1.014541E-30  1.028771E-30  1.030836E-30
     65  1.231720185468E-03  1.014499E-30  1.008431E-30  1.020712E-30  1.022158E-30  1.013941E-30  1.015175E-30  1.030024E-30  1.032170E-30
     66  1.284679788904E-03  1.015123E-30  1.008808E-30  1.021622E-30  1.023130E-30  1.014528E-30  1.015813E-30  1.031286E-30  1.033513E-30
     67  1.338068714676E-03  1.015752E-30  1.009190E-30  1.022542E-30  1.024110E-30  1.015119E-30  1.016456E-30  1.032555E-30  1.034864E-30
     68  1.391852718980E-03  1.016386E-30  1.009576E-30  1.023470E-30  1.025099E-30  1.015713E-30  1.017102E-30  1.033832E-30  1.036221E-30
     69  1.446014888479E-03  1.017024E-30  1.009965E-30  1.024407E-30  1.026097E-30  1.016310E-30  1.017752E-30  1.035115E-30  1.037585E-30
     70  1.500546342624E-03  1.017667E-30  1.010359E-30  1.025351E-30  1.027103E-30  1.016911E-30  1.018405E-30  1.036405E-30  1.038955E-30
     71  1.555442065896E-03  1.018314E-30  1.010756E-30  1.026304E-30  1.028117E-30  1.017514E-30  1.019061E-30  1.037700E-30  1.040330E-30
     72  1.610698967280E-03  1.018965E-30  1.011158E-30  1.027265E-30  1.029140E-30  1.018120E-30  1.019720E-30  1.039002E-30  1.041711E-30
     73  1.666314948699E-03  1.019621E-30  1.011563E-30  1.028234E-30  1.030170E-30  1.018729E-30  1.020382E-30  1.040309E-30  1.043098E-30
     74  1.722288445659E-03  1.020281E-30  1.011973E-30  1.029211E-30  1.031209E-30  1.019341E-30  1.021047E-30  1.041623E-30  1.044490E-30
     75  1.778618195039E-03  1.020946E-30  1.012386E-30  1.030196E-30  1.032256E-30  1.019955E-30  1.021715E-30  1.042942E-30  1.045887E-30
     76  1.835303663832E-03  1.021614E-30  1.012804E-30  1.031189E-30  1.033311E-30  1.020573E-30  1.022387E-30  1.044267E-30  1.047289E-30
     77  1.892344396716E-03  1.022287E-30  1.013225E-30  1.032191E-30  1.034375E-30  1.021193E-30  1.023061E-30  1.045597E-30  1.048697E-30
     78  1.949739812628E-03  1.022964E-30  1.013651E-30  1.033201E-30  1.035447E-30  1.021816E-30  1.023738E-30  1.046933E-30  1.050109E-30
     79  2.007489276907E-03  1.023646E-30  1.014081E-30  1.034219E-30  1.036526E-30  1.022441E-30  1.024418E-30  1.048274E-30  1.051527E-30
     80  2.065592139419E-03  1.024332E-30  1.014515E-30  1.035245E-30  1.037614E-30  1.023069E-30  1.025100E-30  1.049621E-30  1.052949E-30
     81  2.124047755162E-03  1.025022E-30  1.014953E-30  1.036279E-30  1.038711E-30  1.023700E-30  1.025786E-30  1.050974E-30  1.054377E-30
     82  2.182855495215E-03  1.025716E-30  1.015395E-30  1.037322E-30  1.039815E-30  1.024333E-30  1.026474E-30  1.052331E-30  1.055809E-30
     83  2.242014752368E-03  1.026415E-30  1.015842E-30  1.038373E-30  1.040928E-30  1.024969E-30  1.027165E-30  1.053694E-30  1.057246E-30
     84  2.301524943777E-03  1.027118E-30  1.016292E-30  1.039433E-30  1.042049E-30  1.025608E-30  1.027859E-30  1.055062E-30  1.058687E-30
     85  2.361385511936E-03  1.027826E-30  1.016747E-30  1.040501E-30  1.043179E-30  1.026249E-30  1.028556E-30  1.056436E-30  1.060134E-30
     86  2.421595924701E-03  1.028537E-30  1.017206E-30  1.041578E-30  1.044316E-30  1.026892E-30  1.029255E-30  1.057814E-30  1.061584E-30
     87  2.482155674804E-03  1.029253E-30  1.017670E-30  1.042663E-30  1.045462E-30  1.027538E-30  1.029957E-30  1.059197E-30  1.063039E-30
     88  2.543064279071E-03  1.029973E-30  1.018138E-30  1.043756E-30  1.046616E-30  1.028187E-30  1.030661E-30  1.060586E-30  1.064498E-30
     89  2.604321277494E-03  1.030698E-30  1.018610E-30  1.044858E-30  1.047779E-30  1.028837E-30  1.031368E-30  1.061979E-30  1.065962E-30
     90  2.665926232237E-03  1.031427E-30  1.019087E-30  1.045969E-30  1.048950E-30  1.029491E-30  1.032078E-30  1.063378E-30  1.067430E-30
     91  2.727878734382E-03  1.032160E-30  1.019568E-30  1.047088E-30  1.050129E-30  1.030146E-30  1.032790E-30  1.064781E-30  1.068902E-30
     92  2.790178404165E-03  1.032898E-30  1.020054E-30  1.048216E-30  1.051316E-30  1.030804E-30  1.033504E-30  1.066188E-30  1.070378E-30
     93  2.852824875480E-03  1.033639E-30  1.020544E-30  1.049353E-30  1.052512E-30  1.031465E-30  1.034222E-30  1.067601E-30  1.071858E-30
     94  2.915817796872E-03  1.034386E-30  1.021038E-30  1.050498E-30  1.053716E-30  1.032127E-30  1.034941E-30  1.069018E-30  1.073342E-30
