 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                tc125         tc126         ru86          ru87          ru88          ru89          ru90          ru91 
     36  2.753099894686E-04  1.000755E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.002251E-30  1.000000E-30  1.000000E-30
     37  2.979926919870E-04  1.000816E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.002436E-30  1.000000E-30  1.000000E-30
     38  3.199702121451E-04  1.000876E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.002616E-30  1.000000E-30  1.000000E-30
     39  3.524429751724E-04  1.000963E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.002882E-30  1.000000E-30  1.000000E-30
     40  3.836809895565E-04  1.001047E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.003137E-30  1.000000E-30  1.000000E-30
     41  4.138876583201E-04  1.001129E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.003384E-30  1.000000E-30  1.000000E-30
     42  4.432651277490E-04  1.001207E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.003624E-30  1.000000E-30  1.000000E-30
     43  4.720041568584E-04  1.001284E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.003859E-30  1.000000E-30  1.000000E-30
     44  5.002792532552E-04  1.001360E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.004090E-30  1.000000E-30  1.000000E-30
     45  5.282472522620E-04  1.001434E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.004319E-30  1.000000E-30  1.000000E-30
     46  5.560479783168E-04  1.001508E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.004546E-30  1.000000E-30  1.000000E-30
     47  5.838060709037E-04  1.001582E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.004773E-30  1.000000E-30  1.000000E-30
     48  6.116334118686E-04  1.001655E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.005000E-30  1.000000E-30  1.000000E-30
     49  6.396318340541E-04  1.001729E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.005229E-30  1.000000E-30  1.000000E-30
     50  6.678959636874E-04  1.001804E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.005460E-30  1.000000E-30  1.000000E-30
     51  6.965161747902E-04  1.001879E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.005694E-30  1.000000E-30  1.000000E-30
     52  7.255817382538E-04  1.001955E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.005932E-30  1.000000E-30  1.000000E-30
