 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                cs155         cs156         cs157         cs158         cs159         cs160         cs161         cs162
     27  8.489118412102E-05  1.000838E-30  1.002018E-30  1.002013E-30  1.002613E-30  1.004115E-30  1.001165E-30  1.001932E-30  1.000000E-30
     28  9.570255892797E-05  1.000946E-30  1.002276E-30  1.002271E-30  1.002949E-30  1.004638E-30  1.001313E-30  1.002177E-30  1.000000E-30
     29  1.070853065563E-04  1.001059E-30  1.002548E-30  1.002543E-30  1.003304E-30  1.005188E-30  1.001468E-30  1.002434E-30  1.000000E-30
     30  1.190882425669E-04  1.001179E-30  1.002835E-30  1.002831E-30  1.003678E-30  1.005767E-30  1.001632E-30  1.002706E-30  1.000000E-30
     31  1.366291075688E-04  1.001354E-30  1.003255E-30  1.003252E-30  1.004227E-30  1.006613E-30  1.001871E-30  1.003102E-30  1.000000E-30
     32  1.695708820900E-04  1.001684E-30  1.004045E-30  1.004046E-30  1.005263E-30  1.008200E-30  1.002318E-30  1.003845E-30  1.000000E-30
     33  1.992873377730E-04  1.001983E-30  1.004760E-30  1.004766E-30  1.006203E-30  1.009629E-30  1.002721E-30  1.004514E-30  1.000000E-30
     34  2.264248739983E-04  1.002258E-30  1.005414E-30  1.005425E-30  1.007066E-30  1.010932E-30  1.003088E-30  1.005123E-30  1.000000E-30
     35  2.515933231106E-04  1.002513E-30  1.006023E-30  1.006040E-30  1.007870E-30  1.012139E-30  1.003428E-30  1.005686E-30  1.000000E-30
     36  2.753099894686E-04  1.002755E-30  1.006597E-30  1.006620E-30  1.008631E-30  1.013274E-30  1.003747E-30  1.006216E-30  1.000000E-30
     37  2.979926919870E-04  1.002986E-30  1.007147E-30  1.007177E-30  1.009363E-30  1.014359E-30  1.004051E-30  1.006722E-30  1.000000E-30
     38  3.199702121451E-04  1.003211E-30  1.007681E-30  1.007719E-30  1.010074E-30  1.015408E-30  1.004346E-30  1.007212E-30  1.000000E-30
     39  3.524429751724E-04  1.003545E-30  1.008472E-30  1.008522E-30  1.011130E-30  1.016957E-30  1.004780E-30  1.007933E-30  1.000000E-30
     40  3.836809895565E-04  1.003868E-30  1.009235E-30  1.009298E-30  1.012152E-30  1.018444E-30  1.005197E-30  1.008626E-30  1.000000E-30
     41  4.138876583201E-04  1.004181E-30  1.009974E-30  1.010052E-30  1.013145E-30  1.019879E-30  1.005599E-30  1.009293E-30  1.000000E-30
     42  4.432651277490E-04  1.004486E-30  1.010695E-30  1.010788E-30  1.014116E-30  1.021272E-30  1.005988E-30  1.009941E-30  1.000000E-30
     43  4.720041568584E-04  1.004786E-30  1.011402E-30  1.011511E-30  1.015071E-30  1.022633E-30  1.006369E-30  1.010574E-30  1.000000E-30
     44  5.002792532552E-04  1.005083E-30  1.012098E-30  1.012225E-30  1.016015E-30  1.023970E-30  1.006742E-30  1.011194E-30  1.000000E-30
     45  5.282472522620E-04  1.005377E-30  1.012789E-30  1.012933E-30  1.016953E-30  1.025290E-30  1.007110E-30  1.011807E-30  1.000000E-30
     46  5.560479783168E-04  1.005671E-30  1.013478E-30  1.013641E-30  1.017890E-30  1.026601E-30  1.007475E-30  1.012415E-30  1.000000E-30
