 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                al39          al40          si22          si23          si24          si25          si26          si27 
     41  4.138876583201E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.036831E-30  1.010492E-30  1.006442E-30  1.001044E-30
     42  4.432651277490E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.039443E-30  1.011236E-30  1.006900E-30  1.001119E-30
     43  4.720041568584E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.041997E-30  1.011964E-30  1.007347E-30  1.001192E-30
     44  5.002792532552E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.044510E-30  1.012681E-30  1.007788E-30  1.001264E-30
     45  5.282472522620E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.046995E-30  1.013389E-30  1.008224E-30  1.001336E-30
     46  5.560479783168E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.049465E-30  1.014093E-30  1.008657E-30  1.001407E-30
     47  5.838060709037E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.051931E-30  1.014796E-30  1.009090E-30  1.001478E-30
     48  6.116334118686E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.054402E-30  1.015500E-30  1.009523E-30  1.001550E-30
     49  6.396318340541E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.056888E-30  1.016209E-30  1.009960E-30  1.001621E-30
     50  6.678959636874E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.059398E-30  1.016925E-30  1.010401E-30  1.001694E-30
     51  6.965161747902E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.061939E-30  1.017649E-30  1.010847E-30  1.001768E-30
     52  7.255817382538E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.064519E-30  1.018385E-30  1.011300E-30  1.001843E-30
