 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                zr108         zr109         zr110         zr111         zr112         zr113         zr114         zr115
     41  4.138876583201E-04  1.009696E-30  1.013288E-30  1.014177E-30  1.018372E-30  1.025448E-30  1.017086E-30  1.034820E-30  1.039969E-30
     42  4.432651277490E-04  1.010384E-30  1.014231E-30  1.015183E-30  1.019674E-30  1.027262E-30  1.018316E-30  1.037272E-30  1.042780E-30
     43  4.720041568584E-04  1.011057E-30  1.015152E-30  1.016168E-30  1.020948E-30  1.029038E-30  1.019521E-30  1.039668E-30  1.045528E-30
     44  5.002792532552E-04  1.011719E-30  1.016059E-30  1.017137E-30  1.022200E-30  1.030786E-30  1.020709E-30  1.042024E-30  1.048228E-30
     45  5.282472522620E-04  1.012374E-30  1.016955E-30  1.018095E-30  1.023439E-30  1.032516E-30  1.021885E-30  1.044351E-30  1.050896E-30
     46  5.560479783168E-04  1.013025E-30  1.017846E-30  1.019047E-30  1.024671E-30  1.034237E-30  1.023057E-30  1.046662E-30  1.053544E-30
     47  5.838060709037E-04  1.013675E-30  1.018736E-30  1.019999E-30  1.025900E-30  1.035956E-30  1.024229E-30  1.048968E-30  1.056186E-30
     48  6.116334118686E-04  1.014326E-30  1.019628E-30  1.020952E-30  1.027133E-30  1.037680E-30  1.025406E-30  1.051277E-30  1.058832E-30
     49  6.396318340541E-04  1.014982E-30  1.020525E-30  1.021912E-30  1.028372E-30  1.039416E-30  1.026592E-30  1.053598E-30  1.061490E-30
     50  6.678959636874E-04  1.015644E-30  1.021430E-30  1.022880E-30  1.029624E-30  1.041169E-30  1.027791E-30  1.055939E-30  1.064171E-30
     51  6.965161747902E-04  1.016314E-30  1.022347E-30  1.023861E-30  1.030891E-30  1.042945E-30  1.029007E-30  1.058306E-30  1.066883E-30
     52  7.255817382538E-04  1.016994E-30  1.023278E-30  1.024857E-30  1.032178E-30  1.044750E-30  1.030244E-30  1.060709E-30  1.069633E-30
     53  7.551843574001E-04  1.017687E-30  1.024226E-30  1.025872E-30  1.033489E-30  1.046589E-30  1.031507E-30  1.063153E-30  1.072431E-30
     54  7.854224313090E-04  1.018395E-30  1.025194E-30  1.026908E-30  1.034827E-30  1.048468E-30  1.032798E-30  1.065646E-30  1.075286E-30
     55  8.164066374138E-04  1.019121E-30  1.026186E-30  1.027971E-30  1.036199E-30  1.050395E-30  1.034124E-30  1.068199E-30  1.078207E-30
     56  8.482679080764E-04  1.019867E-30  1.027206E-30  1.029063E-30  1.037609E-30  1.052378E-30  1.035490E-30  1.070821E-30  1.081208E-30
     57  8.811699017317E-04  1.020637E-30  1.028259E-30  1.030191E-30  1.039066E-30  1.054427E-30  1.036903E-30  1.073526E-30  1.084302E-30
     58  9.153304977871E-04  1.021437E-30  1.029352E-30  1.031362E-30  1.040578E-30  1.056555E-30  1.038373E-30  1.076330E-30  1.087511E-30
     59  9.510634923056E-04  1.022273E-30  1.030495E-30  1.032588E-30  1.042160E-30  1.058783E-30  1.039914E-30  1.079260E-30  1.090862E-30
     60  9.888739022907E-04  1.023158E-30  1.031705E-30  1.033885E-30  1.043834E-30  1.061142E-30  1.041548E-30  1.082357E-30  1.094403E-30
     61  1.029744313280E-03  1.024115E-30  1.033012E-30  1.035287E-30  1.045644E-30  1.063694E-30  1.043318E-30  1.085699E-30  1.098225E-30
     62  1.076805333108E-03  1.025217E-30  1.034516E-30  1.036901E-30  1.047727E-30  1.066634E-30  1.045360E-30  1.089542E-30  1.102618E-30
     63  1.127478238084E-03  1.026403E-30  1.036136E-30  1.038640E-30  1.049972E-30  1.069803E-30  1.047566E-30  1.093673E-30  1.107338E-30
     64  1.179263354774E-03  1.027616E-30  1.037791E-30  1.040417E-30  1.052265E-30  1.073044E-30  1.049826E-30  1.097887E-30  1.112153E-30
     65  1.231720185468E-03  1.028844E-30  1.039467E-30  1.042218E-30  1.054589E-30  1.076330E-30  1.052122E-30  1.102147E-30  1.117019E-30
     66  1.284679788904E-03  1.030084E-30  1.041159E-30  1.044036E-30  1.056936E-30  1.079651E-30  1.054447E-30  1.106440E-30  1.121922E-30
     67  1.338068714676E-03  1.031334E-30  1.042864E-30  1.045870E-30  1.059303E-30  1.083001E-30  1.056797E-30  1.110760E-30  1.126854E-30
     68  1.391852718980E-03  1.032594E-30  1.044581E-30  1.047718E-30  1.061687E-30  1.086380E-30  1.059172E-30  1.115104E-30  1.131812E-30
     69  1.446014888479E-03  1.033862E-30  1.046310E-30  1.049579E-30  1.064090E-30  1.089785E-30  1.061570E-30  1.119470E-30  1.136793E-30
     70  1.500546342624E-03  1.035139E-30  1.048050E-30  1.051453E-30  1.066509E-30  1.093216E-30  1.063991E-30  1.123858E-30  1.141798E-30
     71  1.555442065896E-03  1.036425E-30  1.049802E-30  1.053340E-30  1.068946E-30  1.096674E-30  1.066435E-30  1.128266E-30  1.146825E-30
     72  1.610698967280E-03  1.037719E-30  1.051565E-30  1.055240E-30  1.071400E-30  1.100157E-30  1.068902E-30  1.132694E-30  1.151875E-30
     73  1.666314948699E-03  1.039021E-30  1.053338E-30  1.057153E-30  1.073871E-30  1.103666E-30  1.071393E-30  1.137143E-30  1.156945E-30
     74  1.722288445659E-03  1.040333E-30  1.055123E-30  1.059079E-30  1.076360E-30  1.107201E-30  1.073906E-30  1.141612E-30  1.162037E-30
