 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                mg31          mg32          mg33          mg34          mg35          mg36          mg37          al22 
     27  8.489118412102E-05  1.003229E-30  1.003772E-30  1.006612E-30  1.007745E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.001524E-30
     28  9.570255892797E-05  1.003644E-30  1.004252E-30  1.007454E-30  1.008730E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.001718E-30
     29  1.070853065563E-04  1.004081E-30  1.004758E-30  1.008340E-30  1.009766E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.001923E-30
     30  1.190882425669E-04  1.004543E-30  1.005291E-30  1.009274E-30  1.010859E-30  1.000000E-30  1.000000E-30  1.000032E-30  1.002138E-30
     31  1.366291075688E-04  1.005220E-30  1.006070E-30  1.010640E-30  1.012454E-30  1.000000E-30  1.000000E-30  1.000421E-30  1.002453E-30
     32  1.695708820900E-04  1.006497E-30  1.007532E-30  1.013203E-30  1.015448E-30  1.000000E-30  1.000000E-30  1.000161E-30  1.003044E-30
     33  1.992873377730E-04  1.007654E-30  1.008851E-30  1.015516E-30  1.018146E-30  1.000000E-30  1.000000E-30  1.000071E-30  1.003577E-30
     34  2.264248739983E-04  1.008717E-30  1.010056E-30  1.017627E-30  1.020607E-30  1.000000E-30  1.000000E-30  1.000021E-30  1.004064E-30
     35  2.515933231106E-04  1.009706E-30  1.011172E-30  1.019584E-30  1.022888E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.004516E-30
     36  2.753099894686E-04  1.010642E-30  1.012224E-30  1.021428E-30  1.025035E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.004941E-30
     37  2.979926919870E-04  1.011541E-30  1.013230E-30  1.023192E-30  1.027087E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.005348E-30
     38  3.199702121451E-04  1.012415E-30  1.014205E-30  1.024900E-30  1.029074E-30  1.000000E-30  1.000000E-30  1.000853E-30  1.005742E-30
     39  3.524429751724E-04  1.013712E-30  1.015644E-30  1.027423E-30  1.032007E-30  1.000000E-30  1.000000E-30  1.000146E-30  1.006324E-30
     40  3.836809895565E-04  1.014966E-30  1.017029E-30  1.029850E-30  1.034825E-30  1.000000E-30  1.000000E-30  1.000109E-30  1.006884E-30
     41  4.138876583201E-04  1.016185E-30  1.018367E-30  1.032197E-30  1.037547E-30  1.000000E-30  1.000000E-30  1.000082E-30  1.007425E-30
     42  4.432651277490E-04  1.017375E-30  1.019669E-30  1.034478E-30  1.040191E-30  1.000000E-30  1.000000E-30  1.000063E-30  1.007951E-30
