 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                kr97          kr98          kr99          kr100         kr101         kr102         kr103         kr104
     41  4.138876583201E-04  1.001011E-30  1.001220E-30  1.004119E-30  1.036528E-30  1.020161E-30  1.029561E-30  1.038991E-30  1.046156E-30
     42  4.432651277490E-04  1.001084E-30  1.001309E-30  1.004421E-30  1.039112E-30  1.021580E-30  1.031675E-30  1.041750E-30  1.049398E-30
     43  4.720041568584E-04  1.001155E-30  1.001396E-30  1.004719E-30  1.041640E-30  1.022967E-30  1.033744E-30  1.044448E-30  1.052565E-30
     44  5.002792532552E-04  1.001226E-30  1.001482E-30  1.005012E-30  1.044125E-30  1.024330E-30  1.035783E-30  1.047102E-30  1.055677E-30
     45  5.282472522620E-04  1.001295E-30  1.001568E-30  1.005304E-30  1.046582E-30  1.025677E-30  1.037800E-30  1.049725E-30  1.058751E-30
     46  5.560479783168E-04  1.001365E-30  1.001653E-30  1.005595E-30  1.049024E-30  1.027014E-30  1.039808E-30  1.052332E-30  1.061803E-30
     47  5.838060709037E-04  1.001434E-30  1.001738E-30  1.005887E-30  1.051461E-30  1.028348E-30  1.041814E-30  1.054934E-30  1.064846E-30
     48  6.116334118686E-04  1.001504E-30  1.001824E-30  1.006180E-30  1.053903E-30  1.029684E-30  1.043827E-30  1.057541E-30  1.067893E-30
     49  6.396318340541E-04  1.001575E-30  1.001910E-30  1.006477E-30  1.056360E-30  1.031027E-30  1.045854E-30  1.060164E-30  1.070955E-30
     50  6.678959636874E-04  1.001646E-30  1.001998E-30  1.006778E-30  1.058838E-30  1.032381E-30  1.047902E-30  1.062810E-30  1.074041E-30
     51  6.965161747902E-04  1.001718E-30  1.002087E-30  1.007084E-30  1.061347E-30  1.033751E-30  1.049978E-30  1.065488E-30  1.077163E-30
     52  7.255817382538E-04  1.001791E-30  1.002178E-30  1.007396E-30  1.063893E-30  1.035140E-30  1.052087E-30  1.068207E-30  1.080328E-30
     53  7.551843574001E-04  1.001866E-30  1.002271E-30  1.007715E-30  1.066486E-30  1.036554E-30  1.054238E-30  1.070974E-30  1.083548E-30
     54  7.854224313090E-04  1.001943E-30  1.002366E-30  1.008042E-30  1.069133E-30  1.037996E-30  1.056437E-30  1.073800E-30  1.086832E-30
     55  8.164066374138E-04  1.002022E-30  1.002464E-30  1.008379E-30  1.071844E-30  1.039472E-30  1.058692E-30  1.076695E-30  1.090192E-30
     56  8.482679080764E-04  1.002103E-30  1.002564E-30  1.008727E-30  1.074631E-30  1.040988E-30  1.061013E-30  1.079669E-30  1.093642E-30
     57  8.811699017317E-04  1.002187E-30  1.002669E-30  1.009088E-30  1.077508E-30  1.042552E-30  1.063412E-30  1.082740E-30  1.097200E-30
     58  9.153304977871E-04  1.002275E-30  1.002778E-30  1.009464E-30  1.080493E-30  1.044174E-30  1.065905E-30  1.085926E-30  1.100888E-30
     59  9.510634923056E-04  1.002366E-30  1.002892E-30  1.009860E-30  1.083614E-30  1.045868E-30  1.068515E-30  1.089257E-30  1.104739E-30
     60  9.888739022907E-04  1.002464E-30  1.003014E-30  1.010281E-30  1.086914E-30  1.047658E-30  1.071280E-30  1.092780E-30  1.108807E-30
     61  1.029744313280E-03  1.002569E-30  1.003146E-30  1.010738E-30  1.090480E-30  1.049590E-30  1.074272E-30  1.096585E-30  1.113196E-30
     62  1.076805333108E-03  1.002691E-30  1.003299E-30  1.011268E-30  1.094583E-30  1.051811E-30  1.077722E-30  1.100964E-30  1.118240E-30
     63  1.127478238084E-03  1.002822E-30  1.003464E-30  1.011843E-30  1.098998E-30  1.054198E-30  1.081441E-30  1.105675E-30  1.123658E-30
     64  1.179263354774E-03  1.002957E-30  1.003634E-30  1.012434E-30  1.103506E-30  1.056633E-30  1.085247E-30  1.110486E-30  1.129182E-30
     65  1.231720185468E-03  1.003094E-30  1.003807E-30  1.013037E-30  1.108070E-30  1.059095E-30  1.089108E-30  1.115355E-30  1.134764E-30
     66  1.284679788904E-03  1.003233E-30  1.003983E-30  1.013650E-30  1.112674E-30  1.061575E-30  1.093011E-30  1.120266E-30  1.140386E-30
     67  1.338068714676E-03  1.003373E-30  1.004161E-30  1.014273E-30  1.117311E-30  1.064070E-30  1.096951E-30  1.125213E-30  1.146039E-30
     68  1.391852718980E-03  1.003515E-30  1.004341E-30  1.014905E-30  1.121980E-30  1.066579E-30  1.100926E-30  1.130192E-30  1.151720E-30
     69  1.446014888479E-03  1.003659E-30  1.004524E-30  1.015545E-30  1.126677E-30  1.069100E-30  1.104934E-30  1.135202E-30  1.157426E-30
     70  1.500546342624E-03  1.003804E-30  1.004710E-30  1.016195E-30  1.131403E-30  1.071634E-30  1.108974E-30  1.140241E-30  1.163156E-30
     71  1.555442065896E-03  1.003951E-30  1.004897E-30  1.016854E-30  1.136157E-30  1.074179E-30  1.113047E-30  1.145309E-30  1.168910E-30
     72  1.610698967280E-03  1.004099E-30  1.005087E-30  1.017522E-30  1.140938E-30  1.076735E-30  1.117152E-30  1.150405E-30  1.174686E-30
     73  1.666314948699E-03  1.004248E-30  1.005280E-30  1.018199E-30  1.145746E-30  1.079303E-30  1.121290E-30  1.155530E-30  1.180485E-30
     74  1.722288445659E-03  1.004399E-30  1.005475E-30  1.018885E-30  1.150581E-30  1.081882E-30  1.125459E-30  1.160682E-30  1.186307E-30
     75  1.778618195039E-03  1.004552E-30  1.005672E-30  1.019580E-30  1.155444E-30  1.084471E-30  1.129660E-30  1.165863E-30  1.192149E-30
     76  1.835303663832E-03  1.004706E-30  1.005871E-30  1.020285E-30  1.160333E-30  1.087072E-30  1.133893E-30  1.171070E-30  1.198013E-30
     77  1.892344396716E-03  1.004862E-30  1.006073E-30  1.020999E-30  1.165248E-30  1.089683E-30  1.138158E-30  1.176305E-30  1.203899E-30
