 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                s35           s36           s37           s38           s39           s40           s41           s42  
     41  4.138876583201E-04  1.000006E-30  1.000051E-30  1.000124E-30  1.071096E-30  1.001123E-30  1.002269E-30  1.002728E-30  1.005631E-30
     42  4.432651277490E-04  1.000006E-30  1.000055E-30  1.000133E-30  1.081512E-30  1.001203E-30  1.002430E-30  1.002922E-30  1.006031E-30
     43  4.720041568584E-04  1.000007E-30  1.000058E-30  1.000142E-30  1.092390E-30  1.001281E-30  1.002589E-30  1.003111E-30  1.006422E-30
     44  5.002792532552E-04  1.000007E-30  1.000062E-30  1.000150E-30  1.103757E-30  1.001357E-30  1.002744E-30  1.003298E-30  1.006806E-30
     45  5.282472522620E-04  1.000008E-30  1.000065E-30  1.000159E-30  1.115650E-30  1.001433E-30  1.002898E-30  1.003482E-30  1.007187E-30
     46  5.560479783168E-04  1.000008E-30  1.000069E-30  1.000168E-30  1.128110E-30  1.001509E-30  1.003051E-30  1.003666E-30  1.007565E-30
     47  5.838060709037E-04  1.000009E-30  1.000072E-30  1.000176E-30  1.141187E-30  1.001584E-30  1.003204E-30  1.003849E-30  1.007943E-30
     48  6.116334118686E-04  1.000009E-30  1.000076E-30  1.000185E-30  1.154934E-30  1.001660E-30  1.003358E-30  1.004033E-30  1.008321E-30
     49  6.396318340541E-04  1.000009E-30  1.000079E-30  1.000194E-30  1.169410E-30  1.001736E-30  1.003512E-30  1.004218E-30  1.008702E-30
     50  6.678959636874E-04  1.000010E-30  1.000083E-30  1.000203E-30  1.184679E-30  1.001812E-30  1.003668E-30  1.004405E-30  1.009086E-30
     51  6.965161747902E-04  1.000010E-30  1.000086E-30  1.000212E-30  1.200811E-30  1.001890E-30  1.003826E-30  1.004594E-30  1.009476E-30
     52  7.255817382538E-04  1.000011E-30  1.000090E-30  1.000221E-30  1.217885E-30  1.001969E-30  1.003987E-30  1.004786E-30  1.009871E-30
     53  7.551843574001E-04  1.000011E-30  1.000094E-30  1.000231E-30  1.235990E-30  1.002049E-30  1.004150E-30  1.004981E-30  1.010273E-30
     54  7.854224313090E-04  1.000012E-30  1.000097E-30  1.000241E-30  1.255230E-30  1.002132E-30  1.004317E-30  1.005181E-30  1.010685E-30
     55  8.164066374138E-04  1.000012E-30  1.000101E-30  1.000251E-30  1.275727E-30  1.002216E-30  1.004489E-30  1.005386E-30  1.011106E-30
     56  8.482679080764E-04  1.000012E-30  1.000105E-30  1.000262E-30  1.297629E-30  1.002302E-30  1.004665E-30  1.005597E-30  1.011539E-30
     57  8.811699017317E-04  1.000013E-30  1.000109E-30  1.000273E-30  1.321124E-30  1.002392E-30  1.004847E-30  1.005814E-30  1.011987E-30
     58  9.153304977871E-04  1.000013E-30  1.000113E-30  1.000285E-30  1.346462E-30  1.002484E-30  1.005036E-30  1.006040E-30  1.012451E-30
     59  9.510634923056E-04  1.000014E-30  1.000118E-30  1.000298E-30  1.373996E-30  1.002581E-30  1.005234E-30  1.006277E-30  1.012937E-30
     60  9.888739022907E-04  1.000014E-30  1.000122E-30  1.000311E-30  1.404276E-30  1.002684E-30  1.005444E-30  1.006527E-30  1.013451E-30
     61  1.029744313280E-03  1.000015E-30  1.000128E-30  1.000326E-30  1.438332E-30  1.002795E-30  1.005671E-30  1.006797E-30  1.014007E-30
     62  1.076805333108E-03  1.000016E-30  1.000133E-30  1.000344E-30  1.479251E-30  1.002923E-30  1.005932E-30  1.007109E-30  1.014647E-30
     63  1.127478238084E-03  1.000017E-30  1.000140E-30  1.000364E-30  1.525351E-30  1.003061E-30  1.006214E-30  1.007444E-30  1.015336E-30
     64  1.179263354774E-03  1.000017E-30  1.000146E-30  1.000384E-30  1.574648E-30  1.003201E-30  1.006502E-30  1.007787E-30  1.016040E-30
     65  1.231720185468E-03  1.000018E-30  1.000153E-30  1.000406E-30  1.626838E-30  1.003344E-30  1.006793E-30  1.008135E-30  1.016753E-30
     66  1.284679788904E-03  1.000019E-30  1.000159E-30  1.000429E-30  1.681828E-30  1.003488E-30  1.007089E-30  1.008486E-30  1.017474E-30
     67  1.338068714676E-03  1.000020E-30  1.000166E-30  1.000453E-30  1.739602E-30  1.003633E-30  1.007386E-30  1.008840E-30  1.018199E-30
     68  1.391852718980E-03  1.000020E-30  1.000172E-30  1.000478E-30  1.800178E-30  1.003779E-30  1.007686E-30  1.009196E-30  1.018931E-30
     69  1.446014888479E-03  1.000021E-30  1.000179E-30  1.000504E-30  1.863587E-30  1.003927E-30  1.007989E-30  1.009556E-30  1.019667E-30
     70  1.500546342624E-03  1.000022E-30  1.000186E-30  1.000532E-30  1.929870E-30  1.004075E-30  1.008294E-30  1.009917E-30  1.020408E-30
     71  1.555442065896E-03  1.000023E-30  1.000193E-30  1.000561E-30  1.999070E-30  1.004224E-30  1.008601E-30  1.010282E-30  1.021154E-30
     72  1.610698967280E-03  1.000024E-30  1.000200E-30  1.000592E-30  2.071231E-30  1.004374E-30  1.008911E-30  1.010648E-30  1.021905E-30
     73  1.666314948699E-03  1.000024E-30  1.000206E-30  1.000625E-30  2.146401E-30  1.004526E-30  1.009222E-30  1.011018E-30  1.022661E-30
     74  1.722288445659E-03  1.000025E-30  1.000213E-30  1.000659E-30  2.224625E-30  1.004678E-30  1.009537E-30  1.011390E-30  1.023422E-30
     75  1.778618195039E-03  1.000026E-30  1.000220E-30  1.000695E-30  2.305951E-30  1.004831E-30  1.009853E-30  1.011764E-30  1.024188E-30
     76  1.835303663832E-03  1.000027E-30  1.000227E-30  1.000734E-30  2.390429E-30  1.004986E-30  1.010172E-30  1.012140E-30  1.024958E-30
     77  1.892344396716E-03  1.000028E-30  1.000235E-30  1.000775E-30  2.478106E-30  1.005141E-30  1.010493E-30  1.012520E-30  1.025733E-30
     78  1.949739812628E-03  1.000029E-30  1.000242E-30  1.000819E-30  2.569032E-30  1.005297E-30  1.010817E-30  1.012901E-30  1.026513E-30
     79  2.007489276907E-03  1.000029E-30  1.000249E-30  1.000865E-30  2.663256E-30  1.005454E-30  1.011142E-30  1.013285E-30  1.027298E-30
     80  2.065592139419E-03  1.000030E-30  1.000256E-30  1.000914E-30  2.760827E-30  1.005613E-30  1.011471E-30  1.013672E-30  1.028088E-30
     81  2.124047755162E-03  1.000031E-30  1.000263E-30  1.000966E-30  2.861795E-30  1.005772E-30  1.011801E-30  1.014061E-30  1.028882E-30
     82  2.182855495215E-03  1.000032E-30  1.000271E-30  1.001021E-30  2.966209E-30  1.005932E-30  1.012134E-30  1.014453E-30  1.029681E-30
     83  2.242014752368E-03  1.000033E-30  1.000278E-30  1.001080E-30  3.074119E-30  1.006093E-30  1.012469E-30  1.014847E-30  1.030485E-30
     84  2.301524943777E-03  1.000034E-30  1.000285E-30  1.001143E-30  3.185574E-30  1.006255E-30  1.012807E-30  1.015243E-30  1.031293E-30
     85  2.361385511936E-03  1.000035E-30  1.000293E-30  1.001209E-30  3.300626E-30  1.006418E-30  1.013147E-30  1.015642E-30  1.032106E-30
     86  2.421595924701E-03  1.000036E-30  1.000300E-30  1.001280E-30  3.419325E-30  1.006583E-30  1.013489E-30  1.016043E-30  1.032924E-30
     87  2.482155674804E-03  1.000036E-30  1.000308E-30  1.001355E-30  3.541721E-30  1.006748E-30  1.013834E-30  1.016447E-30  1.033747E-30
     88  2.543064279071E-03  1.000037E-30  1.000315E-30  1.001435E-30  3.667866E-30  1.006914E-30  1.014181E-30  1.016853E-30  1.034574E-30
     89  2.604321277494E-03  1.000038E-30  1.000323E-30  1.001520E-30  3.797811E-30  1.007081E-30  1.014530E-30  1.017262E-30  1.035407E-30
     90  2.665926232237E-03  1.000039E-30  1.000331E-30  1.001610E-30  3.931607E-30  1.007249E-30  1.014882E-30  1.017673E-30  1.036243E-30
     91  2.727878734382E-03  1.000040E-30  1.000338E-30  1.001706E-30  4.069306E-30  1.007418E-30  1.015237E-30  1.018087E-30  1.037085E-30
     92  2.790178404165E-03  1.000041E-30  1.000346E-30  1.001808E-30  4.210961E-30  1.007588E-30  1.015594E-30  1.018503E-30  1.037931E-30
     93  2.852824875480E-03  1.000042E-30  1.000354E-30  1.001916E-30  4.356623E-30  1.007759E-30  1.015953E-30  1.018921E-30  1.038782E-30
     94  2.915817796872E-03  1.000043E-30  1.000362E-30  1.002031E-30  4.506344E-30  1.007931E-30  1.016315E-30  1.019342E-30  1.039637E-30
     95  2.979156831833E-03  1.000044E-30  1.000370E-30  1.002152E-30  4.660179E-30  1.008104E-30  1.016679E-30  1.019766E-30  1.040497E-30
