 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                pd124         pd125         pd126         pd127         pd128         pd129         pd130         pd131
     41  4.138876583201E-04  1.007256E-30  1.009640E-30  1.006539E-30  1.012136E-30  1.013274E-30  1.014694E-30  1.015553E-30  1.000000E-30
     42  4.432651277490E-04  1.007770E-30  1.010324E-30  1.007003E-30  1.012997E-30  1.014215E-30  1.015735E-30  1.016655E-30  1.000000E-30
     43  4.720041568584E-04  1.008274E-30  1.010993E-30  1.007457E-30  1.013839E-30  1.015135E-30  1.016754E-30  1.017734E-30  1.000000E-30
     44  5.002792532552E-04  1.008769E-30  1.011652E-30  1.007904E-30  1.014668E-30  1.016041E-30  1.017756E-30  1.018794E-30  1.000000E-30
     45  5.282472522620E-04  1.009260E-30  1.012303E-30  1.008345E-30  1.015487E-30  1.016936E-30  1.018747E-30  1.019843E-30  1.000000E-30
     46  5.560479783168E-04  1.009747E-30  1.012950E-30  1.008785E-30  1.016302E-30  1.017826E-30  1.019732E-30  1.020885E-30  1.000000E-30
     47  5.838060709037E-04  1.010233E-30  1.013596E-30  1.009223E-30  1.017115E-30  1.018714E-30  1.020715E-30  1.021925E-30  1.000000E-30
     48  6.116334118686E-04  1.010720E-30  1.014244E-30  1.009663E-30  1.017930E-30  1.019605E-30  1.021701E-30  1.022968E-30  1.000000E-30
     49  6.396318340541E-04  1.011211E-30  1.014895E-30  1.010105E-30  1.018750E-30  1.020501E-30  1.022692E-30  1.024017E-30  1.000000E-30
     50  6.678959636874E-04  1.011706E-30  1.015553E-30  1.010552E-30  1.019578E-30  1.021405E-30  1.023693E-30  1.025076E-30  1.000000E-30
     51  6.965161747902E-04  1.012207E-30  1.016219E-30  1.011004E-30  1.020417E-30  1.022320E-30  1.024706E-30  1.026148E-30  1.000000E-30
     52  7.255817382538E-04  1.012716E-30  1.016896E-30  1.011463E-30  1.021268E-30  1.023250E-30  1.025734E-30  1.027236E-30  1.000000E-30
     53  7.551843574001E-04  1.013235E-30  1.017585E-30  1.011931E-30  1.022135E-30  1.024196E-30  1.026782E-30  1.028345E-30  1.000000E-30
     54  7.854224313090E-04  1.013764E-30  1.018288E-30  1.012408E-30  1.023020E-30  1.025163E-30  1.027852E-30  1.029476E-30  1.000000E-30
     55  8.164066374138E-04  1.014307E-30  1.019009E-30  1.012898E-30  1.023928E-30  1.026154E-30  1.028948E-30  1.030636E-30  1.000000E-30
     56  8.482679080764E-04  1.014865E-30  1.019750E-30  1.013401E-30  1.024861E-30  1.027172E-30  1.030074E-30  1.031828E-30  1.000000E-30
     57  8.811699017317E-04  1.015441E-30  1.020516E-30  1.013921E-30  1.025824E-30  1.028223E-30  1.031238E-30  1.033058E-30  1.000000E-30
