 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                yb184         yb185         yb186         yb187         yb188         yb189         yb190         yb191
     41  4.138876583201E-04  1.000124E-30  1.000107E-30  1.001367E-30  1.000232E-30  1.002164E-30  1.001529E-30  1.002123E-30  1.002003E-30
     42  4.432651277490E-04  1.000133E-30  1.000115E-30  1.001464E-30  1.000248E-30  1.002318E-30  1.001638E-30  1.002274E-30  1.002146E-30
     43  4.720041568584E-04  1.000142E-30  1.000122E-30  1.001559E-30  1.000264E-30  1.002468E-30  1.001744E-30  1.002421E-30  1.002285E-30
     44  5.002792532552E-04  1.000150E-30  1.000130E-30  1.001652E-30  1.000280E-30  1.002616E-30  1.001848E-30  1.002566E-30  1.002421E-30
     45  5.282472522620E-04  1.000158E-30  1.000137E-30  1.001745E-30  1.000296E-30  1.002762E-30  1.001952E-30  1.002710E-30  1.002557E-30
     46  5.560479783168E-04  1.000167E-30  1.000144E-30  1.001837E-30  1.000311E-30  1.002908E-30  1.002054E-30  1.002852E-30  1.002691E-30
     47  5.838060709037E-04  1.000175E-30  1.000151E-30  1.001928E-30  1.000327E-30  1.003053E-30  1.002157E-30  1.002994E-30  1.002826E-30
     48  6.116334118686E-04  1.000183E-30  1.000158E-30  1.002020E-30  1.000342E-30  1.003198E-30  1.002260E-30  1.003137E-30  1.002960E-30
     49  6.396318340541E-04  1.000192E-30  1.000166E-30  1.002113E-30  1.000358E-30  1.003344E-30  1.002363E-30  1.003281E-30  1.003096E-30
     50  6.678959636874E-04  1.000200E-30  1.000173E-30  1.002206E-30  1.000374E-30  1.003492E-30  1.002467E-30  1.003426E-30  1.003232E-30
     51  6.965161747902E-04  1.000209E-30  1.000180E-30  1.002300E-30  1.000390E-30  1.003642E-30  1.002573E-30  1.003572E-30  1.003371E-30
     52  7.255817382538E-04  1.000218E-30  1.000188E-30  1.002397E-30  1.000406E-30  1.003794E-30  1.002680E-30  1.003721E-30  1.003511E-30
     53  7.551843574001E-04  1.000226E-30  1.000196E-30  1.002494E-30  1.000423E-30  1.003948E-30  1.002790E-30  1.003873E-30  1.003655E-30
     54  7.854224313090E-04  1.000235E-30  1.000204E-30  1.002594E-30  1.000440E-30  1.004106E-30  1.002901E-30  1.004028E-30  1.003801E-30
     55  8.164066374138E-04  1.000245E-30  1.000212E-30  1.002697E-30  1.000457E-30  1.004268E-30  1.003016E-30  1.004187E-30  1.003951E-30
     56  8.482679080764E-04  1.000254E-30  1.000220E-30  1.002802E-30  1.000475E-30  1.004435E-30  1.003133E-30  1.004350E-30  1.004105E-30
     57  8.811699017317E-04  1.000264E-30  1.000228E-30  1.002910E-30  1.000494E-30  1.004607E-30  1.003255E-30  1.004519E-30  1.004264E-30
     58  9.153304977871E-04  1.000274E-30  1.000237E-30  1.003023E-30  1.000513E-30  1.004785E-30  1.003381E-30  1.004694E-30  1.004429E-30
     59  9.510634923056E-04  1.000285E-30  1.000247E-30  1.003141E-30  1.000533E-30  1.004972E-30  1.003513E-30  1.004877E-30  1.004602E-30
     60  9.888739022907E-04  1.000296E-30  1.000256E-30  1.003266E-30  1.000554E-30  1.005169E-30  1.003652E-30  1.005071E-30  1.004785E-30
     61  1.029744313280E-03  1.000309E-30  1.000267E-30  1.003401E-30  1.000578E-30  1.005383E-30  1.003803E-30  1.005281E-30  1.004982E-30
     62  1.076805333108E-03  1.000323E-30  1.000279E-30  1.003557E-30  1.000604E-30  1.005629E-30  1.003977E-30  1.005522E-30  1.005210E-30
     63  1.127478238084E-03  1.000338E-30  1.000293E-30  1.003724E-30  1.000633E-30  1.005893E-30  1.004164E-30  1.005782E-30  1.005455E-30
     64  1.179263354774E-03  1.000354E-30  1.000306E-30  1.003895E-30  1.000662E-30  1.006164E-30  1.004355E-30  1.006047E-30  1.005705E-30
     65  1.231720185468E-03  1.000369E-30  1.000320E-30  1.004069E-30  1.000691E-30  1.006438E-30  1.004548E-30  1.006316E-30  1.005959E-30
     66  1.284679788904E-03  1.000385E-30  1.000333E-30  1.004244E-30  1.000721E-30  1.006714E-30  1.004744E-30  1.006587E-30  1.006215E-30
     67  1.338068714676E-03  1.000401E-30  1.000347E-30  1.004420E-30  1.000751E-30  1.006993E-30  1.004941E-30  1.006861E-30  1.006473E-30
     68  1.391852718980E-03  1.000417E-30  1.000361E-30  1.004598E-30  1.000782E-30  1.007274E-30  1.005139E-30  1.007136E-30  1.006733E-30
     69  1.446014888479E-03  1.000434E-30  1.000376E-30  1.004777E-30  1.000812E-30  1.007557E-30  1.005339E-30  1.007414E-30  1.006994E-30
     70  1.500546342624E-03  1.000450E-30  1.000390E-30  1.004957E-30  1.000843E-30  1.007841E-30  1.005540E-30  1.007693E-30  1.007258E-30
     71  1.555442065896E-03  1.000466E-30  1.000404E-30  1.005138E-30  1.000874E-30  1.008128E-30  1.005742E-30  1.007974E-30  1.007523E-30
     72  1.610698967280E-03  1.000483E-30  1.000419E-30  1.005321E-30  1.000905E-30  1.008416E-30  1.005946E-30  1.008257E-30  1.007790E-30
     73  1.666314948699E-03  1.000500E-30  1.000433E-30  1.005505E-30  1.000937E-30  1.008707E-30  1.006151E-30  1.008542E-30  1.008058E-30
     74  1.722288445659E-03  1.000516E-30  1.000448E-30  1.005690E-30  1.000968E-30  1.008999E-30  1.006358E-30  1.008829E-30  1.008329E-30
     75  1.778618195039E-03  1.000533E-30  1.000462E-30  1.005876E-30  1.001000E-30  1.009293E-30  1.006565E-30  1.009117E-30  1.008601E-30
     76  1.835303663832E-03  1.000550E-30  1.000477E-30  1.006063E-30  1.001032E-30  1.009589E-30  1.006774E-30  1.009408E-30  1.008875E-30
     77  1.892344396716E-03  1.000568E-30  1.000492E-30  1.006252E-30  1.001065E-30  1.009886E-30  1.006984E-30  1.009700E-30  1.009150E-30
     78  1.949739812628E-03  1.000585E-30  1.000507E-30  1.006441E-30  1.001097E-30  1.010186E-30  1.007196E-30  1.009994E-30  1.009427E-30
     79  2.007489276907E-03  1.000602E-30  1.000522E-30  1.006632E-30  1.001130E-30  1.010487E-30  1.007409E-30  1.010289E-30  1.009706E-30
     80  2.065592139419E-03  1.000620E-30  1.000537E-30  1.006824E-30  1.001163E-30  1.010790E-30  1.007623E-30  1.010587E-30  1.009986E-30
     81  2.124047755162E-03  1.000637E-30  1.000553E-30  1.007017E-30  1.001196E-30  1.011095E-30  1.007838E-30  1.010886E-30  1.010269E-30
     82  2.182855495215E-03  1.000655E-30  1.000568E-30  1.007212E-30  1.001230E-30  1.011402E-30  1.008055E-30  1.011187E-30  1.010553E-30
     83  2.242014752368E-03  1.000672E-30  1.000584E-30  1.007407E-30  1.001263E-30  1.011710E-30  1.008273E-30  1.011490E-30  1.010838E-30
     84  2.301524943777E-03  1.000690E-30  1.000599E-30  1.007604E-30  1.001297E-30  1.012021E-30  1.008492E-30  1.011795E-30  1.011125E-30
     85  2.361385511936E-03  1.000708E-30  1.000615E-30  1.007802E-30  1.001331E-30  1.012333E-30  1.008712E-30  1.012101E-30  1.011414E-30
     86  2.421595924701E-03  1.000726E-30  1.000631E-30  1.008001E-30  1.001365E-30  1.012647E-30  1.008934E-30  1.012409E-30  1.011705E-30
     87  2.482155674804E-03  1.000745E-30  1.000647E-30  1.008201E-30  1.001400E-30  1.012963E-30  1.009157E-30  1.012719E-30  1.011997E-30
     88  2.543064279071E-03  1.000763E-30  1.000663E-30  1.008403E-30  1.001434E-30  1.013280E-30  1.009381E-30  1.013031E-30  1.012291E-30
     89  2.604321277494E-03  1.000781E-30  1.000679E-30  1.008605E-30  1.001469E-30  1.013600E-30  1.009607E-30  1.013344E-30  1.012586E-30
     90  2.665926232237E-03  1.000800E-30  1.000695E-30  1.008809E-30  1.001504E-30  1.013921E-30  1.009834E-30  1.013660E-30  1.012883E-30
     91  2.727878734382E-03  1.000818E-30  1.000711E-30  1.009014E-30  1.001540E-30  1.014244E-30  1.010062E-30  1.013977E-30  1.013182E-30
     92  2.790178404165E-03  1.000837E-30  1.000728E-30  1.009219E-30  1.001575E-30  1.014568E-30  1.010291E-30  1.014295E-30  1.013482E-30
     93  2.852824875480E-03  1.000856E-30  1.000744E-30  1.009427E-30  1.001611E-30  1.014895E-30  1.010521E-30  1.014616E-30  1.013785E-30
     94  2.915817796872E-03  1.000875E-30  1.000761E-30  1.009635E-30  1.001647E-30  1.015223E-30  1.010753E-30  1.014938E-30  1.014088E-30
     95  2.979156831833E-03  1.000894E-30  1.000777E-30  1.009844E-30  1.001683E-30  1.015553E-30  1.010986E-30  1.015262E-30  1.014394E-30
