 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                po232         po233         po234         po235         po236         po237         at211         neut 
     41  4.138876583201E-04  1.001979E-30  1.001824E-30  1.001928E-30  1.002723E-30  1.004271E-30  1.004146E-30  1.000000E-30  4.999848E-07
     42  4.432651277490E-04  1.002119E-30  1.001953E-30  1.002065E-30  1.002917E-30  1.004574E-30  1.004441E-30  1.000000E-30  4.999848E-07
     43  4.720041568584E-04  1.002257E-30  1.002080E-30  1.002199E-30  1.003107E-30  1.004871E-30  1.004730E-30  1.000000E-30  4.999848E-07
     44  5.002792532552E-04  1.002392E-30  1.002205E-30  1.002331E-30  1.003293E-30  1.005163E-30  1.005014E-30  1.000000E-30  4.999848E-07
     45  5.282472522620E-04  1.002526E-30  1.002328E-30  1.002461E-30  1.003478E-30  1.005453E-30  1.005295E-30  1.000000E-30  4.999848E-07
     46  5.560479783168E-04  1.002659E-30  1.002451E-30  1.002591E-30  1.003661E-30  1.005740E-30  1.005575E-30  1.000000E-30  4.999848E-07
     47  5.838060709037E-04  1.002792E-30  1.002573E-30  1.002720E-30  1.003845E-30  1.006027E-30  1.005854E-30  1.000000E-30  4.999848E-07
     48  6.116334118686E-04  1.002925E-30  1.002696E-30  1.002850E-30  1.004028E-30  1.006315E-30  1.006134E-30  1.000000E-30  4.999848E-07
     49  6.396318340541E-04  1.003059E-30  1.002819E-30  1.002981E-30  1.004213E-30  1.006605E-30  1.006415E-30  1.000000E-30  4.999848E-07
     50  6.678959636874E-04  1.003194E-30  1.002944E-30  1.003113E-30  1.004400E-30  1.006897E-30  1.006700E-30  1.000000E-30  4.999848E-07
     51  6.965161747902E-04  1.003331E-30  1.003070E-30  1.003247E-30  1.004589E-30  1.007193E-30  1.006988E-30  1.000000E-30  4.999848E-07
     52  7.255817382538E-04  1.003470E-30  1.003199E-30  1.003383E-30  1.004782E-30  1.007494E-30  1.007281E-30  1.000000E-30  4.999848E-07
     53  7.551843574001E-04  1.003612E-30  1.003329E-30  1.003521E-30  1.004977E-30  1.007801E-30  1.007579E-30  1.000000E-30  4.999848E-07
     54  7.854224313090E-04  1.003757E-30  1.003463E-30  1.003662E-30  1.005177E-30  1.008114E-30  1.007884E-30  1.000000E-30  4.999848E-07
