 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                ge80          ge81          ge82          ge83          ge84          ge85          ge86          ge87 
     41  4.138876583201E-04  1.000161E-30  1.000198E-30  1.000416E-30  1.000782E-30  1.003073E-30  1.002740E-30  1.009481E-30  1.008253E-30
     42  4.432651277490E-04  1.000173E-30  1.000212E-30  1.000446E-30  1.000838E-30  1.003291E-30  1.002935E-30  1.010155E-30  1.008842E-30
     43  4.720041568584E-04  1.000184E-30  1.000226E-30  1.000475E-30  1.000892E-30  1.003505E-30  1.003127E-30  1.010814E-30  1.009418E-30
     44  5.002792532552E-04  1.000195E-30  1.000239E-30  1.000503E-30  1.000946E-30  1.003715E-30  1.003315E-30  1.011462E-30  1.009986E-30
     45  5.282472522620E-04  1.000206E-30  1.000253E-30  1.000531E-30  1.001000E-30  1.003923E-30  1.003502E-30  1.012103E-30  1.010547E-30
     46  5.560479783168E-04  1.000217E-30  1.000266E-30  1.000559E-30  1.001053E-30  1.004129E-30  1.003687E-30  1.012741E-30  1.011106E-30
     47  5.838060709037E-04  1.000228E-30  1.000279E-30  1.000587E-30  1.001106E-30  1.004335E-30  1.003873E-30  1.013378E-30  1.011664E-30
     48  6.116334118686E-04  1.000239E-30  1.000293E-30  1.000615E-30  1.001159E-30  1.004542E-30  1.004059E-30  1.014016E-30  1.012224E-30
     49  6.396318340541E-04  1.000250E-30  1.000306E-30  1.000643E-30  1.001213E-30  1.004750E-30  1.004246E-30  1.014658E-30  1.012788E-30
     50  6.678959636874E-04  1.000261E-30  1.000320E-30  1.000672E-30  1.001267E-30  1.004960E-30  1.004435E-30  1.015307E-30  1.013357E-30
     51  6.965161747902E-04  1.000272E-30  1.000333E-30  1.000700E-30  1.001322E-30  1.005173E-30  1.004627E-30  1.015964E-30  1.013934E-30
     52  7.255817382538E-04  1.000283E-30  1.000347E-30  1.000730E-30  1.001378E-30  1.005389E-30  1.004822E-30  1.016631E-30  1.014521E-30
     53  7.551843574001E-04  1.000295E-30  1.000362E-30  1.000759E-30  1.001435E-30  1.005609E-30  1.005020E-30  1.017311E-30  1.015118E-30
     54  7.854224313090E-04  1.000306E-30  1.000376E-30  1.000790E-30  1.001493E-30  1.005833E-30  1.005223E-30  1.018005E-30  1.015729E-30
     55  8.164066374138E-04  1.000319E-30  1.000391E-30  1.000821E-30  1.001553E-30  1.006064E-30  1.005431E-30  1.018716E-30  1.016355E-30
     56  8.482679080764E-04  1.000331E-30  1.000406E-30  1.000853E-30  1.001614E-30  1.006300E-30  1.005646E-30  1.019448E-30  1.017000E-30
     57  8.811699017317E-04  1.000344E-30  1.000422E-30  1.000886E-30  1.001678E-30  1.006545E-30  1.005867E-30  1.020204E-30  1.017665E-30
     58  9.153304977871E-04  1.000357E-30  1.000438E-30  1.000921E-30  1.001744E-30  1.006799E-30  1.006097E-30  1.020989E-30  1.018357E-30
     59  9.510634923056E-04  1.000371E-30  1.000455E-30  1.000957E-30  1.001813E-30  1.007064E-30  1.006338E-30  1.021810E-30  1.019082E-30
     60  9.888739022907E-04  1.000386E-30  1.000474E-30  1.000995E-30  1.001886E-30  1.007346E-30  1.006593E-30  1.022679E-30  1.019849E-30
     61  1.029744313280E-03  1.000402E-30  1.000493E-30  1.001036E-30  1.001965E-30  1.007649E-30  1.006869E-30  1.023619E-30  1.020679E-30
     62  1.076805333108E-03  1.000420E-30  1.000516E-30  1.001083E-30  1.002057E-30  1.007999E-30  1.007187E-30  1.024701E-30  1.021635E-30
     63  1.127478238084E-03  1.000440E-30  1.000540E-30  1.001134E-30  1.002155E-30  1.008376E-30  1.007530E-30  1.025867E-30  1.022667E-30
     64  1.179263354774E-03  1.000460E-30  1.000565E-30  1.001186E-30  1.002256E-30  1.008761E-30  1.007881E-30  1.027058E-30  1.023721E-30
     65  1.231720185468E-03  1.000481E-30  1.000590E-30  1.001239E-30  1.002359E-30  1.009151E-30  1.008237E-30  1.028266E-30  1.024791E-30
     66  1.284679788904E-03  1.000501E-30  1.000615E-30  1.001293E-30  1.002462E-30  1.009545E-30  1.008597E-30  1.029485E-30  1.025873E-30
     67  1.338068714676E-03  1.000522E-30  1.000641E-30  1.001346E-30  1.002567E-30  1.009942E-30  1.008961E-30  1.030715E-30  1.026964E-30
     68  1.391852718980E-03  1.000543E-30  1.000667E-30  1.001401E-30  1.002672E-30  1.010342E-30  1.009327E-30  1.031954E-30  1.028065E-30
     69  1.446014888479E-03  1.000564E-30  1.000693E-30  1.001455E-30  1.002779E-30  1.010745E-30  1.009697E-30  1.033203E-30  1.029174E-30
     70  1.500546342624E-03  1.000586E-30  1.000719E-30  1.001510E-30  1.002886E-30  1.011151E-30  1.010069E-30  1.034461E-30  1.030293E-30
     71  1.555442065896E-03  1.000607E-30  1.000745E-30  1.001566E-30  1.002995E-30  1.011560E-30  1.010445E-30  1.035727E-30  1.031420E-30
     72  1.610698967280E-03  1.000629E-30  1.000772E-30  1.001621E-30  1.003104E-30  1.011971E-30  1.010823E-30  1.037003E-30  1.032557E-30
     73  1.666314948699E-03  1.000650E-30  1.000798E-30  1.001677E-30  1.003214E-30  1.012385E-30  1.011205E-30  1.038287E-30  1.033702E-30
     74  1.722288445659E-03  1.000672E-30  1.000825E-30  1.001734E-30  1.003325E-30  1.012801E-30  1.011589E-30  1.039580E-30  1.034855E-30
     75  1.778618195039E-03  1.000694E-30  1.000852E-30  1.001791E-30  1.003437E-30  1.013221E-30  1.011977E-30  1.040882E-30  1.036018E-30
     76  1.835303663832E-03  1.000717E-30  1.000880E-30  1.001848E-30  1.003550E-30  1.013643E-30  1.012367E-30  1.042193E-30  1.037189E-30
     77  1.892344396716E-03  1.000739E-30  1.000907E-30  1.001905E-30  1.003664E-30  1.014067E-30  1.012761E-30  1.043512E-30  1.038368E-30
     78  1.949739812628E-03  1.000761E-30  1.000935E-30  1.001963E-30  1.003778E-30  1.014495E-30  1.013157E-30  1.044841E-30  1.039557E-30
     79  2.007489276907E-03  1.000784E-30  1.000962E-30  1.002022E-30  1.003894E-30  1.014925E-30  1.013557E-30  1.046178E-30  1.040755E-30
     80  2.065592139419E-03  1.000806E-30  1.000990E-30  1.002080E-30  1.004010E-30  1.015358E-30  1.013959E-30  1.047525E-30  1.041961E-30
     81  2.124047755162E-03  1.000829E-30  1.001018E-30  1.002139E-30  1.004128E-30  1.015793E-30  1.014365E-30  1.048880E-30  1.043176E-30
     82  2.182855495215E-03  1.000852E-30  1.001047E-30  1.002199E-30  1.004246E-30  1.016231E-30  1.014774E-30  1.050244E-30  1.044400E-30
     83  2.242014752368E-03  1.000875E-30  1.001075E-30  1.002258E-30  1.004365E-30  1.016672E-30  1.015185E-30  1.051617E-30  1.045632E-30
     84  2.301524943777E-03  1.000899E-30  1.001104E-30  1.002318E-30  1.004486E-30  1.017116E-30  1.015600E-30  1.053000E-30  1.046874E-30
     85  2.361385511936E-03  1.000922E-30  1.001132E-30  1.002379E-30  1.004607E-30  1.017562E-30  1.016018E-30  1.054391E-30  1.048124E-30
     86  2.421595924701E-03  1.000946E-30  1.001161E-30  1.002440E-30  1.004729E-30  1.018011E-30  1.016439E-30  1.055791E-30  1.049383E-30
     87  2.482155674804E-03  1.000969E-30  1.001190E-30  1.002501E-30  1.004852E-30  1.018462E-30  1.016862E-30  1.057200E-30  1.050651E-30
     88  2.543064279071E-03  1.000993E-30  1.001220E-30  1.002562E-30  1.004976E-30  1.018916E-30  1.017289E-30  1.058618E-30  1.051928E-30
     89  2.604321277494E-03  1.001017E-30  1.001249E-30  1.002624E-30  1.005101E-30  1.019373E-30  1.017720E-30  1.060045E-30  1.053214E-30
     90  2.665926232237E-03  1.001041E-30  1.001279E-30  1.002686E-30  1.005227E-30  1.019833E-30  1.018153E-30  1.061481E-30  1.054508E-30
     91  2.727878734382E-03  1.001065E-30  1.001309E-30  1.002749E-30  1.005353E-30  1.020295E-30  1.018589E-30  1.062927E-30  1.055812E-30
     92  2.790178404165E-03  1.001090E-30  1.001339E-30  1.002812E-30  1.005481E-30  1.020759E-30  1.019028E-30  1.064381E-30  1.057125E-30
     93  2.852824875480E-03  1.001114E-30  1.001369E-30  1.002875E-30  1.005610E-30  1.021227E-30  1.019471E-30  1.065845E-30  1.058446E-30
     94  2.915817796872E-03  1.001139E-30  1.001399E-30  1.002939E-30  1.005740E-30  1.021697E-30  1.019917E-30  1.067318E-30  1.059777E-30
     95  2.979156831833E-03  1.001164E-30  1.001430E-30  1.003003E-30  1.005870E-30  1.022170E-30  1.020366E-30  1.068800E-30  1.061116E-30
