 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                k56           ca34          ca35          ca36          ca37          ca38          ca39          ca40 
     27  8.489118412102E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.006128E-30  1.000725E-30  1.001257E-30  1.000695E-30  1.000323E-30
     28  9.570255892797E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.006908E-30  1.000818E-30  1.001417E-30  1.000783E-30  1.000365E-30
     29  1.070853065563E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.007729E-30  1.000915E-30  1.001585E-30  1.000876E-30  1.000408E-30
     30  1.190882425669E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.008595E-30  1.001018E-30  1.001763E-30  1.000975E-30  1.000454E-30
     31  1.366291075688E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.009861E-30  1.001167E-30  1.002023E-30  1.001118E-30  1.000521E-30
     32  1.695708820900E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.012237E-30  1.001449E-30  1.002510E-30  1.001388E-30  1.000646E-30
     33  1.992873377730E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.014380E-30  1.001703E-30  1.002950E-30  1.001632E-30  1.000760E-30
     34  2.264248739983E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.016336E-30  1.001934E-30  1.003352E-30  1.001854E-30  1.000863E-30
     35  2.515933231106E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.018150E-30  1.002149E-30  1.003724E-30  1.002061E-30  1.000959E-30
     36  2.753099894686E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.019860E-30  1.002352E-30  1.004075E-30  1.002255E-30  1.001050E-30
     37  2.979926919870E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.021494E-30  1.002546E-30  1.004411E-30  1.002442E-30  1.001136E-30
     38  3.199702121451E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.023078E-30  1.002733E-30  1.004736E-30  1.002622E-30  1.001220E-30
     39  3.524429751724E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.025417E-30  1.003010E-30  1.005217E-30  1.002889E-30  1.001344E-30
     40  3.836809895565E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.027667E-30  1.003277E-30  1.005679E-30  1.003146E-30  1.001464E-30
     41  4.138876583201E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.029842E-30  1.003535E-30  1.006126E-30  1.003394E-30  1.001579E-30
     42  4.432651277490E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.031957E-30  1.003785E-30  1.006561E-30  1.003636E-30  1.001692E-30
     43  4.720041568584E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.034026E-30  1.004031E-30  1.006986E-30  1.003872E-30  1.001802E-30
     44  5.002792532552E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.036061E-30  1.004272E-30  1.007404E-30  1.004105E-30  1.001910E-30
     45  5.282472522620E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.038073E-30  1.004510E-30  1.007818E-30  1.004335E-30  1.002017E-30
     46  5.560479783168E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.040073E-30  1.004748E-30  1.008229E-30  1.004564E-30  1.002123E-30
     47  5.838060709037E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.042069E-30  1.004984E-30  1.008640E-30  1.004793E-30  1.002230E-30
     48  6.116334118686E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.044070E-30  1.005222E-30  1.009051E-30  1.005022E-30  1.002336E-30
     49  6.396318340541E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.046083E-30  1.005460E-30  1.009465E-30  1.005253E-30  1.002443E-30
     50  6.678959636874E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.048115E-30  1.005701E-30  1.009883E-30  1.005487E-30  1.002552E-30
     51  6.965161747902E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.050172E-30  1.005945E-30  1.010307E-30  1.005723E-30  1.002661E-30
     52  7.255817382538E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.052261E-30  1.006193E-30  1.010737E-30  1.005963E-30  1.002773E-30
     53  7.551843574001E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.054387E-30  1.006445E-30  1.011174E-30  1.006207E-30  1.002886E-30
     54  7.854224313090E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.056559E-30  1.006703E-30  1.011621E-30  1.006457E-30  1.003002E-30
     55  8.164066374138E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.058784E-30  1.006967E-30  1.012080E-30  1.006713E-30  1.003121E-30
     56  8.482679080764E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.061072E-30  1.007238E-30  1.012551E-30  1.006977E-30  1.003244E-30
     57  8.811699017317E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.063434E-30  1.007519E-30  1.013037E-30  1.007249E-30  1.003370E-30
     58  9.153304977871E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.065885E-30  1.007810E-30  1.013542E-30  1.007532E-30  1.003501E-30
     59  9.510634923056E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.068449E-30  1.008114E-30  1.014071E-30  1.007828E-30  1.003638E-30
     60  9.888739022907E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.071161E-30  1.008436E-30  1.014629E-30  1.008141E-30  1.003784E-30
     61  1.029744313280E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.074092E-30  1.008784E-30  1.015234E-30  1.008480E-30  1.003941E-30
     62  1.076805333108E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.077465E-30  1.009185E-30  1.015929E-30  1.008871E-30  1.004122E-30
     63  1.127478238084E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.081097E-30  1.009616E-30  1.016678E-30  1.009291E-30  1.004317E-30
     64  1.179263354774E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.084807E-30  1.010057E-30  1.017444E-30  1.009721E-30  1.004517E-30
     65  1.231720185468E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.088563E-30  1.010503E-30  1.018219E-30  1.010157E-30  1.004719E-30
     66  1.284679788904E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.092355E-30  1.010953E-30  1.019001E-30  1.010598E-30  1.004923E-30
     67  1.338068714676E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.096175E-30  1.011407E-30  1.019790E-30  1.011042E-30  1.005129E-30
     68  1.391852718980E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.100023E-30  1.011865E-30  1.020585E-30  1.011491E-30  1.005336E-30
     69  1.446014888479E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.103896E-30  1.012325E-30  1.021385E-30  1.011942E-30  1.005546E-30
     70  1.500546342624E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.107794E-30  1.012789E-30  1.022190E-30  1.012397E-30  1.005756E-30
     71  1.555442065896E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.111717E-30  1.013255E-30  1.023001E-30  1.012855E-30  1.005969E-30
     72  1.610698967280E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.115664E-30  1.013724E-30  1.023817E-30  1.013317E-30  1.006182E-30
     73  1.666314948699E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.119635E-30  1.014197E-30  1.024638E-30  1.013782E-30  1.006398E-30
     74  1.722288445659E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.123631E-30  1.014672E-30  1.025465E-30  1.014250E-30  1.006614E-30
     75  1.778618195039E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.127650E-30  1.015150E-30  1.026297E-30  1.014722E-30  1.006833E-30
     76  1.835303663832E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.131693E-30  1.015632E-30  1.027134E-30  1.015197E-30  1.007052E-30
     77  1.892344396716E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.135759E-30  1.016116E-30  1.027976E-30  1.015676E-30  1.007274E-30
     78  1.949739812628E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.139850E-30  1.016603E-30  1.028823E-30  1.016157E-30  1.007497E-30
     79  2.007489276907E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.143964E-30  1.017092E-30  1.029675E-30  1.016642E-30  1.007721E-30
     80  2.065592139419E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.148101E-30  1.017585E-30  1.030533E-30  1.017131E-30  1.007947E-30
     81  2.124047755162E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.152262E-30  1.018081E-30  1.031395E-30  1.017622E-30  1.008174E-30
     82  2.182855495215E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.156447E-30  1.018579E-30  1.032263E-30  1.018118E-30  1.008403E-30
     83  2.242014752368E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.160655E-30  1.019081E-30  1.033136E-30  1.018616E-30  1.008634E-30
     84  2.301524943777E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.164886E-30  1.019585E-30  1.034014E-30  1.019118E-30  1.008866E-30
     85  2.361385511936E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.169140E-30  1.020092E-30  1.034897E-30  1.019623E-30  1.009099E-30
     86  2.421595924701E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.173417E-30  1.020602E-30  1.035785E-30  1.020131E-30  1.009334E-30
     87  2.482155674804E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.177718E-30  1.021115E-30  1.036678E-30  1.020643E-30  1.009570E-30
     88  2.543064279071E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.182041E-30  1.021630E-30  1.037576E-30  1.021158E-30  1.009808E-30
     89  2.604321277494E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.186387E-30  1.022149E-30  1.038480E-30  1.021677E-30  1.010048E-30
     90  2.665926232237E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.190756E-30  1.022670E-30  1.039388E-30  1.022199E-30  1.010289E-30
     91  2.727878734382E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.195148E-30  1.023194E-30  1.040301E-30  1.022724E-30  1.010532E-30
     92  2.790178404165E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.199563E-30  1.023721E-30  1.041220E-30  1.023253E-30  1.010776E-30
     93  2.852824875480E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.204000E-30  1.024251E-30  1.042143E-30  1.023785E-30  1.011022E-30
     94  2.915817796872E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.208460E-30  1.024783E-30  1.043072E-30  1.024320E-30  1.011269E-30
     95  2.979156831833E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.212943E-30  1.025318E-30  1.044005E-30  1.024859E-30  1.011518E-30
