 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                er184         er185         er186         er187         er188         er189         er190         er191
     41  4.138876583201E-04  1.004866E-30  1.003044E-30  1.001724E-30  1.001166E-30  1.001794E-30  1.001234E-30  1.001369E-30  1.004163E-30
     42  4.432651277490E-04  1.005211E-30  1.003259E-30  1.001847E-30  1.001249E-30  1.001922E-30  1.001322E-30  1.001466E-30  1.004459E-30
     43  4.720041568584E-04  1.005549E-30  1.003471E-30  1.001966E-30  1.001330E-30  1.002047E-30  1.001408E-30  1.001562E-30  1.004747E-30
     44  5.002792532552E-04  1.005881E-30  1.003678E-30  1.002084E-30  1.001410E-30  1.002170E-30  1.001492E-30  1.001656E-30  1.005032E-30
     45  5.282472522620E-04  1.006210E-30  1.003884E-30  1.002201E-30  1.001489E-30  1.002291E-30  1.001576E-30  1.001749E-30  1.005313E-30
     46  5.560479783168E-04  1.006537E-30  1.004088E-30  1.002317E-30  1.001568E-30  1.002412E-30  1.001660E-30  1.001841E-30  1.005592E-30
     47  5.838060709037E-04  1.006863E-30  1.004292E-30  1.002432E-30  1.001646E-30  1.002533E-30  1.001743E-30  1.001933E-30  1.005871E-30
     48  6.116334118686E-04  1.007190E-30  1.004496E-30  1.002549E-30  1.001725E-30  1.002654E-30  1.001826E-30  1.002026E-30  1.006151E-30
     49  6.396318340541E-04  1.007519E-30  1.004702E-30  1.002665E-30  1.001804E-30  1.002776E-30  1.001910E-30  1.002119E-30  1.006433E-30
     50  6.678959636874E-04  1.007851E-30  1.004909E-30  1.002783E-30  1.001884E-30  1.002899E-30  1.001995E-30  1.002213E-30  1.006717E-30
     51  6.965161747902E-04  1.008188E-30  1.005119E-30  1.002903E-30  1.001966E-30  1.003023E-30  1.002081E-30  1.002309E-30  1.007004E-30
     52  7.255817382538E-04  1.008529E-30  1.005332E-30  1.003024E-30  1.002048E-30  1.003150E-30  1.002169E-30  1.002406E-30  1.007296E-30
     53  7.551843574001E-04  1.008877E-30  1.005550E-30  1.003147E-30  1.002132E-30  1.003279E-30  1.002258E-30  1.002504E-30  1.007594E-30
     54  7.854224313090E-04  1.009233E-30  1.005772E-30  1.003273E-30  1.002218E-30  1.003411E-30  1.002349E-30  1.002605E-30  1.007898E-30
     55  8.164066374138E-04  1.009597E-30  1.005999E-30  1.003403E-30  1.002306E-30  1.003546E-30  1.002442E-30  1.002708E-30  1.008209E-30
     56  8.482679080764E-04  1.009971E-30  1.006233E-30  1.003536E-30  1.002396E-30  1.003685E-30  1.002538E-30  1.002815E-30  1.008529E-30
     57  8.811699017317E-04  1.010358E-30  1.006474E-30  1.003673E-30  1.002489E-30  1.003828E-30  1.002637E-30  1.002925E-30  1.008860E-30
     58  9.153304977871E-04  1.010759E-30  1.006725E-30  1.003816E-30  1.002586E-30  1.003977E-30  1.002740E-30  1.003039E-30  1.009203E-30
     59  9.510634923056E-04  1.011179E-30  1.006987E-30  1.003965E-30  1.002688E-30  1.004133E-30  1.002848E-30  1.003158E-30  1.009562E-30
     60  9.888739022907E-04  1.011623E-30  1.007264E-30  1.004123E-30  1.002795E-30  1.004298E-30  1.002962E-30  1.003285E-30  1.009942E-30
     61  1.029744313280E-03  1.012103E-30  1.007563E-30  1.004293E-30  1.002912E-30  1.004476E-30  1.003086E-30  1.003422E-30  1.010352E-30
     62  1.076805333108E-03  1.012656E-30  1.007908E-30  1.004490E-30  1.003046E-30  1.004682E-30  1.003228E-30  1.003579E-30  1.010825E-30
     63  1.127478238084E-03  1.013252E-30  1.008280E-30  1.004701E-30  1.003190E-30  1.004903E-30  1.003381E-30  1.003749E-30  1.011334E-30
     64  1.179263354774E-03  1.013860E-30  1.008659E-30  1.004918E-30  1.003338E-30  1.005130E-30  1.003538E-30  1.003923E-30  1.011854E-30
     65  1.231720185468E-03  1.014476E-30  1.009044E-30  1.005137E-30  1.003487E-30  1.005359E-30  1.003697E-30  1.004099E-30  1.012381E-30
     66  1.284679788904E-03  1.015098E-30  1.009431E-30  1.005358E-30  1.003638E-30  1.005591E-30  1.003858E-30  1.004277E-30  1.012913E-30
     67  1.338068714676E-03  1.015725E-30  1.009822E-30  1.005581E-30  1.003791E-30  1.005825E-30  1.004020E-30  1.004456E-30  1.013449E-30
     68  1.391852718980E-03  1.016357E-30  1.010216E-30  1.005806E-30  1.003944E-30  1.006060E-30  1.004183E-30  1.004637E-30  1.013989E-30
     69  1.446014888479E-03  1.016993E-30  1.010613E-30  1.006032E-30  1.004099E-30  1.006298E-30  1.004348E-30  1.004820E-30  1.014533E-30
     70  1.500546342624E-03  1.017634E-30  1.011012E-30  1.006260E-30  1.004255E-30  1.006537E-30  1.004514E-30  1.005004E-30  1.015080E-30
     71  1.555442065896E-03  1.018278E-30  1.011413E-30  1.006490E-30  1.004412E-30  1.006778E-30  1.004681E-30  1.005189E-30  1.015632E-30
     72  1.610698967280E-03  1.018927E-30  1.011818E-30  1.006721E-30  1.004571E-30  1.007020E-30  1.004850E-30  1.005376E-30  1.016186E-30
     73  1.666314948699E-03  1.019580E-30  1.012224E-30  1.006953E-30  1.004730E-30  1.007264E-30  1.005020E-30  1.005563E-30  1.016745E-30
     74  1.722288445659E-03  1.020238E-30  1.012634E-30  1.007187E-30  1.004891E-30  1.007510E-30  1.005191E-30  1.005753E-30  1.017306E-30
     75  1.778618195039E-03  1.020899E-30  1.013045E-30  1.007423E-30  1.005052E-30  1.007758E-30  1.005363E-30  1.005943E-30  1.017872E-30
     76  1.835303663832E-03  1.021565E-30  1.013460E-30  1.007660E-30  1.005215E-30  1.008007E-30  1.005537E-30  1.006136E-30  1.018441E-30
     77  1.892344396716E-03  1.022234E-30  1.013877E-30  1.007899E-30  1.005379E-30  1.008258E-30  1.005711E-30  1.006329E-30  1.019013E-30
     78  1.949739812628E-03  1.022908E-30  1.014296E-30  1.008139E-30  1.005544E-30  1.008511E-30  1.005887E-30  1.006524E-30  1.019589E-30
     79  2.007489276907E-03  1.023586E-30  1.014718E-30  1.008381E-30  1.005710E-30  1.008765E-30  1.006065E-30  1.006720E-30  1.020169E-30
     80  2.065592139419E-03  1.024268E-30  1.015142E-30  1.008625E-30  1.005878E-30  1.009021E-30  1.006243E-30  1.006918E-30  1.020752E-30
     81  2.124047755162E-03  1.024955E-30  1.015569E-30  1.008869E-30  1.006046E-30  1.009279E-30  1.006423E-30  1.007116E-30  1.021339E-30
     82  2.182855495215E-03  1.025645E-30  1.015998E-30  1.009116E-30  1.006216E-30  1.009538E-30  1.006604E-30  1.007317E-30  1.021929E-30
     83  2.242014752368E-03  1.026339E-30  1.016430E-30  1.009364E-30  1.006387E-30  1.009799E-30  1.006786E-30  1.007518E-30  1.022523E-30
     84  2.301524943777E-03  1.027038E-30  1.016864E-30  1.009613E-30  1.006559E-30  1.010062E-30  1.006970E-30  1.007722E-30  1.023120E-30
     85  2.361385511936E-03  1.027740E-30  1.017301E-30  1.009864E-30  1.006732E-30  1.010327E-30  1.007155E-30  1.007926E-30  1.023720E-30
     86  2.421595924701E-03  1.028447E-30  1.017740E-30  1.010116E-30  1.006906E-30  1.010593E-30  1.007341E-30  1.008132E-30  1.024324E-30
     87  2.482155674804E-03  1.029158E-30  1.018182E-30  1.010370E-30  1.007081E-30  1.010861E-30  1.007528E-30  1.008339E-30  1.024932E-30
     88  2.543064279071E-03  1.029872E-30  1.018626E-30  1.010626E-30  1.007258E-30  1.011130E-30  1.007717E-30  1.008548E-30  1.025543E-30
     89  2.604321277494E-03  1.030591E-30  1.019072E-30  1.010883E-30  1.007436E-30  1.011402E-30  1.007907E-30  1.008758E-30  1.026158E-30
     90  2.665926232237E-03  1.031314E-30  1.019521E-30  1.011141E-30  1.007614E-30  1.011674E-30  1.008098E-30  1.008969E-30  1.026776E-30
     91  2.727878734382E-03  1.032041E-30  1.019973E-30  1.011401E-30  1.007794E-30  1.011949E-30  1.008290E-30  1.009182E-30  1.027398E-30
     92  2.790178404165E-03  1.032772E-30  1.020426E-30  1.011663E-30  1.007975E-30  1.012226E-30  1.008484E-30  1.009396E-30  1.028023E-30
     93  2.852824875480E-03  1.033507E-30  1.020883E-30  1.011926E-30  1.008158E-30  1.012504E-30  1.008679E-30  1.009612E-30  1.028651E-30
     94  2.915817796872E-03  1.034246E-30  1.021341E-30  1.012190E-30  1.008341E-30  1.012783E-30  1.008875E-30  1.009829E-30  1.029283E-30
     95  2.979156831833E-03  1.034989E-30  1.021802E-30  1.012456E-30  1.008526E-30  1.013065E-30  1.009073E-30  1.010047E-30  1.029919E-30
