 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                hf192         hf193         hf194         hf195         hf196         hf197         hf198         hf199
     41  4.138876583201E-04  1.000860E-30  1.000885E-30  1.001209E-30  1.001175E-30  1.001320E-30  1.002353E-30  1.003467E-30  1.002309E-30
     42  4.432651277490E-04  1.000921E-30  1.000948E-30  1.001295E-30  1.001258E-30  1.001413E-30  1.002520E-30  1.003713E-30  1.002473E-30
     43  4.720041568584E-04  1.000980E-30  1.001009E-30  1.001379E-30  1.001340E-30  1.001505E-30  1.002683E-30  1.003954E-30  1.002634E-30
     44  5.002792532552E-04  1.001039E-30  1.001070E-30  1.001462E-30  1.001420E-30  1.001595E-30  1.002844E-30  1.004191E-30  1.002791E-30
     45  5.282472522620E-04  1.001097E-30  1.001129E-30  1.001543E-30  1.001499E-30  1.001684E-30  1.003003E-30  1.004425E-30  1.002948E-30
     46  5.560479783168E-04  1.001155E-30  1.001189E-30  1.001625E-30  1.001578E-30  1.001773E-30  1.003161E-30  1.004658E-30  1.003103E-30
     47  5.838060709037E-04  1.001212E-30  1.001248E-30  1.001706E-30  1.001657E-30  1.001861E-30  1.003318E-30  1.004891E-30  1.003258E-30
     48  6.116334118686E-04  1.001270E-30  1.001308E-30  1.001787E-30  1.001736E-30  1.001950E-30  1.003476E-30  1.005124E-30  1.003413E-30
     49  6.396318340541E-04  1.001328E-30  1.001367E-30  1.001869E-30  1.001816E-30  1.002039E-30  1.003636E-30  1.005358E-30  1.003570E-30
     50  6.678959636874E-04  1.001387E-30  1.001428E-30  1.001951E-30  1.001896E-30  1.002129E-30  1.003796E-30  1.005595E-30  1.003728E-30
     51  6.965161747902E-04  1.001447E-30  1.001489E-30  1.002035E-30  1.001977E-30  1.002220E-30  1.003959E-30  1.005835E-30  1.003887E-30
     52  7.255817382538E-04  1.001507E-30  1.001551E-30  1.002120E-30  1.002060E-30  1.002313E-30  1.004124E-30  1.006078E-30  1.004050E-30
     53  7.551843574001E-04  1.001568E-30  1.001614E-30  1.002206E-30  1.002144E-30  1.002408E-30  1.004292E-30  1.006326E-30  1.004215E-30
     54  7.854224313090E-04  1.001631E-30  1.001679E-30  1.002295E-30  1.002229E-30  1.002504E-30  1.004464E-30  1.006579E-30  1.004384E-30
     55  8.164066374138E-04  1.001696E-30  1.001745E-30  1.002385E-30  1.002317E-30  1.002603E-30  1.004640E-30  1.006839E-30  1.004557E-30
     56  8.482679080764E-04  1.001762E-30  1.001813E-30  1.002478E-30  1.002408E-30  1.002704E-30  1.004821E-30  1.007106E-30  1.004735E-30
     57  8.811699017317E-04  1.001830E-30  1.001884E-30  1.002575E-30  1.002501E-30  1.002809E-30  1.005008E-30  1.007381E-30  1.004919E-30
     58  9.153304977871E-04  1.001901E-30  1.001957E-30  1.002674E-30  1.002598E-30  1.002918E-30  1.005203E-30  1.007668E-30  1.005110E-30
     59  9.510634923056E-04  1.001975E-30  1.002033E-30  1.002779E-30  1.002700E-30  1.003032E-30  1.005406E-30  1.007967E-30  1.005310E-30
     60  9.888739022907E-04  1.002054E-30  1.002114E-30  1.002889E-30  1.002807E-30  1.003152E-30  1.005621E-30  1.008284E-30  1.005521E-30
     61  1.029744313280E-03  1.002139E-30  1.002201E-30  1.003009E-30  1.002923E-30  1.003283E-30  1.005853E-30  1.008626E-30  1.005750E-30
     62  1.076805333108E-03  1.002236E-30  1.002302E-30  1.003146E-30  1.003056E-30  1.003433E-30  1.006120E-30  1.009020E-30  1.006013E-30
     63  1.127478238084E-03  1.002342E-30  1.002410E-30  1.003294E-30  1.003200E-30  1.003594E-30  1.006408E-30  1.009445E-30  1.006297E-30
     64  1.179263354774E-03  1.002449E-30  1.002521E-30  1.003445E-30  1.003347E-30  1.003759E-30  1.006703E-30  1.009878E-30  1.006586E-30
     65  1.231720185468E-03  1.002558E-30  1.002633E-30  1.003599E-30  1.003496E-30  1.003927E-30  1.007001E-30  1.010318E-30  1.006880E-30
     66  1.284679788904E-03  1.002668E-30  1.002746E-30  1.003753E-30  1.003646E-30  1.004095E-30  1.007302E-30  1.010761E-30  1.007176E-30
     67  1.338068714676E-03  1.002779E-30  1.002860E-30  1.003909E-30  1.003798E-30  1.004265E-30  1.007605E-30  1.011208E-30  1.007475E-30
     68  1.391852718980E-03  1.002891E-30  1.002975E-30  1.004066E-30  1.003950E-30  1.004437E-30  1.007911E-30  1.011659E-30  1.007776E-30
     69  1.446014888479E-03  1.003003E-30  1.003091E-30  1.004225E-30  1.004104E-30  1.004610E-30  1.008218E-30  1.012112E-30  1.008079E-30
     70  1.500546342624E-03  1.003116E-30  1.003207E-30  1.004384E-30  1.004259E-30  1.004783E-30  1.008528E-30  1.012569E-30  1.008384E-30
     71  1.555442065896E-03  1.003230E-30  1.003325E-30  1.004544E-30  1.004415E-30  1.004958E-30  1.008840E-30  1.013029E-30  1.008692E-30
     72  1.610698967280E-03  1.003345E-30  1.003443E-30  1.004706E-30  1.004571E-30  1.005134E-30  1.009154E-30  1.013492E-30  1.009001E-30
     73  1.666314948699E-03  1.003460E-30  1.003562E-30  1.004868E-30  1.004729E-30  1.005312E-30  1.009470E-30  1.013957E-30  1.009313E-30
     74  1.722288445659E-03  1.003577E-30  1.003681E-30  1.005032E-30  1.004888E-30  1.005490E-30  1.009788E-30  1.014426E-30  1.009626E-30
     75  1.778618195039E-03  1.003694E-30  1.003802E-30  1.005196E-30  1.005048E-30  1.005670E-30  1.010109E-30  1.014898E-30  1.009942E-30
     76  1.835303663832E-03  1.003811E-30  1.003923E-30  1.005362E-30  1.005209E-30  1.005850E-30  1.010431E-30  1.015373E-30  1.010260E-30
     77  1.892344396716E-03  1.003930E-30  1.004045E-30  1.005528E-30  1.005371E-30  1.006032E-30  1.010755E-30  1.015850E-30  1.010579E-30
     78  1.949739812628E-03  1.004049E-30  1.004167E-30  1.005696E-30  1.005533E-30  1.006215E-30  1.011081E-30  1.016331E-30  1.010901E-30
     79  2.007489276907E-03  1.004169E-30  1.004291E-30  1.005865E-30  1.005697E-30  1.006399E-30  1.011409E-30  1.016814E-30  1.011225E-30
     80  2.065592139419E-03  1.004290E-30  1.004415E-30  1.006035E-30  1.005862E-30  1.006584E-30  1.011739E-30  1.017301E-30  1.011551E-30
     81  2.124047755162E-03  1.004411E-30  1.004540E-30  1.006205E-30  1.006028E-30  1.006770E-30  1.012071E-30  1.017791E-30  1.011879E-30
     82  2.182855495215E-03  1.004533E-30  1.004665E-30  1.006377E-30  1.006195E-30  1.006958E-30  1.012406E-30  1.018283E-30  1.012208E-30
     83  2.242014752368E-03  1.004656E-30  1.004792E-30  1.006550E-30  1.006363E-30  1.007146E-30  1.012742E-30  1.018778E-30  1.012540E-30
     84  2.301524943777E-03  1.004779E-30  1.004919E-30  1.006724E-30  1.006531E-30  1.007336E-30  1.013080E-30  1.019277E-30  1.012874E-30
     85  2.361385511936E-03  1.004904E-30  1.005047E-30  1.006898E-30  1.006701E-30  1.007527E-30  1.013420E-30  1.019778E-30  1.013210E-30
     86  2.421595924701E-03  1.005029E-30  1.005176E-30  1.007074E-30  1.006872E-30  1.007719E-30  1.013762E-30  1.020282E-30  1.013548E-30
     87  2.482155674804E-03  1.005154E-30  1.005305E-30  1.007251E-30  1.007044E-30  1.007912E-30  1.014106E-30  1.020789E-30  1.013888E-30
     88  2.543064279071E-03  1.005281E-30  1.005435E-30  1.007429E-30  1.007217E-30  1.008106E-30  1.014452E-30  1.021299E-30  1.014230E-30
     89  2.604321277494E-03  1.005408E-30  1.005566E-30  1.007608E-30  1.007390E-30  1.008301E-30  1.014800E-30  1.021812E-30  1.014574E-30
     90  2.665926232237E-03  1.005536E-30  1.005698E-30  1.007788E-30  1.007565E-30  1.008497E-30  1.015150E-30  1.022328E-30  1.014920E-30
     91  2.727878734382E-03  1.005665E-30  1.005830E-30  1.007969E-30  1.007741E-30  1.008695E-30  1.015502E-30  1.022847E-30  1.015268E-30
     92  2.790178404165E-03  1.005794E-30  1.005963E-30  1.008151E-30  1.007918E-30  1.008893E-30  1.015856E-30  1.023368E-30  1.015618E-30
     93  2.852824875480E-03  1.005924E-30  1.006097E-30  1.008334E-30  1.008095E-30  1.009093E-30  1.016212E-30  1.023893E-30  1.015970E-30
     94  2.915817796872E-03  1.006055E-30  1.006231E-30  1.008518E-30  1.008274E-30  1.009293E-30  1.016570E-30  1.024420E-30  1.016324E-30
     95  2.979156831833E-03  1.006186E-30  1.006367E-30  1.008703E-30  1.008454E-30  1.009495E-30  1.016930E-30  1.024950E-30  1.016681E-30
