 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                ti54          ti55          ti56          ti57          ti58          ti59          ti60          ti61 
     41  4.138876583201E-04  1.381512E-30  1.002302E-30  1.002196E-30  1.017410E-30  1.018998E-30  1.026614E-30  1.053922E-30  1.050001E-30
     42  4.432651277490E-04  1.437537E-30  1.002468E-30  1.002355E-30  1.018656E-30  1.020343E-30  1.028493E-30  1.057739E-30  1.053530E-30
     43  4.720041568584E-04  1.496056E-30  1.002630E-30  1.002512E-30  1.019875E-30  1.021659E-30  1.030330E-30  1.061471E-30  1.056980E-30
     44  5.002792532552E-04  1.557211E-30  1.002790E-30  1.002666E-30  1.021075E-30  1.022952E-30  1.032136E-30  1.065141E-30  1.060372E-30
     45  5.282472522620E-04  1.621197E-30  1.002948E-30  1.002819E-30  1.022264E-30  1.024232E-30  1.033922E-30  1.068771E-30  1.063725E-30
     46  5.560479783168E-04  1.688245E-30  1.003106E-30  1.002971E-30  1.023447E-30  1.025503E-30  1.035695E-30  1.072377E-30  1.067055E-30
     47  5.838060709037E-04  1.758616E-30  1.003264E-30  1.003124E-30  1.024629E-30  1.026771E-30  1.037465E-30  1.075976E-30  1.070378E-30
     48  6.116334118686E-04  1.832598E-30  1.003422E-30  1.003277E-30  1.025815E-30  1.028043E-30  1.039238E-30  1.079584E-30  1.073707E-30
     49  6.396318340541E-04  1.910506E-30  1.003582E-30  1.003432E-30  1.027009E-30  1.029322E-30  1.041020E-30  1.083212E-30  1.077054E-30
     50  6.678959636874E-04  1.992686E-30  1.003743E-30  1.003589E-30  1.028216E-30  1.030612E-30  1.042819E-30  1.086873E-30  1.080431E-30
     51  6.965161747902E-04  2.079517E-30  1.003907E-30  1.003748E-30  1.029439E-30  1.031919E-30  1.044639E-30  1.090579E-30  1.083847E-30
     52  7.255817382538E-04  2.171422E-30  1.004074E-30  1.003910E-30  1.030682E-30  1.033245E-30  1.046486E-30  1.094341E-30  1.087314E-30
     53  7.551843574001E-04  2.268881E-30  1.004244E-30  1.004076E-30  1.031950E-30  1.034595E-30  1.048365E-30  1.098171E-30  1.090843E-30
     54  7.854224313090E-04  2.372451E-30  1.004418E-30  1.004246E-30  1.033246E-30  1.035974E-30  1.050284E-30  1.102082E-30  1.094444E-30
     55  8.164066374138E-04  2.482787E-30  1.004597E-30  1.004420E-30  1.034575E-30  1.037387E-30  1.052248E-30  1.106087E-30  1.098132E-30
     56  8.482679080764E-04  2.600692E-30  1.004781E-30  1.004600E-30  1.035943E-30  1.038838E-30  1.054267E-30  1.110205E-30  1.101921E-30
     57  8.811699017317E-04  2.727178E-30  1.004971E-30  1.004786E-30  1.037357E-30  1.040337E-30  1.056350E-30  1.114455E-30  1.105830E-30
     58  9.153304977871E-04  2.863588E-30  1.005169E-30  1.004981E-30  1.038827E-30  1.041892E-30  1.058511E-30  1.118866E-30  1.109886E-30
     59  9.510634923056E-04  3.011820E-30  1.005377E-30  1.005184E-30  1.040367E-30  1.043519E-30  1.060770E-30  1.123478E-30  1.114125E-30
     60  9.888739022907E-04  3.174841E-30  1.005597E-30  1.005401E-30  1.041997E-30  1.045239E-30  1.063157E-30  1.128356E-30  1.118606E-30
     61  1.029744313280E-03  3.358191E-30  1.005836E-30  1.005636E-30  1.043762E-30  1.047097E-30  1.065736E-30  1.133625E-30  1.123445E-30
     62  1.076805333108E-03  3.578495E-30  1.006112E-30  1.005908E-30  1.045797E-30  1.049236E-30  1.068702E-30  1.139690E-30  1.129010E-30
     63  1.127478238084E-03  3.826693E-30  1.006409E-30  1.006202E-30  1.047991E-30  1.051538E-30  1.071892E-30  1.146215E-30  1.134996E-30
     64  1.179263354774E-03  4.092108E-30  1.006715E-30  1.006504E-30  1.050238E-30  1.053888E-30  1.075147E-30  1.152880E-30  1.141104E-30
     65  1.231720185468E-03  4.373093E-30  1.007025E-30  1.006811E-30  1.052516E-30  1.056268E-30  1.078441E-30  1.159627E-30  1.147284E-30
     66  1.284679788904E-03  4.669150E-30  1.007339E-30  1.007124E-30  1.054821E-30  1.058669E-30  1.081763E-30  1.166433E-30  1.153515E-30
     67  1.338068714676E-03  4.980196E-30  1.007657E-30  1.007440E-30  1.057148E-30  1.061088E-30  1.085107E-30  1.173290E-30  1.159788E-30
     68  1.391852718980E-03  5.306322E-30  1.007978E-30  1.007761E-30  1.059495E-30  1.063524E-30  1.088471E-30  1.180193E-30  1.166099E-30
     69  1.446014888479E-03  5.647701E-30  1.008303E-30  1.008085E-30  1.061864E-30  1.065975E-30  1.091855E-30  1.187139E-30  1.172446E-30
     70  1.500546342624E-03  6.004543E-30  1.008631E-30  1.008414E-30  1.064252E-30  1.068441E-30  1.095257E-30  1.194128E-30  1.178827E-30
     71  1.555442065896E-03  6.377080E-30  1.008962E-30  1.008746E-30  1.066660E-30  1.070922E-30  1.098677E-30  1.201159E-30  1.185242E-30
     72  1.610698967280E-03  6.765554E-30  1.009297E-30  1.009083E-30  1.069087E-30  1.073418E-30  1.102115E-30  1.208231E-30  1.191691E-30
     73  1.666314948699E-03  7.170214E-30  1.009635E-30  1.009424E-30  1.071534E-30  1.075928E-30  1.105571E-30  1.215344E-30  1.198172E-30
     74  1.722288445659E-03  7.591309E-30  1.009977E-30  1.009769E-30  1.074002E-30  1.078453E-30  1.109045E-30  1.222497E-30  1.204686E-30
     75  1.778618195039E-03  8.029095E-30  1.010322E-30  1.010118E-30  1.076488E-30  1.080992E-30  1.112535E-30  1.229691E-30  1.211231E-30
     76  1.835303663832E-03  8.483832E-30  1.010670E-30  1.010471E-30  1.078995E-30  1.083546E-30  1.116043E-30  1.236925E-30  1.217809E-30
     77  1.892344396716E-03  8.955781E-30  1.011022E-30  1.010829E-30  1.081521E-30  1.086114E-30  1.119568E-30  1.244198E-30  1.224419E-30
     78  1.949739812628E-03  9.445206E-30  1.011378E-30  1.011191E-30  1.084067E-30  1.088696E-30  1.123110E-30  1.251512E-30  1.231060E-30
