 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                mg23          mg24          mg25          mg26          mg27          mg28          mg29          mg30 
     41  4.138876583201E-04  1.000000E-30  1.000140E-30  1.000045E-30  1.000267E-30  1.000956E-30  1.009433E-30  1.006206E-30  1.005248E-30
     42  4.432651277490E-04  1.000000E-30  1.000150E-30  1.000048E-30  1.000285E-30  1.001025E-30  1.010104E-30  1.006650E-30  1.005630E-30
     43  4.720041568584E-04  1.000000E-30  1.000160E-30  1.000051E-30  1.000304E-30  1.001091E-30  1.010762E-30  1.007084E-30  1.006005E-30
     44  5.002792532552E-04  1.000000E-30  1.000169E-30  1.000054E-30  1.000322E-30  1.001157E-30  1.011408E-30  1.007511E-30  1.006375E-30
     45  5.282472522620E-04  1.000000E-30  1.000179E-30  1.000057E-30  1.000340E-30  1.001222E-30  1.012048E-30  1.007934E-30  1.006743E-30
     46  5.560479783168E-04  1.000000E-30  1.000188E-30  1.000060E-30  1.000358E-30  1.001287E-30  1.012685E-30  1.008355E-30  1.007109E-30
     47  5.838060709037E-04  1.000000E-30  1.000197E-30  1.000063E-30  1.000376E-30  1.001351E-30  1.013321E-30  1.008776E-30  1.007476E-30
     48  6.116334118686E-04  1.000000E-30  1.000207E-30  1.000066E-30  1.000394E-30  1.001416E-30  1.013958E-30  1.009198E-30  1.007845E-30
     49  6.396318340541E-04  1.000000E-30  1.000216E-30  1.000069E-30  1.000412E-30  1.001481E-30  1.014600E-30  1.009623E-30  1.008217E-30
     50  6.678959636874E-04  1.000000E-30  1.000226E-30  1.000072E-30  1.000430E-30  1.001547E-30  1.015248E-30  1.010052E-30  1.008594E-30
     51  6.965161747902E-04  1.000000E-30  1.000236E-30  1.000075E-30  1.000449E-30  1.001614E-30  1.015905E-30  1.010487E-30  1.008977E-30
     52  7.255817382538E-04  1.000000E-30  1.000245E-30  1.000079E-30  1.000467E-30  1.001682E-30  1.016572E-30  1.010930E-30  1.009368E-30
     53  7.551843574001E-04  1.000000E-30  1.000255E-30  1.000082E-30  1.000487E-30  1.001751E-30  1.017251E-30  1.011380E-30  1.009766E-30
     54  7.854224313090E-04  1.000000E-30  1.000266E-30  1.000085E-30  1.000506E-30  1.001821E-30  1.017945E-30  1.011841E-30  1.010175E-30
     55  8.164066374138E-04  1.000000E-30  1.000276E-30  1.000088E-30  1.000526E-30  1.001894E-30  1.018657E-30  1.012314E-30  1.010595E-30
     56  8.482679080764E-04  1.000000E-30  1.000287E-30  1.000092E-30  1.000547E-30  1.001968E-30  1.019390E-30  1.012800E-30  1.011028E-30
     57  8.811699017317E-04  1.000000E-30  1.000298E-30  1.000096E-30  1.000568E-30  1.002045E-30  1.020146E-30  1.013303E-30  1.011478E-30
     58  9.153304977871E-04  1.000000E-30  1.000310E-30  1.000099E-30  1.000590E-30  1.002125E-30  1.020932E-30  1.013826E-30  1.011946E-30
     59  9.510634923056E-04  1.000000E-30  1.000322E-30  1.000103E-30  1.000613E-30  1.002209E-30  1.021754E-30  1.014373E-30  1.012437E-30
     60  9.888739022907E-04  1.000000E-30  1.000335E-30  1.000107E-30  1.000637E-30  1.002298E-30  1.022625E-30  1.014952E-30  1.012959E-30
     61  1.029744313280E-03  1.000000E-30  1.000349E-30  1.000112E-30  1.000664E-30  1.002394E-30  1.023567E-30  1.015580E-30  1.013526E-30
     62  1.076805333108E-03  1.000000E-30  1.000365E-30  1.000117E-30  1.000694E-30  1.002504E-30  1.024651E-30  1.016303E-30  1.014181E-30
     63  1.127478238084E-03  1.000000E-30  1.000382E-30  1.000122E-30  1.000727E-30  1.002623E-30  1.025820E-30  1.017082E-30  1.014891E-30
     64  1.179263354774E-03  1.000000E-30  1.000399E-30  1.000128E-30  1.000760E-30  1.002745E-30  1.027016E-30  1.017880E-30  1.015620E-30
     65  1.231720185468E-03  1.000000E-30  1.000417E-30  1.000134E-30  1.000794E-30  1.002869E-30  1.028227E-30  1.018689E-30  1.016362E-30
     66  1.284679788904E-03  1.000000E-30  1.000435E-30  1.000139E-30  1.000828E-30  1.002994E-30  1.029451E-30  1.019508E-30  1.017115E-30
     67  1.338068714676E-03  1.000000E-30  1.000453E-30  1.000145E-30  1.000863E-30  1.003120E-30  1.030686E-30  1.020334E-30  1.017879E-30
     68  1.391852718980E-03  1.000000E-30  1.000472E-30  1.000151E-30  1.000898E-30  1.003247E-30  1.031931E-30  1.021167E-30  1.018653E-30
     69  1.446014888479E-03  1.000000E-30  1.000490E-30  1.000157E-30  1.000933E-30  1.003375E-30  1.033186E-30  1.022008E-30  1.019436E-30
     70  1.500546342624E-03  1.000000E-30  1.000508E-30  1.000163E-30  1.000968E-30  1.003504E-30  1.034450E-30  1.022856E-30  1.020229E-30
     71  1.555442065896E-03  1.000000E-30  1.000527E-30  1.000169E-30  1.001003E-30  1.003634E-30  1.035723E-30  1.023710E-30  1.021032E-30
     72  1.610698967280E-03  1.000000E-30  1.000546E-30  1.000175E-30  1.001039E-30  1.003765E-30  1.037006E-30  1.024572E-30  1.021844E-30
     73  1.666314948699E-03  1.000000E-30  1.000565E-30  1.000181E-30  1.001075E-30  1.003897E-30  1.038297E-30  1.025440E-30  1.022666E-30
     74  1.722288445659E-03  1.000000E-30  1.000584E-30  1.000187E-30  1.001111E-30  1.004030E-30  1.039599E-30  1.026316E-30  1.023498E-30
     75  1.778618195039E-03  1.000000E-30  1.000603E-30  1.000193E-30  1.001148E-30  1.004164E-30  1.040909E-30  1.027198E-30  1.024340E-30
     76  1.835303663832E-03  1.000000E-30  1.000622E-30  1.000199E-30  1.001185E-30  1.004299E-30  1.042229E-30  1.028087E-30  1.025192E-30
     77  1.892344396716E-03  1.000000E-30  1.000642E-30  1.000205E-30  1.001221E-30  1.004435E-30  1.043557E-30  1.028983E-30  1.026054E-30
     78  1.949739812628E-03  1.000000E-30  1.000661E-30  1.000212E-30  1.001259E-30  1.004572E-30  1.044896E-30  1.029887E-30  1.026926E-30
     79  2.007489276907E-03  1.000000E-30  1.000681E-30  1.000218E-30  1.001296E-30  1.004710E-30  1.046243E-30  1.030797E-30  1.027808E-30
     80  2.065592139419E-03  1.000000E-30  1.000701E-30  1.000224E-30  1.001334E-30  1.004849E-30  1.047599E-30  1.031714E-30  1.028700E-30
