 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                k48           k49           k50           k51           k52           k53           k54           k55  
     41  4.138876583201E-04  1.001128E-30  1.004160E-30  1.005894E-30  1.011276E-30  1.025921E-30  1.085655E-30  1.000000E-30  1.000000E-30
     42  4.432651277490E-04  1.001208E-30  1.004456E-30  1.006325E-30  1.012087E-30  1.027758E-30  1.091704E-30  1.000000E-30  1.000000E-30
     43  4.720041568584E-04  1.001287E-30  1.004746E-30  1.006747E-30  1.012881E-30  1.029555E-30  1.097617E-30  1.000000E-30  1.000000E-30
     44  5.002792532552E-04  1.001364E-30  1.005031E-30  1.007165E-30  1.013664E-30  1.031322E-30  1.103431E-30  1.000000E-30  1.000000E-30
     45  5.282472522620E-04  1.001441E-30  1.005314E-30  1.007579E-30  1.014440E-30  1.033070E-30  1.109178E-30  1.000000E-30  1.000000E-30
     46  5.560479783168E-04  1.001517E-30  1.005594E-30  1.007993E-30  1.015212E-30  1.034808E-30  1.114887E-30  1.000000E-30  1.000000E-30
     47  5.838060709037E-04  1.001593E-30  1.005875E-30  1.008407E-30  1.015984E-30  1.036542E-30  1.120584E-30  1.000000E-30  1.000000E-30
     48  6.116334118686E-04  1.001669E-30  1.006156E-30  1.008824E-30  1.016759E-30  1.038280E-30  1.126291E-30  1.000000E-30  1.000000E-30
     49  6.396318340541E-04  1.001746E-30  1.006439E-30  1.009244E-30  1.017540E-30  1.040029E-30  1.132030E-30  1.000000E-30  1.000000E-30
     50  6.678959636874E-04  1.001824E-30  1.006725E-30  1.009671E-30  1.018330E-30  1.041794E-30  1.137819E-30  1.000000E-30  1.000000E-30
     51  6.965161747902E-04  1.001902E-30  1.007015E-30  1.010104E-30  1.019131E-30  1.043581E-30  1.143677E-30  1.000000E-30  1.000000E-30
     52  7.255817382538E-04  1.001982E-30  1.007309E-30  1.010545E-30  1.019946E-30  1.045395E-30  1.149623E-30  1.000000E-30  1.000000E-30
     53  7.551843574001E-04  1.002063E-30  1.007609E-30  1.010996E-30  1.020777E-30  1.047242E-30  1.155674E-30  1.000000E-30  1.000000E-30
     54  7.854224313090E-04  1.002146E-30  1.007916E-30  1.011459E-30  1.021628E-30  1.049129E-30  1.161851E-30  1.000000E-30  1.000000E-30
     55  8.164066374138E-04  1.002232E-30  1.008230E-30  1.011935E-30  1.022501E-30  1.051062E-30  1.168176E-30  1.000000E-30  1.000000E-30
     56  8.482679080764E-04  1.002319E-30  1.008553E-30  1.012426E-30  1.023400E-30  1.053049E-30  1.174675E-30  1.000000E-30  1.000000E-30
     57  8.811699017317E-04  1.002410E-30  1.008887E-30  1.012935E-30  1.024330E-30  1.055101E-30  1.181381E-30  1.000000E-30  1.000000E-30
     58  9.153304977871E-04  1.002504E-30  1.009234E-30  1.013465E-30  1.025298E-30  1.057230E-30  1.188339E-30  1.000000E-30  1.000000E-30
     59  9.510634923056E-04  1.002602E-30  1.009598E-30  1.014023E-30  1.026312E-30  1.059458E-30  1.195611E-30  1.000000E-30  1.000000E-30
     60  9.888739022907E-04  1.002707E-30  1.009982E-30  1.014615E-30  1.027387E-30  1.061814E-30  1.203299E-30  1.000000E-30  1.000000E-30
     61  1.029744313280E-03  1.002819E-30  1.010398E-30  1.015259E-30  1.028552E-30  1.064360E-30  1.211602E-30  1.000000E-30  1.000000E-30
     62  1.076805333108E-03  1.002949E-30  1.010877E-30  1.016003E-30  1.029896E-30  1.067291E-30  1.221153E-30  1.000000E-30  1.000000E-30
     63  1.127478238084E-03  1.003089E-30  1.011394E-30  1.016810E-30  1.031347E-30  1.070445E-30  1.231425E-30  1.000000E-30  1.000000E-30
     64  1.179263354774E-03  1.003232E-30  1.011922E-30  1.017639E-30  1.032834E-30  1.073668E-30  1.241910E-30  1.000000E-30  1.000000E-30
     65  1.231720185468E-03  1.003378E-30  1.012457E-30  1.018484E-30  1.034345E-30  1.076932E-30  1.252519E-30  1.000000E-30  1.000000E-30
     66  1.284679788904E-03  1.003524E-30  1.012999E-30  1.019342E-30  1.035874E-30  1.080226E-30  1.263216E-30  1.000000E-30  1.000000E-30
     67  1.338068714676E-03  1.003672E-30  1.013545E-30  1.020212E-30  1.037421E-30  1.083545E-30  1.273987E-30  1.000000E-30  1.000000E-30
     68  1.391852718980E-03  1.003822E-30  1.014095E-30  1.021094E-30  1.038983E-30  1.086888E-30  1.284823E-30  1.000000E-30  1.000000E-30
     69  1.446014888479E-03  1.003972E-30  1.014650E-30  1.021988E-30  1.040560E-30  1.090253E-30  1.295723E-30  1.000000E-30  1.000000E-30
     70  1.500546342624E-03  1.004123E-30  1.015209E-30  1.022893E-30  1.042153E-30  1.093640E-30  1.306683E-30  1.000000E-30  1.000000E-30
     71  1.555442065896E-03  1.004276E-30  1.015773E-30  1.023810E-30  1.043760E-30  1.097048E-30  1.317702E-30  1.000000E-30  1.000000E-30
     72  1.610698967280E-03  1.004430E-30  1.016341E-30  1.024738E-30  1.045383E-30  1.100477E-30  1.328780E-30  1.000000E-30  1.000000E-30
     73  1.666314948699E-03  1.004585E-30  1.016913E-30  1.025678E-30  1.047022E-30  1.103927E-30  1.339915E-30  1.000000E-30  1.000000E-30
     74  1.722288445659E-03  1.004741E-30  1.017489E-30  1.026630E-30  1.048675E-30  1.107399E-30  1.351108E-30  1.000000E-30  1.000000E-30
     75  1.778618195039E-03  1.004898E-30  1.018070E-30  1.027594E-30  1.050344E-30  1.110891E-30  1.362357E-30  1.000000E-30  1.000000E-30
     76  1.835303663832E-03  1.005057E-30  1.018655E-30  1.028570E-30  1.052028E-30  1.114404E-30  1.373662E-30  1.000000E-30  1.000000E-30
     77  1.892344396716E-03  1.005216E-30  1.019244E-30  1.029558E-30  1.053727E-30  1.117937E-30  1.385024E-30  1.000000E-30  1.000000E-30
     78  1.949739812628E-03  1.005377E-30  1.019837E-30  1.030557E-30  1.055442E-30  1.121491E-30  1.396440E-30  1.000000E-30  1.000000E-30
     79  2.007489276907E-03  1.005538E-30  1.020435E-30  1.031570E-30  1.057173E-30  1.125066E-30  1.407913E-30  1.000000E-30  1.000000E-30
     80  2.065592139419E-03  1.005701E-30  1.021037E-30  1.032594E-30  1.058919E-30  1.128661E-30  1.419439E-30  1.000000E-30  1.000000E-30
     81  2.124047755162E-03  1.005865E-30  1.021643E-30  1.033631E-30  1.060681E-30  1.132277E-30  1.431021E-30  1.000000E-30  1.000000E-30
     82  2.182855495215E-03  1.006031E-30  1.022254E-30  1.034681E-30  1.062459E-30  1.135913E-30  1.442656E-30  1.000000E-30  1.000000E-30
     83  2.242014752368E-03  1.006197E-30  1.022869E-30  1.035743E-30  1.064252E-30  1.139569E-30  1.454344E-30  1.000000E-30  1.000000E-30
     84  2.301524943777E-03  1.006364E-30  1.023488E-30  1.036818E-30  1.066061E-30  1.143245E-30  1.466086E-30  1.000000E-30  1.000000E-30
     85  2.361385511936E-03  1.006533E-30  1.024112E-30  1.037905E-30  1.067886E-30  1.146942E-30  1.477881E-30  1.000000E-30  1.000000E-30
     86  2.421595924701E-03  1.006703E-30  1.024740E-30  1.039006E-30  1.069728E-30  1.150659E-30  1.489729E-30  1.000000E-30  1.000000E-30
     87  2.482155674804E-03  1.006874E-30  1.025372E-30  1.040120E-30  1.071585E-30  1.154396E-30  1.501628E-30  1.000000E-30  1.000000E-30
     88  2.543064279071E-03  1.007046E-30  1.026009E-30  1.041246E-30  1.073458E-30  1.158153E-30  1.513579E-30  1.000000E-30  1.000000E-30
     89  2.604321277494E-03  1.007219E-30  1.026651E-30  1.042386E-30  1.075348E-30  1.161930E-30  1.525582E-30  1.000000E-30  1.000000E-30
     90  2.665926232237E-03  1.007393E-30  1.027296E-30  1.043539E-30  1.077254E-30  1.165727E-30  1.537636E-30  1.000000E-30  1.000000E-30
     91  2.727878734382E-03  1.007569E-30  1.027946E-30  1.044706E-30  1.079176E-30  1.169543E-30  1.549740E-30  1.000000E-30  1.000000E-30
     92  2.790178404165E-03  1.007746E-30  1.028601E-30  1.045886E-30  1.081115E-30  1.173380E-30  1.561895E-30  1.000000E-30  1.000000E-30
     93  2.852824875480E-03  1.007923E-30  1.029260E-30  1.047080E-30  1.083070E-30  1.177236E-30  1.574100E-30  1.000000E-30  1.000000E-30
     94  2.915817796872E-03  1.008102E-30  1.029924E-30  1.048288E-30  1.085041E-30  1.181112E-30  1.586354E-30  1.000000E-30  1.000000E-30
     95  2.979156831833E-03  1.008283E-30  1.030592E-30  1.049509E-30  1.087030E-30  1.185008E-30  1.598658E-30  1.000000E-30  1.000000E-30
