 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                cl45          cl46          cl47          cl48          cl49          cl50          cl51          ar30 
     41  4.138876583201E-04  1.003517E-30  5.109880E-30  1.047882E-30  1.012983E-30  1.046263E-30  1.000000E-30  1.000000E-30  1.000000E-30
     42  4.432651277490E-04  1.003768E-30  5.712886E-30  1.051276E-30  1.013901E-30  1.049529E-30  1.000000E-30  1.000000E-30  1.000000E-30
     43  4.720041568584E-04  1.004013E-30  6.342609E-30  1.054595E-30  1.014799E-30  1.052722E-30  1.000000E-30  1.000000E-30  1.000000E-30
     44  5.002792532552E-04  1.004255E-30  7.000586E-30  1.057860E-30  1.015681E-30  1.055861E-30  1.000000E-30  1.000000E-30  1.000000E-30
     45  5.282472522620E-04  1.004494E-30  7.688885E-30  1.061089E-30  1.016554E-30  1.058964E-30  1.000000E-30  1.000000E-30  1.000000E-30
     46  5.560479783168E-04  1.004732E-30  8.409981E-30  1.064298E-30  1.017421E-30  1.062046E-30  1.000000E-30  1.000000E-30  1.000000E-30
     47  5.838060709037E-04  1.004970E-30  9.166672E-30  1.067501E-30  1.018286E-30  1.065121E-30  1.000000E-30  1.000000E-30  1.000000E-30
     48  6.116334118686E-04  1.005208E-30  9.962044E-30  1.070712E-30  1.019153E-30  1.068202E-30  1.000000E-30  1.000000E-30  1.000000E-30
     49  6.396318340541E-04  1.005448E-30  1.079947E-29  1.073941E-30  1.020024E-30  1.071300E-30  1.000000E-30  1.000000E-30  1.000000E-30
     50  6.678959636874E-04  1.005691E-30  1.168263E-29  1.077201E-30  1.020904E-30  1.074425E-30  1.000000E-30  1.000000E-30  1.000000E-30
     51  6.965161747902E-04  1.005936E-30  1.261559E-29  1.080502E-30  1.021794E-30  1.077587E-30  1.000000E-30  1.000000E-30  1.000000E-30
     52  7.255817382538E-04  1.006186E-30  1.360287E-29  1.083852E-30  1.022698E-30  1.080797E-30  1.000000E-30  1.000000E-30  1.000000E-30
     53  7.551843574001E-04  1.006441E-30  1.464961E-29  1.087265E-30  1.023618E-30  1.084063E-30  1.000000E-30  1.000000E-30  1.000000E-30
     54  7.854224313090E-04  1.006701E-30  1.576173E-29  1.090749E-30  1.024557E-30  1.087397E-30  1.000000E-30  1.000000E-30  1.000000E-30
     55  8.164066374138E-04  1.006967E-30  1.694626E-29  1.094319E-30  1.025519E-30  1.090810E-30  1.000000E-30  1.000000E-30  1.000000E-30
     56  8.482679080764E-04  1.007241E-30  1.821176E-29  1.097990E-30  1.026507E-30  1.094318E-30  1.000000E-30  1.000000E-30  1.000000E-30
     57  8.811699017317E-04  1.007525E-30  1.956905E-29  1.101779E-30  1.027528E-30  1.097937E-30  1.000000E-30  1.000000E-30  1.000000E-30
     58  9.153304977871E-04  1.007819E-30  2.103248E-29  1.105712E-30  1.028586E-30  1.101692E-30  1.000000E-30  1.000000E-30  1.000000E-30
     59  9.510634923056E-04  1.008128E-30  2.262234E-29  1.109826E-30  1.029693E-30  1.105616E-30  1.000000E-30  1.000000E-30  1.000000E-30
     60  9.888739022907E-04  1.008454E-30  2.437035E-29  1.114177E-30  1.030863E-30  1.109764E-30  1.000000E-30  1.000000E-30  1.000000E-30
     61  1.029744313280E-03  1.008807E-30  2.633579E-29  1.118879E-30  1.032127E-30  1.114244E-30  1.000000E-30  1.000000E-30  1.000000E-30
     62  1.076805333108E-03  1.009214E-30  2.869660E-29  1.124292E-30  1.033581E-30  1.119397E-30  1.000000E-30  1.000000E-30  1.000000E-30
     63  1.127478238084E-03  1.009653E-30  3.135538E-29  1.130119E-30  1.035146E-30  1.124939E-30  1.000000E-30  1.000000E-30  1.000000E-30
     64  1.179263354774E-03  1.010102E-30  3.419749E-29  1.136071E-30  1.036744E-30  1.130596E-30  1.000000E-30  1.000000E-30  1.000000E-30
     65  1.231720185468E-03  1.010557E-30  3.720514E-29  1.142098E-30  1.038360E-30  1.136318E-30  1.000000E-30  1.000000E-30  1.000000E-30
     66  1.284679788904E-03  1.011017E-30  4.037288E-29  1.148181E-30  1.039991E-30  1.142088E-30  1.000000E-30  1.000000E-30  1.000000E-30
     67  1.338068714676E-03  1.011481E-30  4.369966E-29  1.154311E-30  1.041634E-30  1.147898E-30  1.000000E-30  1.000000E-30  1.000000E-30
     68  1.391852718980E-03  1.011949E-30  4.718634E-29  1.160484E-30  1.043287E-30  1.153742E-30  1.000000E-30  1.000000E-30  1.000000E-30
     69  1.446014888479E-03  1.012421E-30  5.083462E-29  1.166698E-30  1.044950E-30  1.159620E-30  1.000000E-30  1.000000E-30  1.000000E-30
     70  1.500546342624E-03  1.012897E-30  5.464661E-29  1.172952E-30  1.046622E-30  1.165531E-30  1.000000E-30  1.000000E-30  1.000000E-30
     71  1.555442065896E-03  1.013377E-30  5.862464E-29  1.179246E-30  1.048305E-30  1.171472E-30  1.000000E-30  1.000000E-30  1.000000E-30
