 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                tm191         tm192         tm193         tm194         tm195         tm196         tm197         tm198
     41  4.138876583201E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000006E-30  1.003742E-30  1.000000E-30  1.003919E-30  1.000000E-30
     42  4.432651277490E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000008E-30  1.004008E-30  1.000000E-30  1.004196E-30  1.000000E-30
     43  4.720041568584E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000010E-30  1.004268E-30  1.000000E-30  1.004468E-30  1.000000E-30
     44  5.002792532552E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000012E-30  1.004524E-30  1.000000E-30  1.004734E-30  1.000000E-30
     45  5.282472522620E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000014E-30  1.004778E-30  1.000000E-30  1.004998E-30  1.000000E-30
     46  5.560479783168E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000017E-30  1.005030E-30  1.000000E-30  1.005260E-30  1.000000E-30
     47  5.838060709037E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000020E-30  1.005281E-30  1.000000E-30  1.005521E-30  1.000000E-30
     48  6.116334118686E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000023E-30  1.005534E-30  1.000000E-30  1.005783E-30  1.000000E-30
     49  6.396318340541E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000026E-30  1.005788E-30  1.000000E-30  1.006047E-30  1.000000E-30
     50  6.678959636874E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000029E-30  1.006044E-30  1.000000E-30  1.006313E-30  1.000000E-30
     51  6.965161747902E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000033E-30  1.006304E-30  1.000000E-30  1.006582E-30  1.000000E-30
     52  7.255817382538E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000037E-30  1.006568E-30  1.000000E-30  1.006855E-30  1.000000E-30
     53  7.551843574001E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000041E-30  1.006836E-30  1.000000E-30  1.007133E-30  1.000000E-30
     54  7.854224313090E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000046E-30  1.007111E-30  1.000000E-30  1.007417E-30  1.000000E-30
     55  8.164066374138E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000051E-30  1.007392E-30  1.000000E-30  1.007708E-30  1.000000E-30
     56  8.482679080764E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000056E-30  1.007682E-30  1.000000E-30  1.008007E-30  1.000000E-30
     57  8.811699017317E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000062E-30  1.007981E-30  1.000000E-30  1.008316E-30  1.000000E-30
     58  9.153304977871E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000069E-30  1.008291E-30  1.000000E-30  1.008636E-30  1.000000E-30
     59  9.510634923056E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000076E-30  1.008616E-30  1.000000E-30  1.008971E-30  1.000000E-30
     60  9.888739022907E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000084E-30  1.008960E-30  1.000000E-30  1.009325E-30  1.000000E-30
     61  1.029744313280E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000092E-30  1.009332E-30  1.000000E-30  1.009708E-30  1.000000E-30
     62  1.076805333108E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000103E-30  1.009760E-30  1.000000E-30  1.010148E-30  1.000000E-30
     63  1.127478238084E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000116E-30  1.010221E-30  1.000000E-30  1.010621E-30  1.000000E-30
     64  1.179263354774E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000129E-30  1.010693E-30  1.000000E-30  1.011105E-30  1.000000E-30
