 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                sm182         sm183         sm184         sm185         sm186         sm187         sm188         eu136
     27  8.489118412102E-05  1.002911E-30  1.004541E-30  1.000843E-30  1.001245E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     28  9.570255892797E-05  1.003281E-30  1.005118E-30  1.000950E-30  1.001404E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     29  1.070853065563E-04  1.003670E-30  1.005725E-30  1.001062E-30  1.001570E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     30  1.190882425669E-04  1.004080E-30  1.006364E-30  1.001181E-30  1.001745E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     31  1.366291075688E-04  1.004679E-30  1.007298E-30  1.001354E-30  1.002001E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     32  1.695708820900E-04  1.005802E-30  1.009049E-30  1.001678E-30  1.002480E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     33  1.992873377730E-04  1.006813E-30  1.010625E-30  1.001970E-30  1.002912E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     34  2.264248739983E-04  1.007735E-30  1.012063E-30  1.002237E-30  1.003305E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     35  2.515933231106E-04  1.008589E-30  1.013394E-30  1.002483E-30  1.003670E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     36  2.753099894686E-04  1.009392E-30  1.014646E-30  1.002715E-30  1.004012E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     37  2.979926919870E-04  1.010160E-30  1.015842E-30  1.002936E-30  1.004339E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     38  3.199702121451E-04  1.010903E-30  1.016999E-30  1.003150E-30  1.004656E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     39  3.524429751724E-04  1.011999E-30  1.018707E-30  1.003465E-30  1.005122E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     40  3.836809895565E-04  1.013051E-30  1.020346E-30  1.003768E-30  1.005570E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     41  4.138876583201E-04  1.014067E-30  1.021929E-30  1.004061E-30  1.006002E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     42  4.432651277490E-04  1.015054E-30  1.023465E-30  1.004344E-30  1.006422E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     43  4.720041568584E-04  1.016017E-30  1.024965E-30  1.004621E-30  1.006831E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     44  5.002792532552E-04  1.016964E-30  1.026439E-30  1.004893E-30  1.007233E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     45  5.282472522620E-04  1.017898E-30  1.027894E-30  1.005161E-30  1.007630E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     46  5.560479783168E-04  1.018826E-30  1.029338E-30  1.005427E-30  1.008024E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     47  5.838060709037E-04  1.019751E-30  1.030777E-30  1.005692E-30  1.008416E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     48  6.116334118686E-04  1.020677E-30  1.032218E-30  1.005958E-30  1.008808E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     49  6.396318340541E-04  1.021607E-30  1.033665E-30  1.006224E-30  1.009203E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     50  6.678959636874E-04  1.022545E-30  1.035124E-30  1.006492E-30  1.009600E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     51  6.965161747902E-04  1.023493E-30  1.036598E-30  1.006764E-30  1.010001E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     52  7.255817382538E-04  1.024454E-30  1.038093E-30  1.007038E-30  1.010408E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     53  7.551843574001E-04  1.025431E-30  1.039613E-30  1.007318E-30  1.010821E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     54  7.854224313090E-04  1.026428E-30  1.041162E-30  1.007602E-30  1.011242E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     55  8.164066374138E-04  1.027447E-30  1.042747E-30  1.007894E-30  1.011673E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     56  8.482679080764E-04  1.028494E-30  1.044374E-30  1.008192E-30  1.012115E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     57  8.811699017317E-04  1.029573E-30  1.046051E-30  1.008500E-30  1.012571E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     58  9.153304977871E-04  1.030691E-30  1.047789E-30  1.008818E-30  1.013043E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     59  9.510634923056E-04  1.031858E-30  1.049602E-30  1.009151E-30  1.013535E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     60  9.888739022907E-04  1.033091E-30  1.051517E-30  1.009502E-30  1.014054E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     61  1.029744313280E-03  1.034421E-30  1.053583E-30  1.009880E-30  1.014614E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     62  1.076805333108E-03  1.035948E-30  1.055954E-30  1.010314E-30  1.015257E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     63  1.127478238084E-03  1.037588E-30  1.058501E-30  1.010779E-30  1.015947E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     64  1.179263354774E-03  1.039260E-30  1.061096E-30  1.011254E-30  1.016649E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     65  1.231720185468E-03  1.040948E-30  1.063716E-30  1.011732E-30  1.017358E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     66  1.284679788904E-03  1.042648E-30  1.066353E-30  1.012213E-30  1.018071E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     67  1.338068714676E-03  1.044357E-30  1.069003E-30  1.012696E-30  1.018787E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     68  1.391852718980E-03  1.046073E-30  1.071664E-30  1.013181E-30  1.019505E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     69  1.446014888479E-03  1.047796E-30  1.074336E-30  1.013668E-30  1.020226E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     70  1.500546342624E-03  1.049526E-30  1.077017E-30  1.014155E-30  1.020949E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     71  1.555442065896E-03  1.051262E-30  1.079708E-30  1.014644E-30  1.021674E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     72  1.610698967280E-03  1.053005E-30  1.082407E-30  1.015135E-30  1.022401E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     73  1.666314948699E-03  1.054753E-30  1.085115E-30  1.015626E-30  1.023130E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     74  1.722288445659E-03  1.056508E-30  1.087831E-30  1.016119E-30  1.023861E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     75  1.778618195039E-03  1.058268E-30  1.090556E-30  1.016612E-30  1.024593E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     76  1.835303663832E-03  1.060034E-30  1.093288E-30  1.017107E-30  1.025327E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     77  1.892344396716E-03  1.061805E-30  1.096029E-30  1.017603E-30  1.026063E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     78  1.949739812628E-03  1.063582E-30  1.098778E-30  1.018100E-30  1.026800E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     79  2.007489276907E-03  1.065364E-30  1.101533E-30  1.018598E-30  1.027539E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     80  2.065592139419E-03  1.067151E-30  1.104297E-30  1.019096E-30  1.028279E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     81  2.124047755162E-03  1.068944E-30  1.107067E-30  1.019596E-30  1.029021E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     82  2.182855495215E-03  1.070742E-30  1.109845E-30  1.020096E-30  1.029764E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     83  2.242014752368E-03  1.072544E-30  1.112630E-30  1.020598E-30  1.030508E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     84  2.301524943777E-03  1.074352E-30  1.115421E-30  1.021100E-30  1.031254E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     85  2.361385511936E-03  1.076164E-30  1.118219E-30  1.021603E-30  1.032001E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     86  2.421595924701E-03  1.077981E-30  1.121023E-30  1.022106E-30  1.032749E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     87  2.482155674804E-03  1.079802E-30  1.123834E-30  1.022610E-30  1.033498E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     88  2.543064279071E-03  1.081628E-30  1.126650E-30  1.023115E-30  1.034249E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     89  2.604321277494E-03  1.083458E-30  1.129473E-30  1.023621E-30  1.035000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     90  2.665926232237E-03  1.085293E-30  1.132301E-30  1.024127E-30  1.035752E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     91  2.727878734382E-03  1.087131E-30  1.135135E-30  1.024634E-30  1.036506E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     92  2.790178404165E-03  1.088974E-30  1.137974E-30  1.025141E-30  1.037260E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     93  2.852824875480E-03  1.090821E-30  1.140819E-30  1.025649E-30  1.038015E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     94  2.915817796872E-03  1.092671E-30  1.143669E-30  1.026157E-30  1.038771E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     95  2.979156831833E-03  1.094525E-30  1.146524E-30  1.026666E-30  1.039527E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
