 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                n14           n15           n16           n17           n18           n19           n20           n21  
     27  8.489118412102E-05  3.436916E-29  5.141649E-30  1.000071E-30  1.000291E-30  1.000545E-30  1.000000E-30  1.000000E-30  1.000000E-30
     28  9.570255892797E-05  3.861647E-29  5.669111E-30  1.000079E-30  1.000328E-30  1.000615E-30  1.000000E-30  1.000000E-30  1.000000E-30
     29  1.070853065563E-04  4.308765E-29  6.224450E-30  1.000089E-30  1.000367E-30  1.000688E-30  1.000000E-30  1.000000E-30  1.000000E-30
     30  1.190882425669E-04  4.780178E-29  6.810046E-30  1.000099E-30  1.000408E-30  1.000765E-30  1.000000E-30  1.000000E-30  1.000000E-30
     31  1.366291075688E-04  5.468970E-29  7.665825E-30  1.000113E-30  1.000468E-30  1.000878E-30  1.000000E-30  1.000000E-30  1.000000E-30
     32  1.695708820900E-04  6.762129E-29  9.272980E-30  1.000141E-30  1.000581E-30  1.001089E-30  1.000000E-30  1.000000E-30  1.000000E-30
     33  1.992873377730E-04  7.928237E-29  1.072278E-29  1.000166E-30  1.000683E-30  1.001280E-30  1.000000E-30  1.000000E-30  1.000000E-30
     34  2.264248739983E-04  8.992782E-29  1.204676E-29  1.000188E-30  1.000776E-30  1.001454E-30  1.000000E-30  1.000000E-30  1.000000E-30
     35  2.515933231106E-04  9.979773E-29  1.327467E-29  1.000209E-30  1.000862E-30  1.001616E-30  1.000000E-30  1.000000E-30  1.000000E-30
     36  2.753099894686E-04  1.090956E-28  1.443175E-29  1.000229E-30  1.000943E-30  1.001768E-30  1.000000E-30  1.000000E-30  1.000000E-30
     37  2.979926919870E-04  1.179856E-28  1.553839E-29  1.000248E-30  1.001021E-30  1.001914E-30  1.000000E-30  1.000000E-30  1.000000E-30
     38  3.199702121451E-04  1.265970E-28  1.661062E-29  1.000266E-30  1.001096E-30  1.002055E-30  1.000000E-30  1.000000E-30  1.000000E-30
     39  3.524429751724E-04  1.393164E-28  1.819490E-29  1.000293E-30  1.001207E-30  1.002263E-30  1.000000E-30  1.000000E-30  1.000000E-30
     40  3.836809895565E-04  1.515476E-28  1.971893E-29  1.000319E-30  1.001314E-30  1.002464E-30  1.000000E-30  1.000000E-30  1.000000E-30
     41  4.138876583201E-04  1.633705E-28  2.119264E-29  1.000344E-30  1.001418E-30  1.002658E-30  1.000000E-30  1.000000E-30  1.000000E-30
     42  4.432651277490E-04  1.748648E-28  2.262590E-29  1.000368E-30  1.001518E-30  1.002847E-30  1.000000E-30  1.000000E-30  1.000000E-30
     43  4.720041568584E-04  1.861054E-28  2.402802E-29  1.000392E-30  1.001617E-30  1.003031E-30  1.000000E-30  1.000000E-30  1.000000E-30
     44  5.002792532552E-04  1.971607E-28  2.540749E-29  1.000416E-30  1.001714E-30  1.003213E-30  1.000000E-30  1.000000E-30  1.000000E-30
     45  5.282472522620E-04  2.080922E-28  2.677199E-29  1.000439E-30  1.001809E-30  1.003392E-30  1.000000E-30  1.000000E-30  1.000000E-30
     46  5.560479783168E-04  2.189548E-28  2.812832E-29  1.000462E-30  1.001905E-30  1.003571E-30  1.000000E-30  1.000000E-30  1.000000E-30
     47  5.838060709037E-04  2.297970E-28  2.948258E-29  1.000485E-30  1.002000E-30  1.003749E-30  1.000000E-30  1.000000E-30  1.000000E-30
     48  6.116334118686E-04  2.406627E-28  3.084021E-29  1.000508E-30  1.002095E-30  1.003927E-30  1.000000E-30  1.000000E-30  1.000000E-30
     49  6.396318340541E-04  2.515915E-28  3.220619E-29  1.000531E-30  1.002191E-30  1.004107E-30  1.000000E-30  1.000000E-30  1.000000E-30
     50  6.678959636874E-04  2.626203E-28  3.358513E-29  1.000555E-30  1.002288E-30  1.004289E-30  1.000000E-30  1.000000E-30  1.000000E-30
     51  6.965161747902E-04  2.737843E-28  3.498145E-29  1.000579E-30  1.002386E-30  1.004472E-30  1.000000E-30  1.000000E-30  1.000000E-30
     52  7.255817382538E-04  2.851180E-28  3.639949E-29  1.000603E-30  1.002485E-30  1.004659E-30  1.000000E-30  1.000000E-30  1.000000E-30
     53  7.551843574001E-04  2.966570E-28  3.784374E-29  1.000627E-30  1.002587E-30  1.004849E-30  1.000000E-30  1.000000E-30  1.000000E-30
     54  7.854224313090E-04  3.084396E-28  3.931898E-29  1.000652E-30  1.002690E-30  1.005043E-30  1.000000E-30  1.000000E-30  1.000000E-30
     55  8.164066374138E-04  3.205084E-28  4.083063E-29  1.000678E-30  1.002796E-30  1.005242E-30  1.000000E-30  1.000000E-30  1.000000E-30
     56  8.482679080764E-04  3.329142E-28  4.238507E-29  1.000705E-30  1.002905E-30  1.005446E-30  1.000000E-30  1.000000E-30  1.000000E-30
     57  8.811699017317E-04  3.457202E-28  4.399029E-29  1.000732E-30  1.003018E-30  1.005657E-30  1.000000E-30  1.000000E-30  1.000000E-30
     58  9.153304977871E-04  3.590107E-28  4.565690E-29  1.000760E-30  1.003135E-30  1.005877E-30  1.000000E-30  1.000000E-30  1.000000E-30
     59  9.510634923056E-04  3.729072E-28  4.740024E-29  1.000790E-30  1.003257E-30  1.006106E-30  1.000000E-30  1.000000E-30  1.000000E-30
     60  9.888739022907E-04  3.876050E-28  4.924492E-29  1.000821E-30  1.003387E-30  1.006348E-30  1.000000E-30  1.000000E-30  1.000000E-30
     61  1.029744313280E-03  4.034849E-28  5.123890E-29  1.000855E-30  1.003527E-30  1.006611E-30  1.000000E-30  1.000000E-30  1.000000E-30
     62  1.076805333108E-03  4.217604E-28  5.353490E-29  1.000894E-30  1.003688E-30  1.006913E-30  1.000000E-30  1.000000E-30  1.000000E-30
     63  1.127478238084E-03  4.414269E-28  5.600711E-29  1.000937E-30  1.003862E-30  1.007238E-30  1.000000E-30  1.000000E-30  1.000000E-30
     64  1.179263354774E-03  4.615128E-28  5.853359E-29  1.000980E-30  1.004039E-30  1.007570E-30  1.000000E-30  1.000000E-30  1.000000E-30
     65  1.231720185468E-03  4.818464E-28  6.109284E-29  1.001023E-30  1.004219E-30  1.007906E-30  1.000000E-30  1.000000E-30  1.000000E-30
     66  1.284679788904E-03  5.023620E-28  6.367662E-29  1.001067E-30  1.004400E-30  1.008246E-30  1.000000E-30  1.000000E-30  1.000000E-30
     67  1.338068714676E-03  5.230306E-28  6.628135E-29  1.001111E-30  1.004583E-30  1.008589E-30  1.000000E-30  1.000000E-30  1.000000E-30
     68  1.391852718980E-03  5.438388E-28  6.890535E-29  1.001156E-30  1.004767E-30  1.008934E-30  1.000000E-30  1.000000E-30  1.000000E-30
     69  1.446014888479E-03  5.647798E-28  7.154780E-29  1.001201E-30  1.004952E-30  1.009281E-30  1.000000E-30  1.000000E-30  1.000000E-30
     70  1.500546342624E-03  5.858497E-28  7.420826E-29  1.001246E-30  1.005139E-30  1.009631E-30  1.000000E-30  1.000000E-30  1.000000E-30
     71  1.555442065896E-03  6.070464E-28  7.688650E-29  1.001292E-30  1.005327E-30  1.009983E-30  1.000000E-30  1.000000E-30  1.000000E-30
     72  1.610698967280E-03  6.283685E-28  7.958236E-29  1.001338E-30  1.005516E-30  1.010337E-30  1.000000E-30  1.000000E-30  1.000000E-30
     73  1.666314948699E-03  6.498149E-28  8.229574E-29  1.001384E-30  1.005707E-30  1.010693E-30  1.000000E-30  1.000000E-30  1.000000E-30
     74  1.722288445659E-03  6.713846E-28  8.502656E-29  1.001431E-30  1.005899E-30  1.011052E-30  1.000000E-30  1.000000E-30  1.000000E-30
     75  1.778618195039E-03  6.930770E-28  8.777476E-29  1.001477E-30  1.006091E-30  1.011413E-30  1.000000E-30  1.000000E-30  1.000000E-30
     76  1.835303663832E-03  7.148916E-28  9.054031E-29  1.001524E-30  1.006286E-30  1.011777E-30  1.000000E-30  1.000000E-30  1.000000E-30
     77  1.892344396716E-03  7.368279E-28  9.332320E-29  1.001572E-30  1.006481E-30  1.012143E-30  1.000000E-30  1.000000E-30  1.000000E-30
     78  1.949739812628E-03  7.588854E-28  9.612340E-29  1.001619E-30  1.006677E-30  1.012510E-30  1.000000E-30  1.000000E-30  1.000000E-30
     79  2.007489276907E-03  7.810636E-28  9.894086E-29  1.001667E-30  1.006875E-30  1.012881E-30  1.000000E-30  1.000000E-30  1.000000E-30
     80  2.065592139419E-03  8.033621E-28  1.017756E-28  1.001716E-30  1.007074E-30  1.013253E-30  1.000000E-30  1.000000E-30  1.000000E-30
     81  2.124047755162E-03  8.257802E-28  1.046275E-28  1.001764E-30  1.007274E-30  1.013628E-30  1.000000E-30  1.000000E-30  1.000000E-30
     82  2.182855495215E-03  8.483175E-28  1.074966E-28  1.001813E-30  1.007476E-30  1.014004E-30  1.000000E-30  1.000000E-30  1.000000E-30
     83  2.242014752368E-03  8.709734E-28  1.103828E-28  1.001862E-30  1.007678E-30  1.014383E-30  1.000000E-30  1.000000E-30  1.000000E-30
     84  2.301524943777E-03  8.937474E-28  1.132862E-28  1.001912E-30  1.007882E-30  1.014765E-30  1.000000E-30  1.000000E-30  1.000000E-30
     85  2.361385511936E-03  9.166392E-28  1.162067E-28  1.001961E-30  1.008087E-30  1.015148E-30  1.000000E-30  1.000000E-30  1.000000E-30
     86  2.421595924701E-03  9.396481E-28  1.191442E-28  1.002011E-30  1.008293E-30  1.015534E-30  1.000000E-30  1.000000E-30  1.000000E-30
     87  2.482155674804E-03  9.627737E-28  1.220988E-28  1.002062E-30  1.008500E-30  1.015922E-30  1.000000E-30  1.000000E-30  1.000000E-30
     88  2.543064279071E-03  9.860156E-28  1.250704E-28  1.002112E-30  1.008709E-30  1.016312E-30  1.000000E-30  1.000000E-30  1.000000E-30
     89  2.604321277494E-03  1.009373E-27  1.280589E-28  1.002163E-30  1.008919E-30  1.016704E-30  1.000000E-30  1.000000E-30  1.000000E-30
     90  2.665926232237E-03  1.032846E-27  1.310645E-28  1.002214E-30  1.009130E-30  1.017099E-30  1.000000E-30  1.000000E-30  1.000000E-30
     91  2.727878734382E-03  1.056434E-27  1.340870E-28  1.002266E-30  1.009342E-30  1.017496E-30  1.000000E-30  1.000000E-30  1.000000E-30
     92  2.790178404165E-03  1.080137E-27  1.371265E-28  1.002317E-30  1.009555E-30  1.017895E-30  1.000000E-30  1.000000E-30  1.000000E-30
     93  2.852824875480E-03  1.103953E-27  1.401829E-28  1.002369E-30  1.009770E-30  1.018296E-30  1.000000E-30  1.000000E-30  1.000000E-30
     94  2.915817796872E-03  1.127883E-27  1.432562E-28  1.002422E-30  1.009985E-30  1.018699E-30  1.000000E-30  1.000000E-30  1.000000E-30
     95  2.979156831833E-03  1.151926E-27  1.463463E-28  1.002474E-30  1.010202E-30  1.019105E-30  1.000000E-30  1.000000E-30  1.000000E-30
