 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                fe68          fe69          fe70          fe71          fe72          fe73          fe74          fe75 
     27  8.489118412102E-05  1.001787E-30  1.003662E-30  1.004866E-30  1.005795E-30  1.007377E-30  1.006740E-30  1.008297E-30  1.009548E-30
     28  9.570255892797E-05  1.002014E-30  1.004128E-30  1.005485E-30  1.006533E-30  1.008316E-30  1.007598E-30  1.009354E-30  1.010764E-30
     29  1.070853065563E-04  1.002254E-30  1.004619E-30  1.006137E-30  1.007310E-30  1.009305E-30  1.008501E-30  1.010465E-30  1.012044E-30
     30  1.190882425669E-04  1.002507E-30  1.005137E-30  1.006825E-30  1.008129E-30  1.010348E-30  1.009453E-30  1.011637E-30  1.013394E-30
     31  1.366291075688E-04  1.002876E-30  1.005893E-30  1.007830E-30  1.009326E-30  1.011871E-30  1.010844E-30  1.013350E-30  1.015366E-30
     32  1.695708820900E-04  1.003569E-30  1.007313E-30  1.009716E-30  1.011574E-30  1.014731E-30  1.013455E-30  1.016565E-30  1.019069E-30
     33  1.992873377730E-04  1.004194E-30  1.008594E-30  1.011418E-30  1.013601E-30  1.017311E-30  1.015810E-30  1.019464E-30  1.022409E-30
     34  2.264248739983E-04  1.004766E-30  1.009764E-30  1.012971E-30  1.015451E-30  1.019666E-30  1.017960E-30  1.022110E-30  1.025459E-30
     35  2.515933231106E-04  1.005295E-30  1.010848E-30  1.014412E-30  1.017168E-30  1.021850E-30  1.019952E-30  1.024564E-30  1.028287E-30
     36  2.753099894686E-04  1.005794E-30  1.011870E-30  1.015769E-30  1.018785E-30  1.023907E-30  1.021830E-30  1.026875E-30  1.030952E-30
     37  2.979926919870E-04  1.006272E-30  1.012847E-30  1.017067E-30  1.020331E-30  1.025874E-30  1.023625E-30  1.029085E-30  1.033500E-30
     38  3.199702121451E-04  1.006734E-30  1.013793E-30  1.018324E-30  1.021829E-30  1.027780E-30  1.025363E-30  1.031225E-30  1.035968E-30
     39  3.524429751724E-04  1.007418E-30  1.015191E-30  1.020181E-30  1.024042E-30  1.030596E-30  1.027931E-30  1.034387E-30  1.039615E-30
     40  3.836809895565E-04  1.008075E-30  1.016536E-30  1.021967E-30  1.026170E-30  1.033304E-30  1.030401E-30  1.037427E-30  1.043123E-30
     41  4.138876583201E-04  1.008711E-30  1.017836E-30  1.023694E-30  1.028228E-30  1.035921E-30  1.032787E-30  1.040365E-30  1.046515E-30
     42  4.432651277490E-04  1.009329E-30  1.019101E-30  1.025373E-30  1.030229E-30  1.038466E-30  1.035108E-30  1.043222E-30  1.049812E-30
     43  4.720041568584E-04  1.009934E-30  1.020337E-30  1.027015E-30  1.032186E-30  1.040956E-30  1.037377E-30  1.046015E-30  1.053038E-30
     44  5.002792532552E-04  1.010529E-30  1.021553E-30  1.028631E-30  1.034112E-30  1.043404E-30  1.039608E-30  1.048763E-30  1.056211E-30
     45  5.282472522620E-04  1.011118E-30  1.022756E-30  1.030228E-30  1.036016E-30  1.045826E-30  1.041814E-30  1.051479E-30  1.059349E-30
     46  5.560479783168E-04  1.011703E-30  1.023952E-30  1.031816E-30  1.037908E-30  1.048233E-30  1.044007E-30  1.054178E-30  1.062468E-30
     47  5.838060709037E-04  1.012288E-30  1.025145E-30  1.033400E-30  1.039797E-30  1.050635E-30  1.046195E-30  1.056872E-30  1.065582E-30
     48  6.116334118686E-04  1.012873E-30  1.026342E-30  1.034989E-30  1.041691E-30  1.053043E-30  1.048388E-30  1.059572E-30  1.068702E-30
     49  6.396318340541E-04  1.013463E-30  1.027545E-30  1.036587E-30  1.043596E-30  1.055465E-30  1.050593E-30  1.062287E-30  1.071842E-30
     50  6.678959636874E-04  1.014058E-30  1.028760E-30  1.038200E-30  1.045518E-30  1.057909E-30  1.052819E-30  1.065027E-30  1.075011E-30
     51  6.965161747902E-04  1.014660E-30  1.029989E-30  1.039832E-30  1.047465E-30  1.060384E-30  1.055072E-30  1.067801E-30  1.078219E-30
     52  7.255817382538E-04  1.015272E-30  1.031238E-30  1.041490E-30  1.049441E-30  1.062896E-30  1.057359E-30  1.070616E-30  1.081477E-30
     53  7.551843574001E-04  1.015896E-30  1.032509E-30  1.043178E-30  1.051454E-30  1.065455E-30  1.059687E-30  1.073483E-30  1.084794E-30
     54  7.854224313090E-04  1.016532E-30  1.033808E-30  1.044902E-30  1.053509E-30  1.068068E-30  1.062064E-30  1.076410E-30  1.088182E-30
     55  8.164066374138E-04  1.017185E-30  1.035138E-30  1.046668E-30  1.055615E-30  1.070744E-30  1.064499E-30  1.079407E-30  1.091653E-30
     56  8.482679080764E-04  1.017856E-30  1.036505E-30  1.048483E-30  1.057780E-30  1.073496E-30  1.067002E-30  1.082489E-30  1.095222E-30
     57  8.811699017317E-04  1.018549E-30  1.037917E-30  1.050358E-30  1.060015E-30  1.076337E-30  1.069585E-30  1.085669E-30  1.098906E-30
     58  9.153304977871E-04  1.019268E-30  1.039383E-30  1.052304E-30  1.062336E-30  1.079286E-30  1.072266E-30  1.088970E-30  1.102731E-30
     59  9.510634923056E-04  1.020021E-30  1.040916E-30  1.054338E-30  1.064762E-30  1.082370E-30  1.075069E-30  1.092421E-30  1.106731E-30
     60  9.888739022907E-04  1.020818E-30  1.042537E-30  1.056491E-30  1.067330E-30  1.085632E-30  1.078034E-30  1.096071E-30  1.110962E-30
     61  1.029744313280E-03  1.021679E-30  1.044290E-30  1.058817E-30  1.070104E-30  1.089156E-30  1.081237E-30  1.100015E-30  1.115535E-30
     62  1.076805333108E-03  1.022671E-30  1.046307E-30  1.061494E-30  1.073298E-30  1.093214E-30  1.084922E-30  1.104552E-30  1.120799E-30
     63  1.127478238084E-03  1.023739E-30  1.048478E-30  1.064376E-30  1.076735E-30  1.097581E-30  1.088889E-30  1.109435E-30  1.126466E-30
     64  1.179263354774E-03  1.024830E-30  1.050696E-30  1.067320E-30  1.080248E-30  1.102042E-30  1.092939E-30  1.114422E-30  1.132255E-30
     65  1.231720185468E-03  1.025936E-30  1.052943E-30  1.070301E-30  1.083804E-30  1.106560E-30  1.097039E-30  1.119470E-30  1.138117E-30
     66  1.284679788904E-03  1.027053E-30  1.055210E-30  1.073309E-30  1.087394E-30  1.111118E-30  1.101175E-30  1.124563E-30  1.144034E-30
     67  1.338068714676E-03  1.028179E-30  1.057495E-30  1.076341E-30  1.091012E-30  1.115712E-30  1.105342E-30  1.129693E-30  1.149996E-30
     68  1.391852718980E-03  1.029314E-30  1.059795E-30  1.079394E-30  1.094655E-30  1.120338E-30  1.109537E-30  1.134857E-30  1.156001E-30
     69  1.446014888479E-03  1.030457E-30  1.062112E-30  1.082467E-30  1.098323E-30  1.124994E-30  1.113758E-30  1.140054E-30  1.162046E-30
     70  1.500546342624E-03  1.031608E-30  1.064443E-30  1.085559E-30  1.102014E-30  1.129680E-30  1.118004E-30  1.145283E-30  1.168130E-30
     71  1.555442065896E-03  1.032767E-30  1.066789E-30  1.088672E-30  1.105729E-30  1.134396E-30  1.122276E-30  1.150543E-30  1.174252E-30
     72  1.610698967280E-03  1.033935E-30  1.069149E-30  1.091803E-30  1.109467E-30  1.139140E-30  1.126573E-30  1.155833E-30  1.180413E-30
     73  1.666314948699E-03  1.035110E-30  1.071524E-30  1.094953E-30  1.113229E-30  1.143913E-30  1.130895E-30  1.161154E-30  1.186611E-30
     74  1.722288445659E-03  1.036292E-30  1.073914E-30  1.098123E-30  1.117013E-30  1.148715E-30  1.135241E-30  1.166505E-30  1.192847E-30
     75  1.778618195039E-03  1.037483E-30  1.076317E-30  1.101311E-30  1.120820E-30  1.153545E-30  1.139611E-30  1.171886E-30  1.199121E-30
     76  1.835303663832E-03  1.038682E-30  1.078735E-30  1.104518E-30  1.124651E-30  1.158404E-30  1.144006E-30  1.177297E-30  1.205431E-30
     77  1.892344396716E-03  1.039889E-30  1.081168E-30  1.107744E-30  1.128505E-30  1.163290E-30  1.148425E-30  1.182738E-30  1.211779E-30
     78  1.949739812628E-03  1.041103E-30  1.083615E-30  1.110988E-30  1.132382E-30  1.168205E-30  1.152868E-30  1.188208E-30  1.218164E-30
     79  2.007489276907E-03  1.042326E-30  1.086075E-30  1.114251E-30  1.136283E-30  1.173148E-30  1.157334E-30  1.193708E-30  1.224585E-30
     80  2.065592139419E-03  1.043556E-30  1.088550E-30  1.117533E-30  1.140207E-30  1.178119E-30  1.161825E-30  1.199237E-30  1.231044E-30
     81  2.124047755162E-03  1.044795E-30  1.091039E-30  1.120833E-30  1.144155E-30  1.183118E-30  1.166339E-30  1.204795E-30  1.237539E-30
     82  2.182855495215E-03  1.046041E-30  1.093542E-30  1.124152E-30  1.148126E-30  1.188145E-30  1.170877E-30  1.210383E-30  1.244070E-30
     83  2.242014752368E-03  1.047296E-30  1.096060E-30  1.127489E-30  1.152122E-30  1.193200E-30  1.175439E-30  1.215999E-30  1.250638E-30
     84  2.301524943777E-03  1.048558E-30  1.098591E-30  1.130844E-30  1.156140E-30  1.198282E-30  1.180024E-30  1.221645E-30  1.257242E-30
     85  2.361385511936E-03  1.049829E-30  1.101136E-30  1.134218E-30  1.160183E-30  1.203391E-30  1.184632E-30  1.227318E-30  1.263882E-30
     86  2.421595924701E-03  1.051108E-30  1.103695E-30  1.137609E-30  1.164250E-30  1.208528E-30  1.189263E-30  1.233021E-30  1.270558E-30
     87  2.482155674804E-03  1.052394E-30  1.106268E-30  1.141019E-30  1.168341E-30  1.213693E-30  1.193917E-30  1.238752E-30  1.277270E-30
     88  2.543064279071E-03  1.053689E-30  1.108854E-30  1.144448E-30  1.172456E-30  1.218885E-30  1.198595E-30  1.244511E-30  1.284017E-30
     89  2.604321277494E-03  1.054992E-30  1.111455E-30  1.147894E-30  1.176595E-30  1.224103E-30  1.203295E-30  1.250299E-30  1.290800E-30
     90  2.665926232237E-03  1.056303E-30  1.114069E-30  1.151358E-30  1.180759E-30  1.229350E-30  1.208018E-30  1.256114E-30  1.297619E-30
     91  2.727878734382E-03  1.057622E-30  1.116697E-30  1.154840E-30  1.184948E-30  1.234623E-30  1.212764E-30  1.261958E-30  1.304473E-30
     92  2.790178404165E-03  1.058949E-30  1.119338E-30  1.158340E-30  1.189161E-30  1.239923E-30  1.217532E-30  1.267829E-30  1.311362E-30
     93  2.852824875480E-03  1.060284E-30  1.121993E-30  1.161858E-30  1.193399E-30  1.245250E-30  1.222323E-30  1.273728E-30  1.318286E-30
     94  2.915817796872E-03  1.061628E-30  1.124662E-30  1.165393E-30  1.197662E-30  1.250603E-30  1.227136E-30  1.279655E-30  1.325245E-30
     95  2.979156831833E-03  1.062980E-30  1.127345E-30  1.168947E-30  1.201951E-30  1.255984E-30  1.231972E-30  1.285609E-30  1.332240E-30
