 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                ag116         ag117         ag118         ag119         ag120         ag121         ag122         ag123
     41  4.138876583201E-04  1.000023E-30  1.000063E-30  1.000075E-30  1.000176E-30  1.000341E-30  1.000000E-30  1.912579E-27  1.000000E-30
     42  4.432651277490E-04  1.000024E-30  1.000067E-30  1.000080E-30  1.000188E-30  1.000366E-30  1.000000E-30  2.048217E-27  1.000000E-30
     43  4.720041568584E-04  1.000026E-30  1.000072E-30  1.000085E-30  1.000200E-30  1.000389E-30  1.000000E-30  2.180906E-27  1.000000E-30
     44  5.002792532552E-04  1.000027E-30  1.000076E-30  1.000091E-30  1.000212E-30  1.000413E-30  1.000000E-30  2.311450E-27  1.000000E-30
     45  5.282472522620E-04  1.000029E-30  1.000080E-30  1.000096E-30  1.000224E-30  1.000436E-30  1.000000E-30  2.440573E-27  1.000000E-30
     46  5.560479783168E-04  1.000030E-30  1.000084E-30  1.000101E-30  1.000236E-30  1.000459E-30  1.000000E-30  2.568920E-27  1.000000E-30
     47  5.838060709037E-04  1.000032E-30  1.000089E-30  1.000106E-30  1.000248E-30  1.000482E-30  1.000000E-30  2.697066E-27  1.000000E-30
     48  6.116334118686E-04  1.000033E-30  1.000093E-30  1.000111E-30  1.000260E-30  1.000505E-30  1.000000E-30  2.825526E-27  1.000000E-30
     49  6.396318340541E-04  1.000035E-30  1.000097E-30  1.000116E-30  1.000272E-30  1.000528E-30  1.000000E-30  2.954770E-27  1.000000E-30
     50  6.678959636874E-04  1.000036E-30  1.000101E-30  1.000121E-30  1.000284E-30  1.000551E-30  1.000000E-30  3.085235E-27  1.000000E-30
     51  6.965161747902E-04  1.000038E-30  1.000106E-30  1.000126E-30  1.000296E-30  1.000575E-30  1.000000E-30  3.217336E-27  1.000000E-30
     52  7.255817382538E-04  1.000040E-30  1.000110E-30  1.000131E-30  1.000308E-30  1.000599E-30  1.000000E-30  3.351486E-27  1.000000E-30
     53  7.551843574001E-04  1.000041E-30  1.000115E-30  1.000137E-30  1.000321E-30  1.000624E-30  1.000000E-30  3.488105E-27  1.000000E-30
     54  7.854224313090E-04  1.000043E-30  1.000119E-30  1.000142E-30  1.000334E-30  1.000649E-30  1.000000E-30  3.627648E-27  1.000000E-30
     55  8.164066374138E-04  1.000044E-30  1.000124E-30  1.000148E-30  1.000347E-30  1.000674E-30  1.000000E-30  3.770624E-27  1.000000E-30
     56  8.482679080764E-04  1.000046E-30  1.000129E-30  1.000154E-30  1.000361E-30  1.000701E-30  1.000000E-30  3.917634E-27  1.000000E-30
     57  8.811699017317E-04  1.000048E-30  1.000134E-30  1.000160E-30  1.000375E-30  1.000728E-30  1.000000E-30  4.069433E-27  1.000000E-30
     58  9.153304977871E-04  1.000050E-30  1.000139E-30  1.000166E-30  1.000389E-30  1.000757E-30  1.000000E-30  4.227021E-27  1.000000E-30
     59  9.510634923056E-04  1.000052E-30  1.000144E-30  1.000172E-30  1.000405E-30  1.000786E-30  1.000000E-30  4.391843E-27  1.000000E-30
     60  9.888739022907E-04  1.000054E-30  1.000150E-30  1.000179E-30  1.000421E-30  1.000818E-30  1.000000E-30  4.566221E-27  1.000000E-30
     61  1.029744313280E-03  1.000056E-30  1.000156E-30  1.000187E-30  1.000438E-30  1.000852E-30  1.000000E-30  4.754677E-27  1.000000E-30
     62  1.076805333108E-03  1.000059E-30  1.000163E-30  1.000195E-30  1.000458E-30  1.000891E-30  1.000000E-30  4.971627E-27  1.000000E-30
     63  1.127478238084E-03  1.000061E-30  1.000171E-30  1.000205E-30  1.000480E-30  1.000933E-30  1.000000E-30  5.205208E-27  1.000000E-30
     64  1.179263354774E-03  1.000064E-30  1.000179E-30  1.000214E-30  1.000502E-30  1.000976E-30  1.000000E-30  5.443904E-27  1.000000E-30
     65  1.231720185468E-03  1.000067E-30  1.000187E-30  1.000224E-30  1.000525E-30  1.001020E-30  1.000000E-30  5.685682E-27  1.000000E-30
     66  1.284679788904E-03  1.000070E-30  1.000195E-30  1.000233E-30  1.000547E-30  1.001064E-30  1.000000E-30  5.929762E-27  1.000000E-30
     67  1.338068714676E-03  1.000073E-30  1.000203E-30  1.000243E-30  1.000570E-30  1.001108E-30  1.000000E-30  6.175807E-27  1.000000E-30
     68  1.391852718980E-03  1.000076E-30  1.000211E-30  1.000253E-30  1.000593E-30  1.001153E-30  1.000000E-30  6.423657E-27  1.000000E-30
     69  1.446014888479E-03  1.000079E-30  1.000220E-30  1.000263E-30  1.000617E-30  1.001198E-30  1.000000E-30  6.673235E-27  1.000000E-30
     70  1.500546342624E-03  1.000082E-30  1.000228E-30  1.000273E-30  1.000640E-30  1.001244E-30  1.000000E-30  6.924500E-27  1.000000E-30
     71  1.555442065896E-03  1.000085E-30  1.000236E-30  1.000283E-30  1.000664E-30  1.001290E-30  1.000000E-30  7.177428E-27  1.000000E-30
     72  1.610698967280E-03  1.000088E-30  1.000245E-30  1.000293E-30  1.000687E-30  1.001336E-30  1.000000E-30  7.432004E-27  1.000000E-30
     73  1.666314948699E-03  1.000091E-30  1.000253E-30  1.000303E-30  1.000711E-30  1.001382E-30  1.000000E-30  7.688220E-27  1.000000E-30
     74  1.722288445659E-03  1.000094E-30  1.000262E-30  1.000313E-30  1.000735E-30  1.001429E-30  1.000000E-30  7.946068E-27  1.000000E-30
     75  1.778618195039E-03  1.000097E-30  1.000270E-30  1.000324E-30  1.000760E-30  1.001476E-30  1.000000E-30  8.205543E-27  1.000000E-30
     76  1.835303663832E-03  1.000100E-30  1.000279E-30  1.000334E-30  1.000784E-30  1.001524E-30  1.000000E-30  8.466640E-27  1.000000E-30
     77  1.892344396716E-03  1.000103E-30  1.000287E-30  1.000345E-30  1.000809E-30  1.001572E-30  1.000000E-30  8.729359E-27  1.000000E-30
     78  1.949739812628E-03  1.000106E-30  1.000296E-30  1.000355E-30  1.000833E-30  1.001620E-30  1.000000E-30  8.993697E-27  1.000000E-30
     79  2.007489276907E-03  1.000109E-30  1.000305E-30  1.000366E-30  1.000858E-30  1.001668E-30  1.000000E-30  9.259650E-27  1.000000E-30
     80  2.065592139419E-03  1.000113E-30  1.000314E-30  1.000377E-30  1.000883E-30  1.001717E-30  1.000000E-30  9.527216E-27  1.000000E-30
     81  2.124047755162E-03  1.000116E-30  1.000323E-30  1.000387E-30  1.000909E-30  1.001766E-30  1.000000E-30  9.796391E-27  1.000000E-30
     82  2.182855495215E-03  1.000119E-30  1.000332E-30  1.000398E-30  1.000934E-30  1.001816E-30  1.000000E-30  1.006717E-26  1.000000E-30
