 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                zr116         zr117         zr118         zr119         zr120         zr121         zr122         nb80 
     41  4.138876583201E-04  1.032447E-30  1.047841E-30  1.048259E-30  1.055219E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     42  4.432651277490E-04  1.034722E-30  1.051194E-30  1.051629E-30  1.059069E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     43  4.720041568584E-04  1.036944E-30  1.054470E-30  1.054918E-30  1.062826E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     44  5.002792532552E-04  1.039126E-30  1.057687E-30  1.058148E-30  1.066514E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     45  5.282472522620E-04  1.041281E-30  1.060864E-30  1.061336E-30  1.070153E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     46  5.560479783168E-04  1.043421E-30  1.064018E-30  1.064499E-30  1.073763E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     47  5.838060709037E-04  1.045553E-30  1.067161E-30  1.067650E-30  1.077359E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     48  6.116334118686E-04  1.047688E-30  1.070308E-30  1.070803E-30  1.080956E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     49  6.396318340541E-04  1.049832E-30  1.073469E-30  1.073969E-30  1.084567E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     50  6.678959636874E-04  1.051993E-30  1.076655E-30  1.077158E-30  1.088204E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     51  6.965161747902E-04  1.054178E-30  1.079876E-30  1.080381E-30  1.091878E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     52  7.255817382538E-04  1.056394E-30  1.083141E-30  1.083646E-30  1.095600E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     53  7.551843574001E-04  1.058647E-30  1.086462E-30  1.086965E-30  1.099383E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     54  7.854224313090E-04  1.060944E-30  1.089848E-30  1.090348E-30  1.103237E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     55  8.164066374138E-04  1.063294E-30  1.093311E-30  1.093807E-30  1.107177E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     56  8.482679080764E-04  1.065706E-30  1.096867E-30  1.097355E-30  1.111217E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     57  8.811699017317E-04  1.068193E-30  1.100532E-30  1.101010E-30  1.115379E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     58  9.153304977871E-04  1.070770E-30  1.104330E-30  1.104796E-30  1.119689E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     59  9.510634923056E-04  1.073460E-30  1.108295E-30  1.108746E-30  1.124184E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     60  9.888739022907E-04  1.076301E-30  1.112481E-30  1.112915E-30  1.128926E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     61  1.029744313280E-03  1.079365E-30  1.116997E-30  1.117408E-30  1.134035E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     62  1.076805333108E-03  1.082884E-30  1.122184E-30  1.122564E-30  1.139898E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     63  1.127478238084E-03  1.086663E-30  1.127753E-30  1.128097E-30  1.146186E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     64  1.179263354774E-03  1.090515E-30  1.133429E-30  1.133730E-30  1.152585E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     65  1.231720185468E-03  1.094405E-30  1.139161E-30  1.139414E-30  1.159040E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
