 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                ir215         ir216         ir217         ir218         ir219         ir220         ir221         ir222
     41  4.138876583201E-04  1.001112E-30  1.000000E-30  1.000333E-30  1.003154E-30  1.004133E-30  1.003728E-30  1.004109E-30  1.005757E-30
     42  4.432651277490E-04  1.001191E-30  1.000000E-30  1.000357E-30  1.003379E-30  1.004428E-30  1.003995E-30  1.004403E-30  1.006166E-30
     43  4.720041568584E-04  1.001269E-30  1.000000E-30  1.000382E-30  1.003599E-30  1.004716E-30  1.004256E-30  1.004690E-30  1.006566E-30
     44  5.002792532552E-04  1.001346E-30  1.000000E-30  1.000406E-30  1.003816E-30  1.005001E-30  1.004513E-30  1.004973E-30  1.006961E-30
     45  5.282472522620E-04  1.001421E-30  1.000000E-30  1.000430E-30  1.004030E-30  1.005282E-30  1.004768E-30  1.005254E-30  1.007351E-30
     46  5.560479783168E-04  1.001497E-30  1.000000E-30  1.000455E-30  1.004244E-30  1.005561E-30  1.005022E-30  1.005533E-30  1.007738E-30
     47  5.838060709037E-04  1.001572E-30  1.000000E-30  1.000479E-30  1.004457E-30  1.005841E-30  1.005275E-30  1.005811E-30  1.008125E-30
     48  6.116334118686E-04  1.001648E-30  1.000000E-30  1.000504E-30  1.004671E-30  1.006121E-30  1.005529E-30  1.006091E-30  1.008514E-30
     49  6.396318340541E-04  1.001724E-30  1.000000E-30  1.000528E-30  1.004886E-30  1.006403E-30  1.005786E-30  1.006372E-30  1.008904E-30
     50  6.678959636874E-04  1.001801E-30  1.000000E-30  1.000554E-30  1.005104E-30  1.006688E-30  1.006044E-30  1.006657E-30  1.009299E-30
     51  6.965161747902E-04  1.001878E-30  1.000000E-30  1.000579E-30  1.005324E-30  1.006977E-30  1.006307E-30  1.006945E-30  1.009698E-30
     52  7.255817382538E-04  1.001958E-30  1.000000E-30  1.000606E-30  1.005548E-30  1.007271E-30  1.006574E-30  1.007238E-30  1.010104E-30
     53  7.551843574001E-04  1.002038E-30  1.000000E-30  1.000633E-30  1.005777E-30  1.007570E-30  1.006846E-30  1.007537E-30  1.010518E-30
     54  7.854224313090E-04  1.002121E-30  1.000000E-30  1.000660E-30  1.006010E-30  1.007875E-30  1.007124E-30  1.007842E-30  1.010940E-30
     55  8.164066374138E-04  1.002205E-30  1.000000E-30  1.000689E-30  1.006249E-30  1.008189E-30  1.007409E-30  1.008156E-30  1.011373E-30
     56  8.482679080764E-04  1.002293E-30  1.000000E-30  1.000718E-30  1.006495E-30  1.008511E-30  1.007703E-30  1.008478E-30  1.011818E-30
     57  8.811699017317E-04  1.002383E-30  1.000000E-30  1.000749E-30  1.006750E-30  1.008845E-30  1.008007E-30  1.008811E-30  1.012278E-30
     58  9.153304977871E-04  1.002476E-30  1.000000E-30  1.000781E-30  1.007014E-30  1.009191E-30  1.008322E-30  1.009157E-30  1.012756E-30
     59  9.510634923056E-04  1.002574E-30  1.000000E-30  1.000815E-30  1.007291E-30  1.009554E-30  1.008653E-30  1.009520E-30  1.013256E-30
     60  9.888739022907E-04  1.002678E-30  1.000000E-30  1.000851E-30  1.007584E-30  1.009938E-30  1.009004E-30  1.009904E-30  1.013785E-30
     61  1.029744313280E-03  1.002790E-30  1.000000E-30  1.000891E-30  1.007901E-30  1.010353E-30  1.009383E-30  1.010320E-30  1.014357E-30
     62  1.076805333108E-03  1.002919E-30  1.000000E-30  1.000937E-30  1.008266E-30  1.010832E-30  1.009820E-30  1.010799E-30  1.015015E-30
     63  1.127478238084E-03  1.003059E-30  1.000000E-30  1.000986E-30  1.008660E-30  1.011348E-30  1.010292E-30  1.011316E-30  1.015725E-30
     64  1.179263354774E-03  1.003202E-30  1.000000E-30  1.001038E-30  1.009063E-30  1.011876E-30  1.010775E-30  1.011845E-30  1.016450E-30
     65  1.231720185468E-03  1.003346E-30  1.000000E-30  1.001090E-30  1.009472E-30  1.012411E-30  1.011266E-30  1.012381E-30  1.017185E-30
     66  1.284679788904E-03  1.003493E-30  1.000000E-30  1.001144E-30  1.009885E-30  1.012952E-30  1.011762E-30  1.012924E-30  1.017928E-30
     67  1.338068714676E-03  1.003641E-30  1.000000E-30  1.001199E-30  1.010301E-30  1.013499E-30  1.012263E-30  1.013472E-30  1.018676E-30
     68  1.391852718980E-03  1.003790E-30  1.000000E-30  1.001254E-30  1.010722E-30  1.014050E-30  1.012769E-30  1.014024E-30  1.019431E-30
     69  1.446014888479E-03  1.003940E-30  1.000000E-30  1.001311E-30  1.011146E-30  1.014605E-30  1.013279E-30  1.014581E-30  1.020191E-30
     70  1.500546342624E-03  1.004092E-30  1.000000E-30  1.001369E-30  1.011573E-30  1.015165E-30  1.013794E-30  1.015143E-30  1.020956E-30
     71  1.555442065896E-03  1.004245E-30  1.000000E-30  1.001427E-30  1.012004E-30  1.015729E-30  1.014313E-30  1.015710E-30  1.021727E-30
     72  1.610698967280E-03  1.004399E-30  1.000000E-30  1.001487E-30  1.012438E-30  1.016298E-30  1.014837E-30  1.016281E-30  1.022504E-30
     73  1.666314948699E-03  1.004554E-30  1.000000E-30  1.001547E-30  1.012875E-30  1.016871E-30  1.015365E-30  1.016857E-30  1.023285E-30
     74  1.722288445659E-03  1.004711E-30  1.000000E-30  1.001609E-30  1.013316E-30  1.017448E-30  1.015898E-30  1.017437E-30  1.024072E-30
     75  1.778618195039E-03  1.004869E-30  1.000000E-30  1.001671E-30  1.013760E-30  1.018030E-30  1.016435E-30  1.018022E-30  1.024864E-30
     76  1.835303663832E-03  1.005028E-30  1.000000E-30  1.001735E-30  1.014208E-30  1.018616E-30  1.016977E-30  1.018612E-30  1.025662E-30
     77  1.892344396716E-03  1.005188E-30  1.000000E-30  1.001800E-30  1.014658E-30  1.019207E-30  1.017523E-30  1.019206E-30  1.026465E-30
     78  1.949739812628E-03  1.005349E-30  1.000000E-30  1.001866E-30  1.015113E-30  1.019802E-30  1.018074E-30  1.019805E-30  1.027273E-30
     79  2.007489276907E-03  1.005512E-30  1.000000E-30  1.001932E-30  1.015570E-30  1.020401E-30  1.018629E-30  1.020408E-30  1.028086E-30
     80  2.065592139419E-03  1.005676E-30  1.000000E-30  1.002000E-30  1.016031E-30  1.021005E-30  1.019189E-30  1.021016E-30  1.028905E-30
     81  2.124047755162E-03  1.005841E-30  1.000000E-30  1.002069E-30  1.016495E-30  1.021613E-30  1.019753E-30  1.021629E-30  1.029728E-30
     82  2.182855495215E-03  1.006008E-30  1.000000E-30  1.002139E-30  1.016963E-30  1.022226E-30  1.020322E-30  1.022246E-30  1.030558E-30
     83  2.242014752368E-03  1.006176E-30  1.000000E-30  1.002210E-30  1.017434E-30  1.022843E-30  1.020896E-30  1.022868E-30  1.031392E-30
     84  2.301524943777E-03  1.006345E-30  1.000000E-30  1.002283E-30  1.017909E-30  1.023465E-30  1.021474E-30  1.023495E-30  1.032231E-30
     85  2.361385511936E-03  1.006515E-30  1.000000E-30  1.002356E-30  1.018387E-30  1.024091E-30  1.022057E-30  1.024126E-30  1.033076E-30
     86  2.421595924701E-03  1.006686E-30  1.000000E-30  1.002431E-30  1.018868E-30  1.024721E-30  1.022644E-30  1.024762E-30  1.033926E-30
     87  2.482155674804E-03  1.006859E-30  1.000000E-30  1.002506E-30  1.019353E-30  1.025356E-30  1.023237E-30  1.025403E-30  1.034782E-30
     88  2.543064279071E-03  1.007033E-30  1.000000E-30  1.002583E-30  1.019841E-30  1.025996E-30  1.023834E-30  1.026048E-30  1.035642E-30
     89  2.604321277494E-03  1.007209E-30  1.000000E-30  1.002661E-30  1.020333E-30  1.026640E-30  1.024435E-30  1.026698E-30  1.036508E-30
     90  2.665926232237E-03  1.007385E-30  1.000000E-30  1.002741E-30  1.020828E-30  1.027288E-30  1.025042E-30  1.027353E-30  1.037379E-30
     91  2.727878734382E-03  1.007563E-30  1.000000E-30  1.002821E-30  1.021327E-30  1.027941E-30  1.025653E-30  1.028012E-30  1.038255E-30
     92  2.790178404165E-03  1.007742E-30  1.000000E-30  1.002903E-30  1.021829E-30  1.028599E-30  1.026269E-30  1.028676E-30  1.039136E-30
     93  2.852824875480E-03  1.007923E-30  1.000000E-30  1.002986E-30  1.022334E-30  1.029261E-30  1.026889E-30  1.029345E-30  1.040022E-30
     94  2.915817796872E-03  1.008104E-30  1.000000E-30  1.003070E-30  1.022843E-30  1.029927E-30  1.027515E-30  1.030019E-30  1.040914E-30
