 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                i149          i150          i151          i152          i153          i154          i155          i156 
     27  8.489118412102E-05  1.000827E-30  1.000546E-30  1.001201E-30  1.002175E-30  1.001776E-30  1.002030E-30  1.000000E-30  1.000000E-30
     28  9.570255892797E-05  1.000933E-30  1.000617E-30  1.001355E-30  1.002451E-30  1.002001E-30  1.002288E-30  1.000000E-30  1.000000E-30
     29  1.070853065563E-04  1.001045E-30  1.000691E-30  1.001518E-30  1.002742E-30  1.002238E-30  1.002559E-30  1.000000E-30  1.000000E-30
     30  1.190882425669E-04  1.001163E-30  1.000771E-30  1.001691E-30  1.003049E-30  1.002489E-30  1.002845E-30  1.000000E-30  1.000000E-30
     31  1.366291075688E-04  1.001337E-30  1.000887E-30  1.001943E-30  1.003497E-30  1.002854E-30  1.003262E-30  1.000000E-30  1.000000E-30
     32  1.695708820900E-04  1.001664E-30  1.001108E-30  1.002421E-30  1.004337E-30  1.003539E-30  1.004044E-30  1.000000E-30  1.000000E-30
     33  1.992873377730E-04  1.001961E-30  1.001309E-30  1.002854E-30  1.005094E-30  1.004155E-30  1.004748E-30  1.000000E-30  1.000000E-30
     34  2.264248739983E-04  1.002233E-30  1.001494E-30  1.003252E-30  1.005785E-30  1.004718E-30  1.005390E-30  1.000000E-30  1.000000E-30
     35  2.515933231106E-04  1.002486E-30  1.001668E-30  1.003623E-30  1.006424E-30  1.005238E-30  1.005984E-30  1.000000E-30  1.000000E-30
     36  2.753099894686E-04  1.002726E-30  1.001833E-30  1.003975E-30  1.007027E-30  1.005729E-30  1.006543E-30  1.000000E-30  1.000000E-30
     37  2.979926919870E-04  1.002957E-30  1.001992E-30  1.004313E-30  1.007602E-30  1.006197E-30  1.007077E-30  1.000000E-30  1.000000E-30
     38  3.199702121451E-04  1.003181E-30  1.002147E-30  1.004642E-30  1.008159E-30  1.006650E-30  1.007593E-30  1.000000E-30  1.000000E-30
     39  3.524429751724E-04  1.003514E-30  1.002378E-30  1.005130E-30  1.008982E-30  1.007318E-30  1.008355E-30  1.000000E-30  1.000000E-30
     40  3.836809895565E-04  1.003835E-30  1.002603E-30  1.005604E-30  1.009772E-30  1.007960E-30  1.009086E-30  1.000000E-30  1.000000E-30
     41  4.138876583201E-04  1.004148E-30  1.002822E-30  1.006064E-30  1.010535E-30  1.008580E-30  1.009792E-30  1.000000E-30  1.000000E-30
     42  4.432651277490E-04  1.004453E-30  1.003038E-30  1.006514E-30  1.011276E-30  1.009181E-30  1.010477E-30  1.000000E-30  1.000000E-30
     43  4.720041568584E-04  1.004754E-30  1.003251E-30  1.006957E-30  1.012000E-30  1.009769E-30  1.011146E-30  1.000000E-30  1.000000E-30
