 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                ba148         ba149         ba150         ba151         ba152         ba153         ba154         ba155
     41  4.138876583201E-04  1.001496E-30  1.000672E-30  1.000913E-30  1.002438E-30  1.008268E-30  1.001981E-30  1.003781E-30  1.005052E-30
     42  4.432651277490E-04  1.001602E-30  1.000720E-30  1.000978E-30  1.002611E-30  1.008855E-30  1.002122E-30  1.004050E-30  1.005411E-30
     43  4.720041568584E-04  1.001706E-30  1.000767E-30  1.001042E-30  1.002781E-30  1.009429E-30  1.002260E-30  1.004314E-30  1.005763E-30
     44  5.002792532552E-04  1.001809E-30  1.000812E-30  1.001104E-30  1.002948E-30  1.009993E-30  1.002396E-30  1.004573E-30  1.006109E-30
     45  5.282472522620E-04  1.001910E-30  1.000858E-30  1.001166E-30  1.003113E-30  1.010551E-30  1.002531E-30  1.004830E-30  1.006451E-30
     46  5.560479783168E-04  1.002010E-30  1.000903E-30  1.001227E-30  1.003278E-30  1.011106E-30  1.002665E-30  1.005085E-30  1.006791E-30
     47  5.838060709037E-04  1.002110E-30  1.000948E-30  1.001289E-30  1.003442E-30  1.011660E-30  1.002798E-30  1.005341E-30  1.007131E-30
     48  6.116334118686E-04  1.002211E-30  1.000994E-30  1.001351E-30  1.003607E-30  1.012215E-30  1.002932E-30  1.005596E-30  1.007472E-30
     49  6.396318340541E-04  1.002312E-30  1.001039E-30  1.001412E-30  1.003773E-30  1.012773E-30  1.003067E-30  1.005854E-30  1.007815E-30
     50  6.678959636874E-04  1.002414E-30  1.001085E-30  1.001475E-30  1.003940E-30  1.013337E-30  1.003204E-30  1.006114E-30  1.008161E-30
     51  6.965161747902E-04  1.002518E-30  1.001132E-30  1.001538E-30  1.004110E-30  1.013908E-30  1.003342E-30  1.006378E-30  1.008512E-30
     52  7.255817382538E-04  1.002623E-30  1.001179E-30  1.001603E-30  1.004282E-30  1.014488E-30  1.003482E-30  1.006645E-30  1.008869E-30
     53  7.551843574001E-04  1.002730E-30  1.001227E-30  1.001669E-30  1.004457E-30  1.015078E-30  1.003625E-30  1.006918E-30  1.009232E-30
     54  7.854224313090E-04  1.002839E-30  1.001276E-30  1.001736E-30  1.004637E-30  1.015681E-30  1.003771E-30  1.007197E-30  1.009603E-30
     55  8.164066374138E-04  1.002951E-30  1.001327E-30  1.001804E-30  1.004821E-30  1.016299E-30  1.003921E-30  1.007483E-30  1.009983E-30
     56  8.482679080764E-04  1.003067E-30  1.001379E-30  1.001875E-30  1.005010E-30  1.016934E-30  1.004075E-30  1.007777E-30  1.010374E-30
     57  8.811699017317E-04  1.003185E-30  1.001432E-30  1.001948E-30  1.005205E-30  1.017590E-30  1.004234E-30  1.008081E-30  1.010778E-30
     58  9.153304977871E-04  1.003309E-30  1.001488E-30  1.002024E-30  1.005408E-30  1.018271E-30  1.004400E-30  1.008396E-30  1.011198E-30
     59  9.510634923056E-04  1.003438E-30  1.001546E-30  1.002103E-30  1.005621E-30  1.018983E-30  1.004573E-30  1.008727E-30  1.011637E-30
     60  9.888739022907E-04  1.003575E-30  1.001608E-30  1.002187E-30  1.005846E-30  1.019736E-30  1.004757E-30  1.009077E-30  1.012102E-30
     61  1.029744313280E-03  1.003723E-30  1.001674E-30  1.002278E-30  1.006089E-30  1.020551E-30  1.004955E-30  1.009455E-30  1.012604E-30
     62  1.076805333108E-03  1.003893E-30  1.001751E-30  1.002383E-30  1.006369E-30  1.021488E-30  1.005183E-30  1.009891E-30  1.013183E-30
     63  1.127478238084E-03  1.004076E-30  1.001834E-30  1.002495E-30  1.006671E-30  1.022497E-30  1.005430E-30  1.010361E-30  1.013807E-30
     64  1.179263354774E-03  1.004263E-30  1.001918E-30  1.002610E-30  1.006980E-30  1.023529E-30  1.005682E-30  1.010841E-30  1.014445E-30
     65  1.231720185468E-03  1.004453E-30  1.002004E-30  1.002727E-30  1.007293E-30  1.024573E-30  1.005937E-30  1.011329E-30  1.015091E-30
     66  1.284679788904E-03  1.004644E-30  1.002090E-30  1.002845E-30  1.007609E-30  1.025627E-30  1.006196E-30  1.011821E-30  1.015744E-30
     67  1.338068714676E-03  1.004837E-30  1.002177E-30  1.002964E-30  1.007928E-30  1.026690E-30  1.006456E-30  1.012318E-30  1.016403E-30
     68  1.391852718980E-03  1.005032E-30  1.002265E-30  1.003084E-30  1.008250E-30  1.027760E-30  1.006719E-30  1.012819E-30  1.017067E-30
     69  1.446014888479E-03  1.005228E-30  1.002354E-30  1.003205E-30  1.008574E-30  1.028838E-30  1.006984E-30  1.013324E-30  1.017736E-30
     70  1.500546342624E-03  1.005425E-30  1.002443E-30  1.003326E-30  1.008900E-30  1.029923E-30  1.007250E-30  1.013833E-30  1.018410E-30
     71  1.555442065896E-03  1.005623E-30  1.002532E-30  1.003449E-30  1.009229E-30  1.031015E-30  1.007519E-30  1.014346E-30  1.019089E-30
     72  1.610698967280E-03  1.005823E-30  1.002623E-30  1.003572E-30  1.009561E-30  1.032114E-30  1.007790E-30  1.014863E-30  1.019773E-30
     73  1.666314948699E-03  1.006024E-30  1.002714E-30  1.003697E-30  1.009894E-30  1.033219E-30  1.008064E-30  1.015383E-30  1.020461E-30
     74  1.722288445659E-03  1.006226E-30  1.002805E-30  1.003822E-30  1.010231E-30  1.034332E-30  1.008339E-30  1.015908E-30  1.021155E-30
     75  1.778618195039E-03  1.006430E-30  1.002897E-30  1.003948E-30  1.010569E-30  1.035451E-30  1.008616E-30  1.016436E-30  1.021853E-30
     76  1.835303663832E-03  1.006635E-30  1.002990E-30  1.004075E-30  1.010910E-30  1.036578E-30  1.008895E-30  1.016968E-30  1.022556E-30
     77  1.892344396716E-03  1.006841E-30  1.003083E-30  1.004202E-30  1.011253E-30  1.037711E-30  1.009176E-30  1.017504E-30  1.023265E-30
     78  1.949739812628E-03  1.007049E-30  1.003177E-30  1.004331E-30  1.011599E-30  1.038851E-30  1.009459E-30  1.018044E-30  1.023978E-30
     79  2.007489276907E-03  1.007258E-30  1.003272E-30  1.004460E-30  1.011947E-30  1.039998E-30  1.009745E-30  1.018588E-30  1.024696E-30
     80  2.065592139419E-03  1.007468E-30  1.003367E-30  1.004591E-30  1.012298E-30  1.041152E-30  1.010032E-30  1.019136E-30  1.025419E-30
     81  2.124047755162E-03  1.007679E-30  1.003463E-30  1.004722E-30  1.012651E-30  1.042312E-30  1.010322E-30  1.019687E-30  1.026146E-30
     82  2.182855495215E-03  1.007892E-30  1.003559E-30  1.004854E-30  1.013006E-30  1.043479E-30  1.010613E-30  1.020243E-30  1.026879E-30
     83  2.242014752368E-03  1.008106E-30  1.003656E-30  1.004987E-30  1.013364E-30  1.044653E-30  1.010907E-30  1.020802E-30  1.027617E-30
     84  2.301524943777E-03  1.008321E-30  1.003754E-30  1.005121E-30  1.013724E-30  1.045834E-30  1.011203E-30  1.021366E-30  1.028359E-30
     85  2.361385511936E-03  1.008537E-30  1.003852E-30  1.005255E-30  1.014086E-30  1.047021E-30  1.011500E-30  1.021933E-30  1.029107E-30
     86  2.421595924701E-03  1.008755E-30  1.003951E-30  1.005391E-30  1.014451E-30  1.048215E-30  1.011800E-30  1.022505E-30  1.029859E-30
     87  2.482155674804E-03  1.008974E-30  1.004050E-30  1.005527E-30  1.014819E-30  1.049416E-30  1.012102E-30  1.023080E-30  1.030617E-30
     88  2.543064279071E-03  1.009195E-30  1.004150E-30  1.005664E-30  1.015188E-30  1.050624E-30  1.012406E-30  1.023659E-30  1.031379E-30
     89  2.604321277494E-03  1.009416E-30  1.004251E-30  1.005802E-30  1.015560E-30  1.051838E-30  1.012712E-30  1.024242E-30  1.032147E-30
     90  2.665926232237E-03  1.009639E-30  1.004352E-30  1.005941E-30  1.015935E-30  1.053058E-30  1.013021E-30  1.024830E-30  1.032919E-30
     91  2.727878734382E-03  1.009863E-30  1.004454E-30  1.006081E-30  1.016312E-30  1.054286E-30  1.013331E-30  1.025421E-30  1.033696E-30
     92  2.790178404165E-03  1.010088E-30  1.004556E-30  1.006222E-30  1.016691E-30  1.055520E-30  1.013644E-30  1.026016E-30  1.034479E-30
     93  2.852824875480E-03  1.010315E-30  1.004659E-30  1.006363E-30  1.017073E-30  1.056760E-30  1.013958E-30  1.026615E-30  1.035266E-30
     94  2.915817796872E-03  1.010543E-30  1.004763E-30  1.006506E-30  1.017458E-30  1.058008E-30  1.014275E-30  1.027219E-30  1.036059E-30
     95  2.979156831833E-03  1.010772E-30  1.004867E-30  1.006649E-30  1.017844E-30  1.059261E-30  1.014594E-30  1.027826E-30  1.036856E-30
