 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                rb102         rb103         rb104         rb105         rb106         rb107         rb108         rb109
     41  4.138876583201E-04  1.004761E-30  1.000215E-30  1.000000E-30  1.001964E-30  1.003782E-30  1.004517E-30  1.019893E-30  1.000000E-30
     42  4.432651277490E-04  1.005111E-30  1.000253E-30  1.000000E-30  1.002148E-30  1.004046E-30  1.004832E-30  1.021276E-30  1.000000E-30
     43  4.720041568584E-04  1.005456E-30  1.000294E-30  1.000000E-30  1.002333E-30  1.004304E-30  1.005138E-30  1.022626E-30  1.000000E-30
     44  5.002792532552E-04  1.005796E-30  1.000337E-30  1.000000E-30  1.002521E-30  1.004558E-30  1.005440E-30  1.023950E-30  1.000000E-30
     45  5.282472522620E-04  1.006135E-30  1.000382E-30  1.000000E-30  1.002712E-30  1.004808E-30  1.005737E-30  1.025257E-30  1.000000E-30
     46  5.560479783168E-04  1.006472E-30  1.000430E-30  1.000000E-30  1.002907E-30  1.005056E-30  1.006031E-30  1.026552E-30  1.000000E-30
     47  5.838060709037E-04  1.006811E-30  1.000480E-30  1.000000E-30  1.003107E-30  1.005303E-30  1.006325E-30  1.027842E-30  1.000000E-30
     48  6.116334118686E-04  1.007152E-30  1.000534E-30  1.000000E-30  1.003313E-30  1.005551E-30  1.006618E-30  1.029132E-30  1.000000E-30
     49  6.396318340541E-04  1.007497E-30  1.000590E-30  1.000000E-30  1.003524E-30  1.005800E-30  1.006913E-30  1.030427E-30  1.000000E-30
     50  6.678959636874E-04  1.007846E-30  1.000650E-30  1.000000E-30  1.003744E-30  1.006050E-30  1.007209E-30  1.031730E-30  1.000000E-30
     51  6.965161747902E-04  1.008201E-30  1.000713E-30  1.000000E-30  1.003971E-30  1.006303E-30  1.007509E-30  1.033047E-30  1.000000E-30
     52  7.255817382538E-04  1.008564E-30  1.000781E-30  1.000003E-30  1.004207E-30  1.006560E-30  1.007813E-30  1.034380E-30  1.000000E-30
     53  7.551843574001E-04  1.008935E-30  1.000853E-30  1.000011E-30  1.004453E-30  1.006821E-30  1.008121E-30  1.035735E-30  1.000000E-30
     54  7.854224313090E-04  1.009315E-30  1.000930E-30  1.000024E-30  1.004710E-30  1.007087E-30  1.008435E-30  1.037114E-30  1.000000E-30
     55  8.164066374138E-04  1.009707E-30  1.001012E-30  1.000041E-30  1.004980E-30  1.007358E-30  1.008756E-30  1.038524E-30  1.000000E-30
     56  8.482679080764E-04  1.010112E-30  1.001099E-30  1.000064E-30  1.005263E-30  1.007637E-30  1.009085E-30  1.039969E-30  1.000000E-30
     57  8.811699017317E-04  1.010532E-30  1.001194E-30  1.000094E-30  1.005563E-30  1.007925E-30  1.009424E-30  1.041457E-30  1.000000E-30
     58  9.153304977871E-04  1.010971E-30  1.001296E-30  1.000130E-30  1.005881E-30  1.008222E-30  1.009775E-30  1.042998E-30  1.000000E-30
     59  9.510634923056E-04  1.011432E-30  1.001407E-30  1.000174E-30  1.006222E-30  1.008533E-30  1.010141E-30  1.044604E-30  1.000000E-30
     60  9.888739022907E-04  1.011922E-30  1.001530E-30  1.000227E-30  1.006592E-30  1.008861E-30  1.010527E-30  1.046297E-30  1.000000E-30
     61  1.029744313280E-03  1.012456E-30  1.001668E-30  1.000293E-30  1.007002E-30  1.009215E-30  1.010943E-30  1.048122E-30  1.000000E-30
     62  1.076805333108E-03  1.013074E-30  1.001834E-30  1.000379E-30  1.007486E-30  1.009621E-30  1.011420E-30  1.050213E-30  1.000000E-30
     63  1.127478238084E-03  1.013744E-30  1.002022E-30  1.000484E-30  1.008023E-30  1.010056E-30  1.011931E-30  1.052456E-30  1.000000E-30
     64  1.179263354774E-03  1.014435E-30  1.002223E-30  1.000604E-30  1.008588E-30  1.010500E-30  1.012452E-30  1.054736E-30  1.000000E-30
     65  1.231720185468E-03  1.015139E-30  1.002437E-30  1.000739E-30  1.009177E-30  1.010947E-30  1.012976E-30  1.057036E-30  1.000000E-30
     66  1.284679788904E-03  1.015856E-30  1.002662E-30  1.000889E-30  1.009789E-30  1.011398E-30  1.013503E-30  1.059346E-30  1.000000E-30
     67  1.338068714676E-03  1.016584E-30  1.002898E-30  1.001054E-30  1.010423E-30  1.011850E-30  1.014032E-30  1.061663E-30  1.000000E-30
     68  1.391852718980E-03  1.017323E-30  1.003147E-30  1.001234E-30  1.011079E-30  1.012304E-30  1.014563E-30  1.063986E-30  1.000000E-30
     69  1.446014888479E-03  1.018073E-30  1.003407E-30  1.001429E-30  1.011756E-30  1.012760E-30  1.015094E-30  1.066313E-30  1.000000E-30
     70  1.500546342624E-03  1.018834E-30  1.003679E-30  1.001640E-30  1.012456E-30  1.013217E-30  1.015627E-30  1.068645E-30  1.000000E-30
     71  1.555442065896E-03  1.019606E-30  1.003964E-30  1.001866E-30  1.013179E-30  1.013675E-30  1.016161E-30  1.070981E-30  1.000000E-30
     72  1.610698967280E-03  1.020389E-30  1.004260E-30  1.002107E-30  1.013923E-30  1.014135E-30  1.016696E-30  1.073320E-30  1.000000E-30
     73  1.666314948699E-03  1.021183E-30  1.004569E-30  1.002365E-30  1.014691E-30  1.014596E-30  1.017231E-30  1.075662E-30  1.000000E-30
     74  1.722288445659E-03  1.021988E-30  1.004890E-30  1.002639E-30  1.015481E-30  1.015058E-30  1.017767E-30  1.078007E-30  1.000000E-30
     75  1.778618195039E-03  1.022804E-30  1.005225E-30  1.002930E-30  1.016294E-30  1.015521E-30  1.018304E-30  1.080355E-30  1.000000E-30
     76  1.835303663832E-03  1.023632E-30  1.005572E-30  1.003237E-30  1.017131E-30  1.015985E-30  1.018842E-30  1.082705E-30  1.000000E-30
     77  1.892344396716E-03  1.024472E-30  1.005932E-30  1.003560E-30  1.017991E-30  1.016451E-30  1.019381E-30  1.085058E-30  1.000000E-30
     78  1.949739812628E-03  1.025323E-30  1.006305E-30  1.003901E-30  1.018875E-30  1.016917E-30  1.019920E-30  1.087413E-30  1.000000E-30
     79  2.007489276907E-03  1.026186E-30  1.006692E-30  1.004259E-30  1.019783E-30  1.017385E-30  1.020460E-30  1.089770E-30  1.000000E-30
     80  2.065592139419E-03  1.027060E-30  1.007092E-30  1.004634E-30  1.020715E-30  1.017854E-30  1.021000E-30  1.092129E-30  1.000000E-30
     81  2.124047755162E-03  1.027947E-30  1.007506E-30  1.005026E-30  1.021671E-30  1.018323E-30  1.021541E-30  1.094489E-30  1.000000E-30
     82  2.182855495215E-03  1.028846E-30  1.007934E-30  1.005436E-30  1.022651E-30  1.018794E-30  1.022082E-30  1.096851E-30  1.000000E-30
     83  2.242014752368E-03  1.029757E-30  1.008375E-30  1.005864E-30  1.023656E-30  1.019265E-30  1.022624E-30  1.099214E-30  1.000000E-30
     84  2.301524943777E-03  1.030680E-30  1.008831E-30  1.006310E-30  1.024686E-30  1.019737E-30  1.023166E-30  1.101578E-30  1.000000E-30
     85  2.361385511936E-03  1.031616E-30  1.009302E-30  1.006774E-30  1.025741E-30  1.020211E-30  1.023709E-30  1.103942E-30  1.000000E-30
     86  2.421595924701E-03  1.032564E-30  1.009787E-30  1.007257E-30  1.026821E-30  1.020685E-30  1.024251E-30  1.106308E-30  1.000000E-30
     87  2.482155674804E-03  1.033525E-30  1.010286E-30  1.007758E-30  1.027926E-30  1.021159E-30  1.024795E-30  1.108674E-30  1.000000E-30
     88  2.543064279071E-03  1.034498E-30  1.010800E-30  1.008278E-30  1.029057E-30  1.021635E-30  1.025338E-30  1.111040E-30  1.000000E-30
     89  2.604321277494E-03  1.035485E-30  1.011330E-30  1.008816E-30  1.030214E-30  1.022111E-30  1.025881E-30  1.113407E-30  1.000000E-30
     90  2.665926232237E-03  1.036485E-30  1.011874E-30  1.009374E-30  1.031396E-30  1.022588E-30  1.026425E-30  1.115773E-30  1.000000E-30
     91  2.727878734382E-03  1.037497E-30  1.012434E-30  1.009951E-30  1.032604E-30  1.023066E-30  1.026969E-30  1.118139E-30  1.000000E-30
     92  2.790178404165E-03  1.038524E-30  1.013009E-30  1.010548E-30  1.033839E-30  1.023544E-30  1.027513E-30  1.120505E-30  1.000000E-30
     93  2.852824875480E-03  1.039563E-30  1.013599E-30  1.011163E-30  1.035100E-30  1.024023E-30  1.028057E-30  1.122871E-30  1.000000E-30
     94  2.915817796872E-03  1.040616E-30  1.014206E-30  1.011799E-30  1.036387E-30  1.024503E-30  1.028601E-30  1.125236E-30  1.000000E-30
     95  2.979156831833E-03  1.041683E-30  1.014828E-30  1.012454E-30  1.037700E-30  1.024983E-30  1.029145E-30  1.127600E-30  1.000000E-30
